utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Aran,1,there duck .,there duck .,2,2,2,3,2,2,2,Aran/011112.cha,14,23.4,woman's william .,symber nottingham .,spinners now's .,,,
2,Aran,1,get down .,get down .,2,2,2,2,2,2,2,Aran/011112.cha,29,23.4,knack blueberry .,basket's find .,toolboxes pads .,are you going to tell me ?,hm ? are you going to tell me ?,what have you got ? hm ? are you going to tell me ?
3,Aran,1,duck .,duck .,1,1,1,1,1,1,1,Aran/011112.cha,35,23.4,lighthouse .,windmill .,helpful .,what is it ?,are you going to tell me ? what is it ?,hm ? are you going to tell me ? what is it ?
4,Aran,1,that door .,that door .,2,2,2,2,2,2,2,Aran/011112.cha,47,23.4,n lady's .,elmo gnu .,trapetoid zaboo .,what is it ?,there's only one ball isn't it ? what is it ?,here you are . there's only one ball isn't it ? what is it ?
5,Aran,1,duck .,duck .,1,1,1,1,1,1,1,Aran/011112.cha,56,23.4,shoe .,supercali .,abadaba .,what is it ?,hm ? what is it ?,what is it ? hm ? what is it ?
6,Aran,1,door .,door .,1,1,1,1,1,1,1,Aran/011112.cha,65,23.4,combination .,missions .,may .,hm ?,do you wanna look at the duck ? hm ?,what is it ? do you wanna look at the duck ? hm ?
7,Aran,1,that elephant .,that elephant .,2,2,4,4,4,4,2,Aran/011112.cha,74,23.4,pingu bridge .,cow nutcracker .,hercules tinkertoy .,what is there inside ?,well open the door then . what is there inside ?,hm ? well open the door then . what is there inside ?
8,Aran,1,elephant .,elephant .,1,1,3,3,3,3,1,Aran/011112.cha,80,23.4,singing .,kack .,shining .,it's an elephant isn't it ?,what is there inside ? it's an elephant isn't it ?,well open the door then . what is there inside ? it's an elephant isn't it ?
9,Aran,1,that .,that .,1,1,1,1,1,1,1,Aran/011112.cha,89,23.4,mummy .,jumpy .,teal .,what's he got here ?,elephant . what's he got here ?,it's an elephant isn't it ? elephant . what's he got here ?
10,Aran,1,that .,that .,1,1,1,1,1,1,1,Aran/011112.cha,95,23.4,oblong .,pe .,hedgehog .,that .,what's he got here ? that .,elephant . what's he got here ? that .
11,Aran,1,money .,money .,1,1,2,2,3,2,1,Aran/011112.cha,104,23.4,long .,perry .,strawberries .,to eat .,mhm . to eat .,that . mhm . to eat .
12,Aran,1,money .,money .,1,1,2,2,3,2,1,Aran/011112.cha,107,23.4,book .,calf .,penis .,to eat .,mhm . to eat .,that . mhm . to eat .
13,Aran,1,look .,look .,1,1,1,1,1,1,1,Aran/011112.cha,119,23.4,bow .,cash .,jesus .,what is it ?,are you going to look at this then ? what is it ?,you've got your money have you ? are you going to look at this then ? what is it ?
14,Aran,1,look .,look .,1,1,1,1,1,1,1,Aran/011112.cha,122,23.4,cheesy .,ditiduck .,tupper .,what is it ?,are you going to look at this then ? what is it ?,you've got your money have you ? are you going to look at this then ? what is it ?
15,Aran,1,look .,look .,1,1,1,1,1,1,1,Aran/011112.cha,125,23.4,cider .,whizzy .,tighter .,what is it ?,are you going to look at this then ? what is it ?,you've got your money have you ? are you going to look at this then ? what is it ?
16,Aran,1,there .,there .,1,1,1,2,1,1,1,Aran/011112.cha,128,23.4,quick .,begin .,gumdrop's .,what is it ?,are you going to look at this then ? what is it ?,you've got your money have you ? are you going to look at this then ? what is it ?
17,Aran,1,brumm@o .,brumm .,1,1,1,1,1,1,1,Aran/011112.cha,149,23.4,pottie .,quail .,designs .,are we going to play with your cars ?,hm ? are we going to play with your cars ?,are we going to play with your trains ? hm ? are we going to play with your cars ?
18,Aran,1,bricks .,bricks .,1,1,1,1,1,1,1,Aran/011112.cha,158,23.4,tadah .,cheapy .,bandana .,what did you do to your cars ?,hm ? what did you do to your cars ?,are we going to play with your cars ? hm ? what did you do to your cars ?
