utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
1,1,MOT,Anne,1,here's baby .,here's baby .,2,3,4,4,4,4,2,Anne/011007.cha,23,22.233,,,
2,2,MOT,Anne,1,baby willn't fit ?,baby willn't fit ?,3,4,4,4,4,4,3,Anne/011007.cha,33,22.233,here's baby .,here's baby .,here's baby .
3,3,MOT,Anne,1,is it too big ?,is it too big ?,4,4,4,4,4,4,4,Anne/011007.cha,36,22.233,baby willn't fit ?,here's baby . baby willn't fit ?,here's baby . baby willn't fit ?
4,4,MOT,Anne,1,"what_about this baby , look ?",what_about this baby look ?,5,5,7,7,7,7,5,Anne/011007.cha,39,22.233,is it too big ?,baby willn't fit ? is it too big ?,here's baby . baby willn't fit ? is it too big ?
5,5,MOT,Anne,1,wanna put them on this little table ?,wanna put them on this little table ?,7,7,8,10,8,10,7,Anne/011007.cha,43,22.233,what_about this baby look ?,is it too big ? what_about this baby look ?,baby willn't fit ? is it too big ? what_about this baby look ?
6,6,MOT,Anne,1,or (.) put them on this table .,or put them on this table .,6,6,6,7,6,7,6,Anne/011007.cha,48,22.233,wanna put them on this little table ?,what_about this baby look ? wanna put them on this little table ?,is it too big ? what_about this baby look ? wanna put them on this little table ?
7,7,MOT,Anne,1,what_about that ?,what_about that ?,3,2,4,4,4,4,3,Anne/011007.cha,51,22.233,or put them on this table .,wanna put them on this little table ? or put them on this table .,what_about this baby look ? wanna put them on this little table ? or put them on this table .
8,8,MOT,Anne,1,make Mummy push her ?,make Mummy push her ?,4,4,5,6,5,5,4,Anne/011007.cha,55,22.233,what_about that ?,or put them on this table . what_about that ?,wanna put them on this little table ? or put them on this table . what_about that ?
9,9,MOT,Anne,1,push her then .,push her then .,3,3,3,3,3,3,3,Anne/011007.cha,59,22.233,make Mummy push her ?,what_about that ? make Mummy push her ?,or put them on this table . what_about that ? make Mummy push her ?
10,10,MOT,Anne,1,push push push .,push push push .,3,3,3,3,3,3,3,Anne/011007.cha,62,22.233,push her then .,make Mummy push her ? push her then .,what_about that ? make Mummy push her ? push her then .
11,11,MOT,Anne,1,what's she doing ?,what's she doing ?,3,4,3,3,3,3,3,Anne/011007.cha,65,22.233,push push push .,push her then . push push push .,make Mummy push her ? push her then . push push push .
12,12,MOT,Anne,1,what's she doing ?,what's she doing ?,3,4,3,3,3,3,3,Anne/011007.cha,68,22.233,what's she doing ?,push push push . what's she doing ?,push her then . push push push . what's she doing ?
13,13,MOT,Anne,1,what's she doing ?,what's she doing ?,3,4,3,3,3,3,3,Anne/011007.cha,71,22.233,what's she doing ?,what's she doing ? what's she doing ?,push push push . what's she doing ? what's she doing ?
14,14,MOT,Anne,1,pardon ?,pardon ?,1,1,2,2,2,2,1,Anne/011007.cha,77,22.233,what's she doing ?,what's she doing ? what's she doing ?,what's she doing ? what's she doing ? what's she doing ?
15,15,MOT,Anne,1,what's baby doing ?,what's baby doing ?,3,4,4,4,4,4,3,Anne/011007.cha,80,22.233,pardon ?,what's she doing ? pardon ?,what's she doing ? what's she doing ? pardon ?
16,16,MOT,Anne,1,is that Anne ?,is that Anne ?,3,3,3,4,3,3,3,Anne/011007.cha,86,22.233,what's baby doing ?,pardon ? what's baby doing ?,what's she doing ? pardon ? what's baby doing ?
17,17,MOT,Anne,1,is it ?,is it ?,2,2,2,2,2,2,2,Anne/011007.cha,89,22.233,is that Anne ?,what's baby doing ? is that Anne ?,pardon ? what's baby doing ? is that Anne ?
18,18,MOT,Anne,1,who's that ?,who's that ?,2,3,2,2,2,2,2,Anne/011007.cha,98,22.233,is it ?,is that Anne ? is it ?,what's baby doing ? is that Anne ? is it ?
19,19,MOT,Anne,1,who do you think it is ?,who do you think it is ?,6,6,6,6,6,6,6,Anne/011007.cha,101,22.233,who's that ?,is it ? who's that ?,is that Anne ? is it ? who's that ?
20,20,MOT,Anne,1,baby's Mummy ?,baby's Mummy ?,2,3,4,4,3,4,2,Anne/011007.cha,107,22.233,who do you think it is ?,who's that ? who do you think it is ?,is it ? who's that ? who do you think it is ?
21,21,MOT,Anne,1,"put them on the table , look .",put them on the table look .,6,7,6,7,6,7,6,Anne/011007.cha,114,22.233,baby's Mummy ?,who do you think it is ? baby's Mummy ?,who's that ? who do you think it is ? baby's Mummy ?
22,22,MOT,Anne,1,"then they willn't get lost , will they ?",then they willn't get lost will they ?,7,10,7,7,9,7,7,Anne/011007.cha,117,22.233,put them on the table look .,baby's Mummy ? put them on the table look .,who do you think it is ? baby's Mummy ? put them on the table look .
23,23,MOT,Anne,1,what're you gonna [: going to] do ?,what're you gonna do ?,4,6,5,6,5,5,4,Anne/011007.cha,120,22.233,then they willn't get lost will they ?,put them on the table look . then they willn't get lost will they ?,baby's Mummy ? put them on the table look . then they willn't get lost will they ?
24,24,MOT,Anne,1,hair ?,hair ?,1,1,1,1,1,1,1,Anne/011007.cha,126,22.233,what're you gonna do ?,then they willn't get lost will they ? what're you gonna do ?,put them on the table look . then they willn't get lost will they ? what're you gonna do ?
25,25,MOT,Anne,1,have her hair brushed ?,have her hair brushed ?,4,5,5,6,5,5,4,Anne/011007.cha,129,22.233,hair ?,what're you gonna do ? hair ?,then they willn't get lost will they ? what're you gonna do ? hair ?
26,26,MOT,Anne,1,choochoochoo@o .,choochoochoo .,1,1,3,3,3,3,1,Anne/011007.cha,144,22.233,have her hair brushed ?,hair ? have her hair brushed ?,what're you gonna do ? hair ? have her hair brushed ?
27,27,MOT,Anne,1,who came to see you on the train ?,who came to see you on the train ?,8,9,8,9,8,8,8,Anne/011007.cha,147,22.233,choochoochoo .,have her hair brushed ? choochoochoo .,hair ? have her hair brushed ? choochoochoo .
28,28,MOT,Anne,1,"who came to see you on the train , Anne ?",who came to see you on the train Anne ?,9,11,9,11,9,9,9,Anne/011007.cha,150,22.233,who came to see you on the train ?,choochoochoo . who came to see you on the train ?,have her hair brushed ? choochoochoo . who came to see you on the train ?
29,29,MOT,Anne,1,can you remember ?,can you remember ?,3,3,5,5,5,5,3,Anne/011007.cha,153,22.233,who came to see you on the train Anne ?,who came to see you on the train ? who came to see you on the train Anne ?,choochoochoo . who came to see you on the train ? who came to see you on the train Anne ?
30,30,MOT,Anne,1,is it big ?,is it big ?,3,3,3,3,3,3,3,Anne/011007.cha,159,22.233,can you remember ?,who came to see you on the train Anne ? can you remember ?,who came to see you on the train ? who came to see you on the train Anne ? can you remember ?
31,31,MOT,Anne,1,did Nanny and Grandad come on the train to see you ?,did Nanny and Grandad come on the train to see you ?,11,12,13,14,13,13,11,Anne/011007.cha,162,22.233,is it big ?,can you remember ? is it big ?,who came to see you on the train Anne ? can you remember ? is it big ?
32,32,MOT,Anne,1,can you remember ?,can you remember ?,3,3,5,5,5,5,3,Anne/011007.cha,165,22.233,did Nanny and Grandad come on the train to see you ?,is it big ? did Nanny and Grandad come on the train to see you ?,can you remember ? is it big ? did Nanny and Grandad come on the train to see you ?
33,33,MOT,Anne,1,"well tip them on here , look .",well tip them on here look .,6,7,6,7,6,6,6,Anne/011007.cha,172,22.233,can you remember ?,did Nanny and Grandad come on the train to see you ? can you remember ?,is it big ? did Nanny and Grandad come on the train to see you ? can you remember ?
34,34,MOT,Anne,1,there is a spider .,there is a spider .,4,4,5,6,5,5,4,Anne/011007.cha,187,22.233,well tip them on here look .,can you remember ? well tip them on here look .,did Nanny and Grandad come on the train to see you ? can you remember ? well tip them on here look .
35,35,MOT,Anne,1,who's that ?,who's that ?,2,3,2,2,2,2,2,Anne/011007.cha,190,22.233,there is a spider .,well tip them on here look . there is a spider .,can you remember ? well tip them on here look . there is a spider .
36,36,MOT,Anne,1,"stand up , Daddy .",stand up Daddy .,3,4,4,4,4,4,3,Anne/011007.cha,195,22.233,who's that ?,there is a spider . who's that ?,well tip them on here look . there is a spider . who's that ?
37,37,MOT,Anne,1,it's Daddy .,it's Daddy .,2,3,3,3,3,3,2,Anne/011007.cha,204,22.233,stand up Daddy .,who's that ? stand up Daddy .,there is a spider . who's that ? stand up Daddy .
38,38,MOT,Anne,1,does Daddy wanna sweep the floor ?,does Daddy wanna sweep the floor ?,6,6,8,8,8,8,6,Anne/011007.cha,211,22.233,it's Daddy .,stand up Daddy . it's Daddy .,who's that ? stand up Daddy . it's Daddy .
39,39,MOT,Anne,1,"here , look .",here look .,2,3,2,3,2,2,2,Anne/011007.cha,214,22.233,does Daddy wanna sweep the floor ?,it's Daddy . does Daddy wanna sweep the floor ?,stand up Daddy . it's Daddy . does Daddy wanna sweep the floor ?
40,40,MOT,Anne,1,hold .,hold .,1,1,1,1,1,1,1,Anne/011007.cha,217,22.233,here look .,does Daddy wanna sweep the floor ? here look .,it's Daddy . does Daddy wanna sweep the floor ? here look .
41,41,MOT,Anne,1,whoops .,whoops .,1,1,1,1,1,1,1,Anne/011007.cha,220,22.233,hold .,here look . hold .,does Daddy wanna sweep the floor ? here look . hold .
42,42,MOT,Anne,1,"there he is , look .",there he is look .,4,5,4,5,4,4,4,Anne/011007.cha,223,22.233,whoops .,hold . whoops .,here look . hold . whoops .
43,43,MOT,Anne,1,he's holding the brush .,he's holding the brush .,4,5,5,5,5,5,4,Anne/011007.cha,226,22.233,there he is look .,whoops . there he is look .,hold . whoops . there he is look .
44,44,MOT,Anne,1,yes .,yes .,1,1,1,1,1,1,1,Anne/011007.cha,236,22.233,he's holding the brush .,there he is look . he's holding the brush .,whoops . there he is look . he's holding the brush .
45,45,MOT,Anne,1,a cake .,a cake .,2,2,2,3,2,2,2,Anne/011007.cha,239,22.233,yes .,he's holding the brush . yes .,there he is look . he's holding the brush . yes .
46,46,MOT,Anne,1,some cheese .,some cheese .,2,2,2,4,2,2,2,Anne/011007.cha,245,22.233,a cake .,yes . a cake .,he's holding the brush . yes . a cake .
47,47,MOT,Anne,1,I like cheese .,I like cheese .,3,3,3,5,3,3,3,Anne/011007.cha,248,22.233,some cheese .,a cake . some cheese .,yes . a cake . some cheese .
48,48,MOT,Anne,1,what_about you ?,what_about you ?,3,2,4,4,4,4,3,Anne/011007.cha,254,22.233,I like cheese .,some cheese . I like cheese .,a cake . some cheese . I like cheese .
49,49,MOT,Anne,1,teddy ?,teddy ?,1,1,2,2,2,2,1,Anne/011007.cha,260,22.233,what_about you ?,I like cheese . what_about you ?,some cheese . I like cheese . what_about you ?
50,50,MOT,Anne,1,what is it ?,what is it ?,3,3,3,3,3,3,3,Anne/011007.cha,267,22.233,teddy ?,what_about you ? teddy ?,I like cheese . what_about you ? teddy ?
51,51,MOT,Anne,1,a teddy ?,a teddy ?,2,2,3,3,3,3,2,Anne/011007.cha,273,22.233,what is it ?,teddy ? what is it ?,what_about you ? teddy ? what is it ?
52,52,MOT,Anne,1,oh .,oh .,1,1,1,1,1,1,1,Anne/011007.cha,287,22.233,a teddy ?,what is it ? a teddy ?,teddy ? what is it ? a teddy ?
53,53,MOT,Anne,1,the snake's coming .,the snake's coming .,3,4,5,5,5,5,3,Anne/011007.cha,290,22.233,oh .,a teddy ? oh .,what is it ? a teddy ? oh .
54,54,MOT,Anne,1,here he comes .,here he comes .,3,3,4,5,4,4,3,Anne/011007.cha,293,22.233,the snake's coming .,oh . the snake's coming .,a teddy ? oh . the snake's coming .
