utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Joel,1,mummie daddy .,mummie daddy .,2,2,3,4,3,3,2,Joel/011101.cha,26,23.033,lane tiger .,katie probly .,pud not's .,that's the wedding .,you're not watching that Joel . that's the wedding .,you're not watching that Joel . that's the wedding .
2,Joel,1,no .,no .,1,1,1,1,1,1,1,Joel/011101.cha,50,23.033,paddington .,teabags .,bale .,shall we play ?,was I a bit boring ? shall we play ?,did you get fed up of mummie chitchating ? was I a bit boring ? shall we play ?
3,Joel,1,yeah [>] .,yeah .,1,1,1,1,1,1,1,Joel/011101.cha,79,23.033,eggo [>] .,talks [>] .,knots [>] .,do you want a tissue ?,oh_dear . do you want a tissue ?,oh . oh_dear . do you want a tissue ?
4,Joel,1,yeah .,yeah .,1,1,1,1,1,1,1,Joel/011101.cha,95,23.033,driveway .,threading .,helps .,gonna find me something to play with ?,what shall we play with then ? gonna find me something to play with ?,right . what shall we play with then ? gonna find me something to play with ?
5,Joel,1,stairs .,stairs .,1,1,1,1,1,1,1,Joel/011101.cha,107,23.033,white .,hidden .,eva .,what do you wanna do ?,what do you wanna do ? what do you wanna do ?,yeah ? what do you wanna do ? what do you wanna do ?
6,Joel,1,stairs .,stairs .,1,1,1,1,1,1,1,Joel/011101.cha,113,23.033,driver .,drumstick .,tadpoles .,sorry ?,what do you wanna do ? sorry ?,what do you wanna do ? what do you wanna do ? sorry ?
7,Joel,1,xxx .,.,0,0,0,0,0,0,0,Joel/011101.cha,135,23.033,.,.,.,you're really fed up with me aren't you this morning ?,because we've got horrible stairs haven't we ? you're really fed up with me aren't you this morning ?,and she's expecting a baby and she can't go all the way up those stairs . because we've got horrible stairs haven't we ? you're really fed up with me aren't you this morning ?
8,Joel,1,yeah .,yeah .,1,1,1,1,1,1,1,Joel/011101.cha,143,23.033,lovely .,innie .,prettier .,shall we color ?,what_about . shall we color ?,you're really fed up with me aren't you this morning ? what_about . shall we color ?
9,Joel,1,yeah .,yeah .,1,1,1,1,1,1,1,Joel/011101.cha,155,23.033,worms .,yodel .,mystery .,shall we color in Postman_Pat ?,let's do some coloring . shall we color in Postman_Pat ?,yeah . let's do some coloring . shall we color in Postman_Pat ?
10,Joel,1,lady .,lady .,1,1,2,2,2,2,1,Joel/011101.cha,178,23.033,read .,gocart's .,bully .,there .,what's that ? there .,and mummie's gotta try and find Postman_Pat amongst all the . what's that ? there .
