example_id,child_name,child_age,caretaker_utterance,children,random,unigram,bigram
Discussing Trucks,Adam ,27 months,what is it ?,hear tractor .,damage pumpy .,jive tighten .,docious tape's .
,,,if you look out the other window maybe you'll see it .,see truck Mommy .,hoorah chimpanzee margory .,thrown tripped castle .,bureau becky's esso .
,,,did you see the truck ?,no I see truck .,binoculars buck dock lazybones .,munching waffles giu gus .,mometer dogger robe rich .
,,,there goes one .,there go one .,indians stole fat .,act skeletons spike .,walt coughs ramp .
,,,yes there goes one .,put truck Mommy .,kings gate blowed .,can policeman's locust .,mus timothy dimes .
,,,put the truck where ?,put truck window .,birds hol dental .,bowwow fire's shrunk .,make columbus pry .
,,,I think that one's too large to go in the window .,look tow truck come here .,marmalade pranced keep trout especially .,remembered firebrigade stuart rein posey .,jojo hunm spinner sunshine's motorcycles .
,,,tow truck come here ?,yeah .,trout .,telled .,god's .
,,,there goes another one .,busy bulldozer .,laugh loosed .,pinecone digger's .,flames carrying .
,,,busy bulldozer ?,yeah .,sew .,waterfalls .,bik .
,,,busy bulldozer ?,there go nother one .,mushing mctats poppet weeing .,cotuit lipstick bea coon .,cracker temp dean's tupper .
,,,yes look another one .,tow truck .,modeling bodger .,yours's dins .,sculptures frighten .
,,,yes look another one .,Bozo Bozo .,kerchief heemself .,doctor played .,pout tongue .
,,,Bozo ?,Bozo yeah Bozo .,car butch supper .,gravel knit trap .,probably tablet now's .
,,,Bozo ?,member Bozo ?,dove phone ?,nd zenaida ?,perro mechanical ?
