utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
1,1,MOT,William,1,where's the train that goes on there William ? 0_4368,where's the train that goes on there William,8,9,10,11,10,10,8,William/010412.cha,23,16.4,,,
2,2,MOT,William,1,can we find the train ? 4368_9508,can we find the train,5,5,5,5,5,5,5,William/010412.cha,26,16.4,where's the train that goes on there William,where's the train that goes on there William,where's the train that goes on there William
3,3,MOT,William,1,can we find the train ? 9508_13561,can we find the train,5,5,5,5,5,5,5,William/010412.cha,29,16.4,can we find the train,where's the train that goes on there William can we find the train,where's the train that goes on there William can we find the train
4,4,MOT,William,1,wanna stay here with Mommy ? 13561_16056,wanna stay here with Mommy,5,5,7,8,8,7,5,William/010412.cha,32,16.4,can we find the train,can we find the train can we find the train,where's the train that goes on there William can we find the train can we find the train
5,5,MOT,William,1,oh you stay here with Mommy . 16056_18633,oh you stay here with Mommy,6,6,7,8,8,7,6,William/010412.cha,35,16.4,wanna stay here with Mommy,can we find the train wanna stay here with Mommy,can we find the train can we find the train wanna stay here with Mommy
6,6,MOT,William,1,can you stay with Mommy ? 18633_19763,can you stay with Mommy,5,5,6,6,7,6,5,William/010412.cha,39,16.4,oh you stay here with Mommy,wanna stay here with Mommy oh you stay here with Mommy,can we find the train wanna stay here with Mommy oh you stay here with Mommy
7,7,MOT,William,1,"o:h , you stay with Mommy , come on . 19763_23300",o:h you stay with Mommy come on,8,9,9,10,10,9,8,William/010412.cha,42,16.4,can you stay with Mommy,oh you stay here with Mommy can you stay with Mommy,wanna stay here with Mommy oh you stay here with Mommy can you stay with Mommy
8,8,MOT,William,1,cmon [: come on] . 23300_24511,cmon,1,2,1,1,1,1,1,William/010412.cha,45,16.4,o:h you stay with Mommy come on,can you stay with Mommy o:h you stay with Mommy come on,oh you stay here with Mommy can you stay with Mommy o:h you stay with Mommy come on
9,9,MOT,William,1,okay . 24511_26715,okay,1,1,2,2,3,2,1,William/010412.cha,48,16.4,cmon,o:h you stay with Mommy come on cmon,can you stay with Mommy o:h you stay with Mommy come on cmon
10,10,MOT,William,1,hi . 26715_27778,hi,1,1,1,1,1,1,1,William/010412.cha,51,16.4,okay,cmon okay,o:h you stay with Mommy come on cmon okay
11,11,MOT,William,1,hi . 27778_29385,hi,1,1,1,1,1,1,1,William/010412.cha,54,16.4,hi,okay hi,cmon okay hi
12,12,MOT,William,1,hi . 29385_31520,hi,1,1,1,1,1,1,1,William/010412.cha,57,16.4,hi,hi hi,okay hi hi
13,13,MOT,William,1,who's that ?,who's that ?,2,3,2,2,2,2,2,William/010412.cha,63,16.4,hi,hi hi,hi hi hi
14,14,MOT,William,1,James ?,James ?,1,1,2,2,2,2,1,William/010412.cha,71,16.4,who's that ?,hi who's that ?,hi hi who's that ?
15,15,MOT,William,1,yeah . 36105_37038,yeah,1,1,1,1,1,1,1,William/010412.cha,74,16.4,James ?,who's that ? James ?,hi who's that ? James ?
16,16,MOT,William,1,who's that ? 37038_37931,who's that,2,3,2,2,2,2,2,William/010412.cha,77,16.4,yeah,James ? yeah,who's that ? James ? yeah
17,17,MOT,William,1,"Katie , yes .",Katie yes .,2,3,2,3,2,2,2,William/010412.cha,85,16.4,who's that,yeah who's that,James ? yeah who's that
18,18,MOT,William,1,(a)n(d) who's that ? 40368_41585,n who's that,3,4,3,3,3,3,3,William/010412.cha,88,16.4,Katie yes .,who's that Katie yes .,yeah who's that Katie yes .
19,19,MOT,William,1,who's that ?,who's that ?,2,3,2,2,2,2,2,William/010412.cha,96,16.4,n who's that,Katie yes . n who's that,who's that Katie yes . n who's that
20,20,MOT,William,1,"Sarah , yeah .",Sarah yeah .,2,3,3,3,3,3,2,William/010412.cha,104,16.4,who's that ?,n who's that who's that ?,Katie yes . n who's that who's that ?
21,21,MOT,William,1,"Sarah , James , (a)n(d) Katie . 45248_49700",Sarah James n Katie,4,6,6,7,6,6,4,William/010412.cha,107,16.4,Sarah yeah .,who's that ? Sarah yeah .,n who's that who's that ? Sarah yeah .
22,22,MOT,William,1,that's right .,that's right .,2,3,2,2,2,2,2,William/010412.cha,115,16.4,Sarah James n Katie,Sarah yeah . Sarah James n Katie,who's that ? Sarah yeah . Sarah James n Katie
23,23,MOT,William,1,"James , yes , (a)n(d) who's that ? 54300_56550",James yes n who's that,5,8,6,6,6,6,5,William/010412.cha,121,16.4,that's right .,Sarah James n Katie that's right .,Sarah yeah . Sarah James n Katie that's right .
24,24,MOT,William,1,"Sarah , that's right .",Sarah that's right .,3,5,4,4,4,4,3,William/010412.cha,127,16.4,James yes n who's that,that's right . James yes n who's that,Sarah James n Katie that's right . James yes n who's that
25,25,MOT,William,1,ball ?,ball ?,1,1,1,1,1,1,1,William/010412.cha,135,16.4,Sarah that's right .,James yes n who's that Sarah that's right .,that's right . James yes n who's that Sarah that's right .
26,26,MOT,William,1,"yes , this is a ball . 60778_63045",yes this is a ball,5,6,5,5,5,5,5,William/010412.cha,138,16.4,ball ?,Sarah that's right . ball ?,James yes n who's that Sarah that's right . ball ?
27,27,MOT,William,1,"here it is , what color's [: color is] the ball ? 63045_65190",here it is what color's the ball,7,9,8,9,8,8,7,William/010412.cha,141,16.4,yes this is a ball,ball ? yes this is a ball,Sarah that's right . ball ? yes this is a ball
28,28,MOT,William,1,"o:h , it bounces . 65190_69970",o:h it bounces,4,4,5,5,5,5,4,William/010412.cha,144,16.4,here it is what color's the ball,yes this is a ball here it is what color's the ball,ball ? yes this is a ball here it is what color's the ball
29,29,MOT,William,1,it bounce:s . 69970_73235,it bounce:s,3,2,3,4,3,3,3,William/010412.cha,147,16.4,o:h it bounces,here it is what color's the ball o:h it bounces,yes this is a ball here it is what color's the ball o:h it bounces
30,30,MOT,William,1,"can I see , &-uh , &-uh ! 73235_77381",can I see,3,5,3,3,3,3,3,William/010412.cha,150,16.4,it bounce:s,o:h it bounces it bounce:s,here it is what color's the ball o:h it bounces it bounce:s
31,31,MOT,William,1,ya [: you] wanna catch ? 77381_78701,ya wanna catch,3,3,4,4,4,4,3,William/010412.cha,153,16.4,can I see,it bounce:s can I see,o:h it bounces it bounce:s can I see
32,32,MOT,William,1,catch . 78701_80063,catch,1,1,1,1,1,1,1,William/010412.cha,156,16.4,ya wanna catch,can I see ya wanna catch,it bounce:s can I see ya wanna catch
33,33,MOT,William,1,catch . 80063_80855,catch,1,1,1,1,1,1,1,William/010412.cha,159,16.4,catch,ya wanna catch catch,can I see ya wanna catch catch
34,34,MOT,William,1,o:h !,o:h !,2,1,2,2,2,2,2,William/010412.cha,165,16.4,catch,catch catch,ya wanna catch catch catch
35,35,MOT,William,1,this one's bigger isn't it . 83051_84906,this one's bigger isn't it,5,7,7,7,7,7,5,William/010412.cha,168,16.4,o:h !,catch o:h !,catch catch o:h !
36,36,MOT,William,1,&-uh . 84906_90240,,0,0,0,0,0,0,0,William/010412.cha,171,16.4,this one's bigger isn't it,o:h ! this one's bigger isn't it,catch o:h ! this one's bigger isn't it
37,37,MOT,William,1,mm . 90240_97055,mm,1,1,1,1,1,1,1,William/010412.cha,172,16.4,this one's bigger isn't it,o:h ! this one's bigger isn't it,catch o:h ! this one's bigger isn't it
38,38,MOT,William,1,ball . 101183_102115,ball,1,1,1,1,1,1,1,William/010412.cha,181,16.4,mm,this one's bigger isn't it mm,o:h ! this one's bigger isn't it mm
39,39,MOT,William,1,yes . 102115_103361,yes,1,1,1,1,1,1,1,William/010412.cha,184,16.4,ball,mm ball,this one's bigger isn't it mm ball
40,40,MOT,William,1,that's okay . 105833_106773,that's okay,2,3,3,3,4,3,2,William/010412.cha,190,16.4,yes,ball yes,mm ball yes
41,41,MOT,William,1,"here , oo:h . 106773_108713",here oo:h,3,3,3,4,3,3,3,William/010412.cha,193,16.4,that's okay,yes that's okay,ball yes that's okay
42,42,MOT,William,1,you: wanna +//.,you wanna .,2,3,3,3,3,3,2,William/010412.cha,196,16.4,here oo:h,that's okay here oo:h,yes that's okay here oo:h
43,43,MOT,William,1,wanna play a song ? 108713_113713,wanna play a song,4,4,5,5,6,5,4,William/010412.cha,199,16.4,you wanna .,here oo:h you wanna .,that's okay here oo:h you wanna .
44,44,MOT,William,1,wanna sing a song ? 113713_114778,wanna sing a song,4,4,5,5,5,5,4,William/010412.cha,202,16.4,wanna play a song,you wanna . wanna play a song,here oo:h you wanna . wanna play a song
45,45,MOT,William,1,if you're happy and you know it +...,if you're happy and you know it .,7,9,8,9,8,8,7,William/010412.cha,205,16.4,wanna sing a song,wanna play a song wanna sing a song,you wanna . wanna play a song wanna sing a song
