utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
1,1,MOT,Warren,1,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?,9,9,9,11,9,9,9,Warren/011006.cha,17,22.2,,,
2,2,MOT,Warren,1,no you needta lift this bit .,no you needta lift this bit .,6,6,7,7,7,7,6,Warren/011006.cha,35,22.2,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?
3,3,MOT,Warren,1,the red bit .,the red bit .,3,3,3,3,3,3,3,Warren/011006.cha,38,22.2,no you needta lift this bit .,can you put some more blocks on your truck ? no you needta lift this bit .,can you put some more blocks on your truck ? no you needta lift this bit .
4,4,MOT,Warren,1,move them onto the bottom then you can tip it .,move them onto the bottom then you can tip it .,10,10,12,13,12,12,10,Warren/011006.cha,44,22.2,the red bit .,no you needta lift this bit . the red bit .,can you put some more blocks on your truck ? no you needta lift this bit . the red bit .
5,5,MOT,Warren,1,lift the red bit .,lift the red bit .,4,4,4,4,4,4,4,Warren/011006.cha,50,22.2,move them onto the bottom then you can tip it .,the red bit . move them onto the bottom then you can tip it .,no you needta lift this bit . the red bit . move them onto the bottom then you can tip it .
6,6,MOT,Warren,1,that's it .,that's it .,2,3,2,2,2,2,2,Warren/011006.cha,59,22.2,lift the red bit .,move them onto the bottom then you can tip it . lift the red bit .,the red bit . move them onto the bottom then you can tip it . lift the red bit .
7,7,MOT,Warren,1,how many blocks are there in here ?,how many blocks are there in here ?,7,7,8,10,8,8,7,Warren/011006.cha,62,22.2,that's it .,lift the red bit . that's it .,move them onto the bottom then you can tip it . lift the red bit . that's it .
8,8,MOT,Warren,1,how many blocks ?,how many blocks ?,3,3,4,4,4,4,3,Warren/011006.cha,68,22.2,how many blocks are there in here ?,that's it . how many blocks are there in here ?,lift the red bit . that's it . how many blocks are there in here ?
9,9,MOT,Warren,1,what's that one ?,what's that one ?,3,4,3,3,3,3,3,Warren/011006.cha,71,22.2,how many blocks ?,how many blocks are there in here ? how many blocks ?,that's it . how many blocks are there in here ? how many blocks ?
10,10,MOT,Warren,1,elephant .,elephant .,1,1,3,3,3,3,1,Warren/011006.cha,80,22.2,what's that one ?,how many blocks ? what's that one ?,how many blocks are there in here ? how many blocks ? what's that one ?
11,11,MOT,Warren,1,that's right .,that's right .,2,3,2,2,2,2,2,Warren/011006.cha,83,22.2,elephant .,what's that one ? elephant .,how many blocks ? what's that one ? elephant .
12,12,MOT,Warren,1,and what's this ?,and what's this ?,3,4,3,3,3,3,3,Warren/011006.cha,86,22.2,that's right .,elephant . that's right .,what's that one ? elephant . that's right .
13,13,MOT,Warren,1,what's that ?,what's that ?,2,3,2,2,2,2,2,Warren/011006.cha,89,22.2,and what's this ?,that's right . and what's this ?,elephant . that's right . and what's this ?
14,14,MOT,Warren,1,can you put the plane back in the toddle truck ?,can you put the plane back in the toddle truck ?,10,10,10,12,10,11,10,Warren/011006.cha,95,22.2,what's that ?,and what's this ? what's that ?,that's right . and what's this ? what's that ?
15,15,MOT,Warren,1,"let's have a look at all the pictures , shall we ?",let's have a look at all the pictures shall we ?,10,12,12,13,12,12,10,Warren/011006.cha,110,22.2,can you put the plane back in the toddle truck ?,what's that ? can you put the plane back in the toddle truck ?,and what's this ? what's that ? can you put the plane back in the toddle truck ?
16,16,MOT,Warren,1,all these pictures .,all these pictures .,3,3,5,6,5,5,3,Warren/011006.cha,113,22.2,let's have a look at all the pictures shall we ?,can you put the plane back in the toddle truck ? let's have a look at all the pictures shall we ?,what's that ? can you put the plane back in the toddle truck ? let's have a look at all the pictures shall we ?
17,17,MOT,Warren,1,that's a number ten .,that's a number ten .,4,5,5,5,5,5,4,Warren/011006.cha,128,22.2,all these pictures .,let's have a look at all the pictures shall we ? all these pictures .,can you put the plane back in the toddle truck ? let's have a look at all the pictures shall we ? all these pictures .
18,18,MOT,Warren,1,number ten .,number ten .,2,2,3,3,3,3,2,Warren/011006.cha,137,22.2,that's a number ten .,all these pictures . that's a number ten .,let's have a look at all the pictures shall we ? all these pictures . that's a number ten .
19,19,MOT,Warren,1,"sometimes you can count , can't you ?",sometimes you can count can't you ?,6,8,9,9,9,9,6,Warren/011006.cha,140,22.2,number ten .,that's a number ten . number ten .,all these pictures . that's a number ten . number ten .
20,20,MOT,Warren,1,two three .,two three .,2,2,2,2,2,2,2,Warren/011006.cha,152,22.2,sometimes you can count can't you ?,number ten . sometimes you can count can't you ?,that's a number ten . number ten . sometimes you can count can't you ?
21,21,MOT,Warren,1,that's right .,that's right .,2,3,2,2,2,2,2,Warren/011006.cha,155,22.2,two three .,sometimes you can count can't you ? two three .,number ten . sometimes you can count can't you ? two three .
22,22,MOT,Warren,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Warren/011006.cha,175,22.2,that's right .,two three . that's right .,sometimes you can count can't you ? two three . that's right .
23,23,MOT,Warren,1,what's happened ?,what's happened ?,2,4,4,4,4,4,2,Warren/011006.cha,178,22.2,oh dear .,that's right . oh dear .,two three . that's right . oh dear .
