utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Ethan,1,xxx . 339343_345455,,0,0,0,0,0,0,0,Ethan/001104.cha,254,11.133,,,,you want your toy over there,do you want a toy you want your toy over there,should we get a toy do you want a toy you want your toy over there
2,Ethan,1,up . 589653_592256,up,1,1,1,1,1,1,1,Ethan/001104.cha,419,11.133,okay,sheet,hubboard,down and up,the wipers on bus go swish swish swish swish swish swish down and up,it's a camera sweetie the wipers on bus go swish swish swish swish swish swish down and up
3,Ethan,1,yyy . 2664690_2666515,,0,0,0,0,0,0,0,Ethan/001104.cha,1852,11.133,,,,sticky I can't do it,yeah open sticky I can't do it,there you go yeah open sticky I can't do it
4,Ethan,2,xxx . 32173_34640,,0,0,0,0,0,0,0,Ethan/001121.cha,50,11.7,,,,and that's a ?,kitty_cat ! and that's a ?,the kitty_cat that's right kitty_cat ! and that's a ?
5,Ethan,2,button [?] . 59741_63420,button,1,1,2,2,2,2,1,Ethan/001121.cha,81,11.7,mom,jet,nun,you can touch it but don't pull okay ?,okay don't touch you can touch it but don't pull okay ?,where's the cow gonna come ? okay don't touch you can touch it but don't pull okay ?
6,Ethan,2,"ha , cow [?] . 83631_86191",ha cow,2,3,2,2,2,2,2,Ethan/001121.cha,104,11.7,balloon button,mikie giants,psh wag,where's the cow,where's the cow where's the cow,do you see a cow now Ethan where's the cow where's the cow
7,Ethan,2,"quack , quack . 95863_100400",quack quack,2,3,2,2,2,2,2,Ethan/001121.cha,127,11.7,baby okay,why trim,cleaned dins,they go quack quack quack quack quack quack .,ducks ducks ducks . they go quack quack quack quack quack quack .,ducks ducks ducks ducks . they go quack quack quack quack quack quack .
8,Ethan,2,yyy . 110456_112190,,0,0,0,0,0,0,0,Ethan/001121.cha,144,11.7,,,,look it's in the water,do you see a cow look it's in the water,quack quack . do you see a cow look it's in the water
9,Ethan,2,cow . 130283_132825,cow,1,1,1,1,1,1,1,Ethan/001121.cha,159,11.7,there,happening,ferocious,moo,I don't see a cow now do you moo,quack quack I don't see a cow now do you moo
10,Ethan,2,bubbles . 567288_572481,bubbles,1,1,2,2,2,2,1,Ethan/001121.cha,448,11.7,good,kiddin,yellowettes,bubbles,you want some bubbles bubbles,what's wrong huh you want some bubbles bubbles
11,Ethan,2,yyy yyy . 698460_701525,,0,0,0,0,0,0,0,Ethan/001121.cha,577,11.7,,,,more bubbles,now we stop now we stop more bubbles,popping popping popping popping popping popping now we stop now we stop more bubbles
12,Ethan,2,bubble [?] . 741765_743051,bubble,1,1,1,2,1,2,1,Ethan/001121.cha,619,11.7,ducky,fiddling,gazagger,one two,ready for some more one two,ah ready for some more one two
13,Ethan,2,bubbles . 766861_768845,bubbles,1,1,2,2,2,2,1,Ethan/001121.cha,642,11.7,bus,budoo,elastic,are you a sleepy puss,no more bubbles are you a sleepy puss,no more bubbles no more bubbles are you a sleepy puss
14,Ethan,2,mom . 772916_775673,mom,1,1,1,1,1,1,1,Ethan/001121.cha,653,11.7,bubbles,pits,eleanor,what do you want,more bubbles what do you want,are you a sleepy puss more bubbles what do you want
15,Ethan,2,yyy yyy . 831665_833460,,0,0,0,0,0,0,0,Ethan/001121.cha,716,11.7,,,,right,there's the kitty cat right,yes kitty yes kitty one spotted calf there's the kitty cat right
16,Ethan,2,yyy . 857540_860155,,0,0,0,0,0,0,0,Ethan/001121.cha,749,11.7,,,,and that's a kitty cat and that's a kitty cat and that's a kitty cat,do you see kitty cat and that's a kitty cat and that's a kitty cat and that's a kitty cat,kitty cat right do you see kitty cat and that's a kitty cat and that's a kitty cat and that's a kitty cat
17,Ethan,2,yyy . 873276_874256,,0,0,0,0,0,0,0,Ethan/001121.cha,770,11.7,,,,scratchy,scratchy scratchy,you wanna see this kitty scratchy scratchy
18,Ethan,2,yyy yyy . 961725_963561,,0,0,0,0,0,0,0,Ethan/001121.cha,861,11.7,,,,bang bang bang bang bang,bang bang bang bang bang bang bang that's right bang bang bang bang bang,bang bang bang bang bang bang bang bang bang bang bang bang that's right bang bang bang bang bang
19,Ethan,2,yyy . 972440_976206,,0,0,0,0,0,0,0,Ethan/001121.cha,877,11.7,,,,that's what the kitty cat eats out_of,that's the bowl that's what the kitty cat eats out_of,is that a kitty cat that's the bowl that's what the kitty cat eats out_of
20,Ethan,2,yyy . 986673_988310,,0,0,0,0,0,0,0,Ethan/001121.cha,883,11.7,,,,kitty cat ready,that's what the kitty cat eats out_of kitty cat ready,that's the bowl that's what the kitty cat eats out_of kitty cat ready
21,Ethan,2,yyy yyy . 1026829_1030606,,0,0,0,0,0,0,0,Ethan/001121.cha,921,11.7,,,,where's the kitty cat,I don't know where the kitty cat is where's the kitty cat,oh no kitty cat I don't know where the kitty cat is where's the kitty cat
22,Ethan,2,yyy . 1039015_1040446,,0,0,0,0,0,0,0,Ethan/001121.cha,933,11.7,,,,look at that,what's that do you wanna see look at that,yeah up what's that do you wanna see look at that
23,Ethan,2,yyy . 1062790_1066680,,0,0,0,0,0,0,0,Ethan/001121.cha,949,11.7,,,,doo doo doo doo doo doo doo,music doo doo doo doo doo doo doo,you want music music doo doo doo doo doo doo doo
24,Ethan,2,yyy . 1164103_1167430,,0,0,0,0,0,0,0,Ethan/001121.cha,1030,11.7,,,,shake shake shake shake shake shake shake,is this the bottle shake shake shake shake shake shake shake,yeah is this the bottle shake shake shake shake shake shake shake
25,Ethan,2,yyy . 1188631_1192665,,0,0,0,0,0,0,0,Ethan/001121.cha,1054,11.7,,,,is that yummy,ooh is that yummy,ready careful ooh is that yummy
26,Ethan,2,yyy . 1222281_1223558,,0,0,0,0,0,0,0,Ethan/001121.cha,1085,11.7,,,,bonka bonka bonka bonka bonka bonka bonka bonka,balloon bonka bonka bonka bonka bonka bonka bonka bonka,rumm rumm rumm rumm rumm rumm rumm rumm rumm rumm balloon bonka bonka bonka bonka bonka bonka bonka bonka
27,Ethan,2,block . 1274925_1277503,block,1,1,1,1,1,1,1,Ethan/001121.cha,1133,11.7,mama,friendly,huh,are you gonna eat the block,rumm rumm rumm rumm rumm rumm rumm rumm rumm are you gonna eat the block,okay rumm rumm rumm rumm rumm rumm rumm rumm rumm are you gonna eat the block
28,Ethan,2,yyy . 1315211_1317546,,0,0,0,0,0,0,0,Ethan/001121.cha,1166,11.7,,,,very good,there you go put the block in the truck very good,rumm rumm rumm rumm rumm rumm rumm rumm rumm there you go put the block in the truck very good
29,Ethan,2,yyy . 1357031_1360125,,0,0,0,0,0,0,0,Ethan/001121.cha,1196,11.7,,,,she's outside,she's outside she's outside,she's outside she's outside she's outside
30,Ethan,2,yyy ! 1531113_1532888,,0,0,0,0,0,0,0,Ethan/001121.cha,1343,11.7,,,,open,shut open,that's right hi little girl shut open
31,Ethan,2,yyy . 1669560_1672195,,0,0,0,0,0,0,0,Ethan/001121.cha,1475,11.7,,,,yeah mommy's got a wire too,hi little girl yeah mommy's got a wire too,shut open shut open shut open shut open shut open shut open shut open hi little girl hi little girl yeah mommy's got a wire too
32,Ethan,2,yyy . 1758618_1760386,,0,0,0,0,0,0,0,Ethan/001121.cha,1541,11.7,,,,swish swish swish,gentle please swish swish swish,swish swish swish swish swish swish swish swish swish gentle please swish swish swish
33,Ethan,2,bah . 1764816_1766051,bah,1,1,1,1,1,1,1,Ethan/001121.cha,1550,11.7,box,swinging,martha,up and down,up and down up and down,swish swish swish up and down up and down
34,Ethan,2,yyy .,.,0,0,0,0,0,0,0,Ethan/001121.cha,1700,11.7,.,.,.,weh weh weh,the baby's crying weh weh weh,is that a baby the baby's crying weh weh weh
35,Ethan,2,yyy . 2011351_2013905,,0,0,0,0,0,0,0,Ethan/001121.cha,1748,11.7,,,,boink,bump boink,is that where a shoe goes ? bump boink
36,Ethan,2,yyy bus [?] . 2047576_2059240,bus,1,1,1,1,1,1,1,Ethan/001121.cha,1769,11.7,,stacy,chickie,in and out in and out,gentle in and out in and out,move on back gentle in and out in and out
37,Ethan,2,yyy . 2296653_2298208,,0,0,0,0,0,0,0,Ethan/001121.cha,1949,11.7,,,,gentle,gentle gentle,what are you doing Ethan gentle gentle
38,Ethan,2,yyy . 2313381_2316131,,0,0,0,0,0,0,0,Ethan/001121.cha,1967,11.7,,,,they go round and round,wheels they go round and round,what are those wheels they go round and round
39,Ethan,2,ball ball . 2353311_2355941,ball ball,2,2,2,2,2,2,2,Ethan/001121.cha,2003,11.7,up balloon,woggie colorings,handkerchiefs dawson,one two three,ready one two three,oops ready one two three
40,Ethan,2,balloon . 2359300_2361596,balloon,1,1,2,2,2,2,1,Ethan/001121.cha,2014,11.7,hello,drain,smash,there's your ball,there's your ball there's your ball,one two three there's your ball there's your ball
41,Ethan,2,yyy . 2439411_2441215,,0,0,0,0,0,0,0,Ethan/001121.cha,2112,11.7,,,,is that daddy,daddy is that daddy,who's that daddy is that daddy
42,Ethan,2,daddy . 2480518_2483078,daddy,1,1,2,2,2,2,1,Ethan/001121.cha,2160,11.7,button,lyons,rock,who's that,there's who's that who's that,let's see if we can find there's who's that who's that
43,Ethan,2,&~di . 2484246_2485926,,0,0,0,0,0,0,0,Ethan/001121.cha,2168,11.7,,,,daddy,who's that daddy,there's who's that who's that daddy
44,Ethan,2,yyy . 2528013_2529701,,0,0,0,0,0,0,0,Ethan/001121.cha,2204,11.7,,,,is that mommy,that's mommy is that mommy,and who's that that's mommy is that mommy
45,Ethan,2,yyy . 2541806_2545288,,0,0,0,0,0,0,0,Ethan/001121.cha,2219,11.7,,,,uhhuh,yeah uhhuh,here's a baby too yeah uhhuh
46,Ethan,2,yyy . 2545288_2554063,,0,0,0,0,0,0,0,Ethan/001121.cha,2222,11.7,,,,uhhuh,yeah uhhuh,here's a baby too yeah uhhuh
47,Ethan,2,yyy . 2577610_2579305,,0,0,0,0,0,0,0,Ethan/001121.cha,2243,11.7,,,,and another baby,there's mommy again and another baby,that's your cousin Mason there's mommy again and another baby
48,Ethan,2,baby . 2584865_2587433,baby,1,1,2,2,2,2,1,Ethan/001121.cha,2252,11.7,dad,dokey,startled,is that a cute baby,baby is that a cute baby,and another baby baby is that a cute baby
49,Ethan,2,ball . 2648233_2649408,ball,1,1,1,1,1,1,1,Ethan/001121.cha,2311,11.7,hm,canary,saidn't,uhoh,let's see uhoh,yes whoops sorry where's your ball let's see uhoh
50,Ethan,2,baby . 2673580_2677606,baby,1,1,2,2,2,2,1,Ethan/001121.cha,2337,11.7,mom,stabilize,vacuumed,you wanna see the pumpkin again,bounce bounce bounce bounce bounce bounce bounce bounce bounce bounce bounce you wanna see the pumpkin again,bounce bounce bounce bounce bounce bounce bounce bounce bounce bounce bounce bounce bounce bounce you wanna see the pumpkin again
51,Ethan,2,yyy . 2684963_2687146,,0,0,0,0,0,0,0,Ethan/001121.cha,2351,11.7,,,,baby,that's all the pictures baby,baby that's all the pictures baby
