utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Liz,1,my baby .,my baby .,2,2,3,3,3,3,2,Liz/011109.cha,15,23.3,lots picture's .,pinchers swimsuits .,hermit tutu .,is that your baby ?,is that your baby ?,is that your baby ?
2,Liz,1,house .,house .,1,1,1,2,1,1,1,Liz/011109.cha,39,23.3,zip .,slipper .,coughing .,shall we have a play with your house ?,you can speak if you like you know . shall we have a play with your house ?,are you giving her to me ? you can speak if you like you know . shall we have a play with your house ?
3,Liz,1,people .,people .,1,1,1,2,1,2,1,Liz/011109.cha,63,23.3,tins .,accessorize .,beat .,where are the people for the house ?,Liz . where are the people for the house ?,Liz . Liz . where are the people for the house ?
4,Liz,1,people .,people .,1,1,1,2,1,2,1,Liz/011109.cha,69,23.3,french .,babes .,leah .,where are they ?,where are the people for the house ? where are they ?,Liz . where are the people for the house ? where are they ?
5,Liz,1,people .,people .,1,1,1,2,1,2,1,Liz/011109.cha,75,23.3,group .,squeaky .,unpickidat .,hm ?,where are they ? hm ?,where are the people for the house ? where are they ? hm ?
6,Liz,1,Liz('s) pram .,Liz pram .,2,3,2,2,2,2,2,Liz/011109.cha,81,23.3,bedelia pins .,sar rayed .,gifts duper .,are they with the farm maybe ?,hm ? are they with the farm maybe ?,where are they ? hm ? are they with the farm maybe ?
7,Liz,1,Liz('s) pram .,Liz pram .,2,3,2,2,2,2,2,Liz/011109.cha,84,23.3,pow squigglies .,cocoon icecreams .,measles hopscotch .,are they with the farm maybe ?,hm ? are they with the farm maybe ?,where are they ? hm ? are they with the farm maybe ?
8,Liz,1,Liz('s) pram .,Liz pram .,2,3,2,2,2,2,2,Liz/011109.cha,87,23.3,licking chimney .,monroe tuffy .,shoveling dennis .,are they with the farm maybe ?,hm ? are they with the farm maybe ?,where are they ? hm ? are they with the farm maybe ?
9,Liz,1,my book .,my book .,2,2,2,2,2,2,2,Liz/011109.cha,96,23.3,she cones .,paprika postcard .,john's pinwheel .,that's your pram .,yeah . that's your pram .,are they with the farm maybe ? yeah . that's your pram .
10,Liz,1,my book .,my book .,2,2,2,2,2,2,2,Liz/011109.cha,99,23.3,alex squeak .,bouncie wilma .,dotted push .,that's your pram .,yeah . that's your pram .,are they with the farm maybe ? yeah . that's your pram .
11,Liz,1,cow .,cow .,1,1,1,1,1,1,1,Liz/011109.cha,105,23.3,whoa .,camilla .,tadah .,you're getting your book out are you ?,that's your pram . you're getting your book out are you ?,yeah . that's your pram . you're getting your book out are you ?
12,Liz,1,cow .,cow .,1,1,1,1,1,1,1,Liz/011109.cha,108,23.3,blue's .,ever .,ginny .,you're getting your book out are you ?,that's your pram . you're getting your book out are you ?,yeah . that's your pram . you're getting your book out are you ?
13,Liz,1,cow .,cow .,1,1,1,1,1,1,1,Liz/011109.cha,111,23.3,block .,telled .,jenny's .,you're getting your book out are you ?,that's your pram . you're getting your book out are you ?,yeah . that's your pram . you're getting your book out are you ?
14,Liz,1,yes .,yes .,1,1,1,1,1,1,1,Liz/011109.cha,117,23.3,pockets .,foh .,a .,are you gonna find the cow ?,you're getting your book out are you ? are you gonna find the cow ?,that's your pram . you're getting your book out are you ? are you gonna find the cow ?
15,Liz,1,train .,train .,1,1,1,1,1,1,1,Liz/011109.cha,126,23.3,tellie .,bulbs .,starts .,what's that ?,what's that ? what's that ?,are you gonna find the cow ? what's that ? what's that ?
16,Liz,1,(heli)copter .,copter .,1,1,2,2,2,2,1,Liz/011109.cha,132,23.3,tried .,baked .,mumps .,mhm .,what's that ? mhm .,what's that ? what's that ? mhm .
17,Liz,1,(heli)copter .,copter .,1,1,2,2,2,2,1,Liz/011109.cha,135,23.3,come .,stacy .,camilla .,mhm .,what's that ? mhm .,what's that ? what's that ? mhm .
18,Liz,1,cow .,cow .,1,1,1,1,1,1,1,Liz/011109.cha,144,23.3,finished .,buttons .,slice .,it's a helicopter .,that's right . it's a helicopter .,mhm . that's right . it's a helicopter .
19,Liz,1,cow .,cow .,1,1,1,1,1,1,1,Liz/011109.cha,150,23.3,tree .,symber .,thins .,yes .,it's a helicopter . yes .,that's right . it's a helicopter . yes .
20,Liz,1,cow .,cow .,1,1,1,1,1,1,1,Liz/011109.cha,153,23.3,cupboard .,pine .,gases .,yes .,it's a helicopter . yes .,that's right . it's a helicopter . yes .
21,Liz,1,cow .,cow .,1,1,1,1,1,1,1,Liz/011109.cha,159,23.3,need .,us .,checker .,there's the cow .,yes . there's the cow .,it's a helicopter . yes . there's the cow .
22,Liz,1,cow .,cow .,1,1,1,1,1,1,1,Liz/011109.cha,162,23.3,time .,topsy .,jumper .,there's the cow .,yes . there's the cow .,it's a helicopter . yes . there's the cow .
23,Liz,1,doggie .,doggie .,1,1,1,2,1,1,1,Liz/011109.cha,168,23.3,bacon .,clop .,bumbum .,and what are these ?,there's the cow . and what are these ?,yes . there's the cow . and what are these ?
24,Liz,1,houses .,houses .,1,1,2,2,2,3,1,Liz/011109.cha,174,23.3,catching .,round .,round .,mhm .,and what are these ? mhm .,there's the cow . and what are these ? mhm .
25,Liz,1,house .,house .,1,1,1,2,1,1,1,Liz/011109.cha,177,23.3,don .,aerial .,iss .,mhm .,and what are these ? mhm .,there's the cow . and what are these ? mhm .
26,Liz,1,box .,box .,1,1,1,1,1,1,1,Liz/011109.cha,183,23.3,breakfast .,sibling .,mushed .,some houses up there yeah .,mhm . some houses up there yeah .,and what are these ? mhm . some houses up there yeah .
27,Liz,1,box .,box .,1,1,1,1,1,1,1,Liz/011109.cha,192,23.3,far .,gluing .,nutter .,it might look like a box now .,that was a garden we drew wasn't it ? it might look like a box now .,some houses up there yeah . that was a garden we drew wasn't it ? it might look like a box now .
28,Liz,1,fly .,fly .,1,1,1,1,1,1,1,Liz/011109.cha,213,23.3,wrenchie .,seagull .,douse .,is it a little fly ?,what is it ? is it a little fly ?,but what's this on the cow's bum ? what is it ? is it a little fly ?
29,Liz,1,fly .,fly .,1,1,1,1,1,1,1,Liz/011109.cha,219,23.3,broke .,spot's .,skydiving .,yes .,is it a little fly ? yes .,what is it ? is it a little fly ? yes .
