utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Anne,1,baby .,baby .,1,1,2,2,2,2,1,Anne/011007.cha,20,22.233,ringing .,waiting .,stellas .,,,
2,Anne,1,xxx it .,it .,1,1,1,1,1,1,1,Anne/011007.cha,26,22.233,aubergines .,perhaps .,ginger .,here's baby .,here's baby .,here's baby .
3,Anne,1,it fit .,it fit .,2,2,2,2,2,2,2,Anne/011007.cha,29,22.233,seesaw bran .,toto's throw .,clicky drawbridge .,here's baby .,here's baby .,here's baby .
4,Anne,1,xxx .,.,0,0,0,0,0,0,0,Anne/011007.cha,46,22.233,.,.,.,wanna put them on this little table ?,what_about this baby look ? wanna put them on this little table ?,is it too big ? what_about this baby look ? wanna put them on this little table ?
5,Anne,1,push push push [=! whispers] .,push push push .,3,3,3,3,3,3,3,Anne/011007.cha,74,22.233,birdies kookaburra loud .,vacation shucks fish .,c'mon dahdahdahdahdah waterfall .,what's she doing ?,what's she doing ? what's she doing ?,what's she doing ? what's she doing ? what's she doing ?
6,Anne,1,Anne .,Anne .,1,1,1,2,1,1,1,Anne/011007.cha,83,22.233,pair .,penny's .,trapetoid .,what's baby doing ?,pardon ? what's baby doing ?,what's she doing ? pardon ? what's baby doing ?
7,Anne,1,what's that ?,what's that ?,2,3,2,2,2,2,2,Anne/011007.cha,92,22.233,douglas hairy ?,flapjacks cryin ?,god's while ?,is it ?,is that Anne ? is it ?,what's baby doing ? is that Anne ? is it ?
8,Anne,1,what's that ?,what's that ?,2,3,2,2,2,2,2,Anne/011007.cha,95,22.233,larkin blanket ?,eye pinga ?,altogether doors ?,is it ?,is that Anne ? is it ?,what's baby doing ? is that Anne ? is it ?
9,Anne,1,baby [/] baby Mummy .,baby baby Mummy .,3,2,6,6,6,6,3,Anne/011007.cha,104,22.233,grandma other katie .,pinched pumpkin's kernel .,christmas bubblegum eyeses .,who do you think it is ?,who's that ? who do you think it is ?,is it ? who's that ? who do you think it is ?
10,Anne,1,car .,car .,1,1,1,1,1,1,1,Anne/011007.cha,110,22.233,i've .,cumber .,alice .,baby's Mummy ?,who do you think it is ? baby's Mummy ?,who's that ? who do you think it is ? baby's Mummy ?
11,Anne,1,hair .,hair .,1,1,1,1,1,1,1,Anne/011007.cha,123,22.233,sneaking .,hairbrush .,gether .,what're you gonna do ?,then they willn't get lost will they ? what're you gonna do ?,put them on the table look . then they willn't get lost will they ? what're you gonna do ?
12,Anne,1,xxx .,.,0,0,0,0,0,0,0,Anne/011007.cha,132,22.233,.,.,.,have her hair brushed ?,hair ? have her hair brushed ?,what're you gonna do ? hair ? have her hair brushed ?
13,Anne,1,what's that ?,what's that ?,2,3,2,2,2,2,2,Anne/011007.cha,134,22.233,teeths belongs ?,cloth shades ?,smoothie snooze ?,have her hair brushed ?,hair ? have her hair brushed ?,what're you gonna do ? hair ? have her hair brushed ?
14,Anne,1,train .,train .,1,1,1,1,1,1,1,Anne/011007.cha,138,22.233,almond .,easy .,treating .,have her hair brushed ?,hair ? have her hair brushed ?,what're you gonna do ? hair ? have her hair brushed ?
15,Anne,1,choo@o .,choo .,1,1,1,1,1,1,1,Anne/011007.cha,141,22.233,coon .,lizard's .,cused .,have her hair brushed ?,hair ? have her hair brushed ?,what're you gonna do ? hair ? have her hair brushed ?
16,Anne,1,big .,big .,1,1,1,1,1,1,1,Anne/011007.cha,156,22.233,wacky .,wagging .,cop .,can you remember ?,who came to see you on the train Anne ? can you remember ?,who came to see you on the train ? who came to see you on the train Anne ? can you remember ?
17,Anne,1,tip .,tip .,1,1,1,1,1,1,1,Anne/011007.cha,168,22.233,girl's .,sunburn .,piano's .,can you remember ?,did Nanny and Grandad come on the train to see you ? can you remember ?,is it big ? did Nanny and Grandad come on the train to see you ? can you remember ?
18,Anne,1,tip xxx .,tip .,1,1,1,1,1,1,1,Anne/011007.cha,176,22.233,daisy .,teachers .,ruffled .,well tip them on here look .,can you remember ? well tip them on here look .,did Nanny and Grandad come on the train to see you ? can you remember ? well tip them on here look .
19,Anne,1,spider .,spider .,1,1,2,2,2,2,1,Anne/011007.cha,180,22.233,ruby .,smoothie .,lesson .,well tip them on here look .,can you remember ? well tip them on here look .,did Nanny and Grandad come on the train to see you ? can you remember ? well tip them on here look .
20,Anne,1,spider .,spider .,1,1,2,2,2,2,1,Anne/011007.cha,183,22.233,left .,flys .,sieve .,well tip them on here look .,can you remember ? well tip them on here look .,did Nanny and Grandad come on the train to see you ? can you remember ? well tip them on here look .
21,Anne,1,xxx .,.,0,0,0,0,0,0,0,Anne/011007.cha,193,22.233,.,.,.,who's that ?,there is a spider . who's that ?,well tip them on here look . there is a spider . who's that ?
22,Anne,1,xxx .,.,0,0,0,0,0,0,0,Anne/011007.cha,199,22.233,.,.,.,stand up Daddy .,who's that ? stand up Daddy .,there is a spider . who's that ? stand up Daddy .
23,Anne,1,what's that ?,what's that ?,2,3,2,2,2,2,2,Anne/011007.cha,201,22.233,didn't dee ?,began rain ?,birt creaking ?,stand up Daddy .,who's that ? stand up Daddy .,there is a spider . who's that ? stand up Daddy .
24,Anne,1,piggy .,piggy .,1,1,2,2,2,2,1,Anne/011007.cha,207,22.233,cat's .,paf .,bulgie .,it's Daddy .,stand up Daddy . it's Daddy .,who's that ? stand up Daddy . it's Daddy .
25,Anne,1,what's that ?,what's that ?,2,3,2,2,2,2,2,Anne/011007.cha,229,22.233,sing commydit ?,neenaw ronald ?,caetano outsides ?,he's holding the brush .,there he is look . he's holding the brush .,whoops . there he is look . he's holding the brush .
26,Anne,1,a cake .,a cake .,2,2,2,3,2,2,2,Anne/011007.cha,232,22.233,rabbit peach .,celebrate sucky .,octopuses hospitals .,he's holding the brush .,there he is look . he's holding the brush .,whoops . there he is look . he's holding the brush .
27,Anne,1,what's that ?,what's that ?,2,3,2,2,2,2,2,Anne/011007.cha,242,22.233,airport tomatoes ?,chloe's ch ?,dripped eeyoo ?,a cake .,yes . a cake .,he's holding the brush . yes . a cake .
28,Anne,1,look .,look .,1,1,1,1,1,1,1,Anne/011007.cha,251,22.233,forget .,nowhere .,loopy .,I like cheese .,some cheese . I like cheese .,a cake . some cheese . I like cheese .
29,Anne,1,teddy .,teddy .,1,1,2,2,2,2,1,Anne/011007.cha,257,22.233,far .,necklace .,flair .,what_about you ?,I like cheese . what_about you ?,some cheese . I like cheese . what_about you ?
30,Anne,1,blue .,blue .,1,1,1,1,1,1,1,Anne/011007.cha,263,22.233,peeppo .,jag .,gum .,teddy ?,what_about you ? teddy ?,I like cheese . what_about you ? teddy ?
31,Anne,1,teddy .,teddy .,1,1,2,2,2,2,1,Anne/011007.cha,270,22.233,tray .,thataway .,meats .,what is it ?,teddy ? what is it ?,what_about you ? teddy ? what is it ?
32,Anne,1,dolly .,dolly .,1,1,2,2,2,2,1,Anne/011007.cha,281,22.233,vagwelly .,bedknobs .,rover's .,a teddy ?,what is it ? a teddy ?,teddy ? what is it ? a teddy ?
33,Anne,1,&~mm .,.,0,0,0,0,0,0,0,Anne/011007.cha,305,22.233,.,.,.,is the snake gonna eat the cake ?,Anne . is the snake gonna eat the cake ?,is he gonna eat the cake ? Anne . is the snake gonna eat the cake ?
34,Anne,1,eat cake .,eat cake .,2,2,2,3,2,2,2,Anne/011007.cha,309,22.233,cmon where're .,sojourner camed .,tower's sooner .,like it ?,is the snake gonna eat the cake ? like it ?,Anne . is the snake gonna eat the cake ? like it ?
35,Anne,1,teddy .,teddy .,1,1,2,2,2,2,1,Anne/011007.cha,326,22.233,sitters .,wags's .,damp .,that's my cake .,that's my cake . that's my cake .,don't eat my cake . that's my cake . that's my cake .
36,Anne,1,hello .,hello .,1,1,2,2,2,2,1,Anne/011007.cha,332,22.233,macaroni .,stops .,grannys .,what's teddy say ?,that's my cake . what's teddy say ?,that's my cake . that's my cake . what's teddy say ?
37,Anne,1,there it goes .,there it goes .,3,3,3,4,3,3,3,Anne/011007.cha,344,22.233,elmo's try bag's .,salami lily oves .,seemed burning livin .,hello .,hello snake . hello .,hello . hello snake . hello .
38,Anne,1,boat .,boat .,1,1,1,1,1,1,1,Anne/011007.cha,349,22.233,falling .,snuck .,caroline's .,hello .,hello snake . hello .,hello . hello snake . hello .
39,Anne,1,what ?,what ?,1,1,1,1,1,1,1,Anne/011007.cha,361,22.233,drums ?,own ?,seal's ?,willn't fit .,oh dear . willn't fit .,is it a boat ? oh dear . willn't fit .
