utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Lily,1,doggie [?] . 23315_24608,doggie,1,1,1,2,1,1,1,Lily/010102.cha,45,13.067,brought,nude,hoop,wolf,violin wolf,xylophone violin wolf
2,Lily,1,ruff [?] . 29506_30370,ruff,1,1,1,1,1,1,1,Lily/010102.cha,56,13.067,clunkamunk,boat,paul's,what's the doggie say,does the wolf look like a doggie what's the doggie say,wolf does the wolf look like a doggie what's the doggie say
3,Lily,1,ruff . 31013_31841,ruff,1,1,1,1,1,1,1,Lily/010102.cha,64,13.067,sing,demonstration,hippityhop,uff,what's the doggie say uff,does the wolf look like a doggie what's the doggie say uff
4,Lily,1,yyy yyy . 35130_37273,,0,0,0,0,0,0,0,Lily/010102.cha,78,13.067,,,,the:re's the do:ll .,where's the do:ll the:re's the do:ll .,uff where's the do:ll the:re's the do:ll .
5,Lily,1,yyy . 57940_59541,,0,0,0,0,0,0,0,Lily/010102.cha,120,13.067,,,,where's puppy ?,where's puppy where's puppy ?,you know what sweetie pie where's puppy where's puppy ?
6,Lily,1,yyy yyy . 62100_63360,,0,0,0,0,0,0,0,Lily/010102.cha,126,13.067,,,,where's puppy,where's puppy ? where's puppy,where's puppy where's puppy ? where's puppy
7,Lily,1,dirty . 87446_89295,dirty,1,1,2,2,2,2,1,Lily/010102.cha,160,13.067,score,unlock,worrying,is that dirty,they're muddy is that dirty,look at Spot's muddy pawprints they're muddy is that dirty
8,Lily,1,bumblebee ! 150683_152676,bumblebee,1,1,2,3,2,2,1,Lily/010102.cha,252,13.067,doh,beakers,hidden,what's that,yellow banana what's that,there's a yellow banana yellow banana what's that
9,Lily,1,yyy . 159343_160450,,0,0,0,0,0,0,0,Lily/010102.cha,266,13.067,,,,ya want mommy to get you a banana,you want a banana ya want mommy to get you a banana,bumblebee you want a banana ya want mommy to get you a banana
10,Lily,1,yyy . 188330_189000,,0,0,0,0,0,0,0,Lily/010102.cha,301,13.067,,,,is that your boppie,want a bite is that your boppie,bana:na want a bite is that your boppie
11,Lily,1,yyy . 202400_203151,,0,0,0,0,0,0,0,Lily/010102.cha,325,13.067,,,,want another bite,yeah want another bite,is it taking pictures of Lily yeah want another bite
12,Lily,1,yyy . 228300_229546,,0,0,0,0,0,0,0,Lily/010102.cha,366,13.067,,,,yeah,that's a little flag on the boat yeah,that's a little flag that's a little flag on the boat yeah
13,Lily,1,yyy . 235131_237196,,0,0,0,0,0,0,0,Lily/010102.cha,383,13.067,,,,who's in the refrigerator ?,did you put anyone in the refrigerator who's in the refrigerator ?,that's a camera did you put anyone in the refrigerator who's in the refrigerator ?
14,Lily,1,yyy . 270451_272371,,0,0,0,0,0,0,0,Lily/010102.cha,426,13.067,,,,there you go,get your ice cubes there you go,kay get your ice cubes there you go
15,Lily,1,yyy . 305291_309708,,0,0,0,0,0,0,0,Lily/010102.cha,466,13.067,,,,close that,let's put our beds up close that,we close the dollhouse let's put our beds up close that
