utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Naima,1,xxx Daddy Daddy . 3301_7341,Daddy Daddy,2,2,4,4,4,4,2,Naima/001126.cha,20,11.867,bubbles daddy,beck terra,trape vermont,let's go back here cranky girl who didn't have a nap,let's go back here cranky girl who didn't have a nap,let's go back here cranky girl who didn't have a nap
2,Naima,1,yyy . 20328_23791,,0,0,0,0,0,0,0,Naima/001126.cha,44,11.867,,,,hey !,here we go hey !,okay here we go hey !
3,Naima,1,Daddy yyy . 30940_34873,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,54,11.867,ducky,fudgecicle,package,oh,ywanna make some music oh,hey ! ywanna make some music oh
4,Naima,1,yyy . 90050_91753,,0,0,0,0,0,0,0,Naima/001126.cha,137,11.867,,,,hello hello .,okay . hello hello .,you don't wanna say hi okay . hello hello .
5,Naima,1,Daddy [?] . 115130_116380,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,170,11.867,bus,scuffy,nori,comere .,it's just a microphone comere .,it's okay . it's just a microphone comere .
6,Naima,1,Daddy [?] . 122208_123620,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,182,11.867,tigger,stab,ra,my baby,oh my baby my baby,comere . oh my baby my baby
7,Naima,1,Tigger [?] . 193186_197655,Tigger,1,1,2,2,2,2,1,Naima/001126.cha,251,11.867,hello,telly,numbers,and I think it was Tigger who says something like .,warrah warrah warrah warrah he said and I think it was Tigger who says something like .,Winnie the Pooh woke up in the middle of the night and listened warrah warrah warrah warrah he said and I think it was Tigger who says something like .
8,Naima,1,yyy . 205833_207016,,0,0,0,0,0,0,0,Naima/001126.cha,264,11.867,,,,I'm hungry and it's breakfast time,who says something like . I'm hungry and it's breakfast time,and I think it was Tigger who says something like . who says something like . I'm hungry and it's breakfast time
9,Naima,1,Daddy . 221556_224525,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,289,11.867,tigger,telescopes,shoot,what's in here ?,it's okay . what's in here ?,it's okay it's okay . what's in here ?
10,Naima,1,yyy . 249448_252275,,0,0,0,0,0,0,0,Naima/001126.cha,324,11.867,,,,yeah,or you can put it in . yeah,we can put it in . or you can put it in . yeah
11,Naima,1,yyy . 255898_258408,,0,0,0,0,0,0,0,Naima/001126.cha,337,11.867,,,,we could put the ring in the block .,it can stay there we could put the ring in the block .,yeah it's okay . it can stay there we could put the ring in the block .
12,Naima,1,yyy . 265843_266795,,0,0,0,0,0,0,0,Naima/001126.cha,349,11.867,,,,clunk,clunk clunk,can we put the ring inside the block clunk clunk
13,Naima,1,xxx . 272315_273898,,0,0,0,0,0,0,0,Naima/001126.cha,364,11.867,,,,dow:n .,and let it drop down dow:n .,or we could throw the ring down . and let it drop down dow:n .
14,Naima,1,down . 273898_278480,down,1,1,1,1,1,1,1,Naima/001126.cha,373,11.867,eat,spotted,genius,I thought that you'd like that .,ha ha . I thought that you'd like that .,dow:n . ha ha . I thought that you'd like that .
15,Naima,1,yeah . 310075_314720,yeah,1,1,1,1,1,1,1,Naima/001126.cha,409,11.867,ha,world's,choice,we have some ba:lls .,what else do we have here ? we have some ba:lls .,that went clunk didn't it what else do we have here ? we have some ba:lls .
16,Naima,1,xxx . 318345_322078,,0,0,0,0,0,0,0,Naima/001126.cha,420,11.867,,,,where's the other ball,yeah where's the other ball,we have some ba:lls . yeah where's the other ball
17,Naima,1,there . 325208_326573,there,1,1,1,2,1,1,1,Naima/001126.cha,435,11.867,tigger,haw,heater,where ?,where's that ball where ?,where is it where's that ball where ?
18,Naima,1,yyy . 326573_329686,,0,0,0,0,0,0,0,Naima/001126.cha,446,11.867,,,,there ?,there ? there ?,where ? there ? there ?
19,Naima,1,hello [?] . 342901_344853,hello,1,1,2,2,2,2,1,Naima/001126.cha,464,11.867,ducky,handkerchief,eyed,hello hello,hello hello hello hello,hello hello hello hello hello hello
20,Naima,1,xxx .,.,0,0,0,0,0,0,0,Naima/001126.cha,472,11.867,.,.,.,hello hello,hello hello hello hello,hello hello hello hello hello hello
21,Naima,1,yyy . 418220_419326,,0,0,0,0,0,0,0,Naima/001126.cha,532,11.867,,,,dow:n,ooh it fell down dow:n,you know how to get it out ooh it fell down dow:n
22,Naima,1,yyy . 444438_446046,,0,0,0,0,0,0,0,Naima/001126.cha,569,11.867,,,,who's gotchur bellybutton,gotchur bellybutton who's gotchur bellybutton,woof woof woof woof woof . gotchur bellybutton who's gotchur bellybutton
23,Naima,1,yyy . 446046_448295,,0,0,0,0,0,0,0,Naima/001126.cha,572,11.867,,,,who's gotchur bellybutton,gotchur bellybutton who's gotchur bellybutton,woof woof woof woof woof . gotchur bellybutton who's gotchur bellybutton
24,Naima,1,yyy . 462265_463858,,0,0,0,0,0,0,0,Naima/001126.cha,596,11.867,,,,there he is on the ball,boing boing . there he is on the ball,boing boing boing . there he is on the ball
25,Naima,1,xxx . 504210_507176,,0,0,0,0,0,0,0,Naima/001126.cha,652,11.867,,,,hey !,hey hey !,yeah hey hey !
26,Naima,1,Daddy ! 515641_516705,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,667,11.867,button,pretending,alphabets,that's you,and who's that baby that's you,did you call her daddy ? and who's that baby that's you
27,Naima,1,Daddy [?] . 519241_521673,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,675,11.867,tigger,makin,alphabits,looking for picture of Daddy,that's you looking for picture of Daddy,and who's that baby that's you looking for picture of Daddy
28,Naima,1,yyy . 521673_524256,,0,0,0,0,0,0,0,Naima/001126.cha,680,11.867,,,,looking for picture of Daddy,that's you looking for picture of Daddy,and who's that baby that's you looking for picture of Daddy
29,Naima,1,yyy . 524256_526921,,0,0,0,0,0,0,0,Naima/001126.cha,686,11.867,,,,that's Nundy the bull .,looking for picture of Daddy that's Nundy the bull .,that's you looking for picture of Daddy that's Nundy the bull .
30,Naima,1,Daddy . 539963_540843,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,701,11.867,daddy,garrett,pussies,that's a picture of,that's that's a picture of,that's you and Great Grandma . that's that's a picture of
31,Naima,1,Daddy . 540843_543955,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,706,11.867,sticky,raymond,wasp,that's a picture of,that's that's a picture of,that's you and Great Grandma . that's that's a picture of
32,Naima,1,Daddy . 543955_546116,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,711,11.867,moo,grand,gospal,that's a picture of,that's that's a picture of,that's you and Great Grandma . that's that's a picture of
33,Naima,1,yyy . 549611_553931,,0,0,0,0,0,0,0,Naima/001126.cha,722,11.867,,,,did you say you saw Daddy there,did you . did you say you saw Daddy there,that's a picture of did you . did you say you saw Daddy there
34,Naima,1,Daddy . 556323_564228,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,728,11.867,quack,croissant,goldiblocks,kay,did you say you saw Daddy there kay,did you . did you say you saw Daddy there kay
35,Naima,1,Daddy . 565483_566580,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,737,11.867,bus,hucklecat,dodging,Daddy,kay Daddy,did you say you saw Daddy there kay Daddy
36,Naima,1,Daddy .,Daddy .,1,1,2,2,2,2,1,Naima/001126.cha,746,11.867,down .,ti .,walnuts .,Daddy,Daddy Daddy,kay Daddy Daddy
37,Naima,1,yyy . 575923_583300,,0,0,0,0,0,0,0,Naima/001126.cha,761,11.867,,,,that's,and that's that's,yeah . and that's that's
38,Naima,1,yyy . 585010_586036,,0,0,0,0,0,0,0,Naima/001126.cha,767,11.867,,,,there,that's there,and that's that's there
39,Naima,1,yyy . 600543_601340,,0,0,0,0,0,0,0,Naima/001126.cha,780,11.867,,,,and a picture of you with when you were really little,here look here's a picture of and a picture of you with when you were really little,it's a microphone here look here's a picture of and a picture of you with when you were really little
40,Naima,1,yyy . 603078_603940,,0,0,0,0,0,0,0,Naima/001126.cha,786,11.867,,,,that's you too,and a picture of you with when you were really little that's you too,here look here's a picture of and a picture of you with when you were really little that's you too
41,Naima,1,Daddy . 616465_618330,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,807,11.867,bubble,kinking,hens,who's that ?,who's that who's that ?,where's the picture of . who's that who's that ?
42,Naima,1,yyy yyy .,.,0,0,0,0,0,0,0,Naima/001126.cha,815,11.867,.,.,.,who's that,who's that ? who's that,who's that who's that ? who's that
43,Naima,1,yyy . 623378_628425,,0,0,0,0,0,0,0,Naima/001126.cha,824,11.867,,,,who's that ?,that's Maria who's that ?,who's that that's Maria who's that ?
44,Naima,1,xxx Daddy . 628425_630025,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,831,11.867,cow,shaddy,li,who's that ?,who's that ? who's that ?,that's Maria who's that ? who's that ?
45,Naima,1,yyy . 639115_645036,,0,0,0,0,0,0,0,Naima/001126.cha,848,11.867,,,,who's that,that's . who's that,oh sleepy girl that's . who's that
46,Naima,1,yyy . 647388_651756,,0,0,0,0,0,0,0,Naima/001126.cha,855,11.867,,,,are you scared of that,who's that are you scared of that,that's . who's that are you scared of that
47,Naima,1,Daddy Daddy Daddy .,Daddy Daddy Daddy .,3,3,6,6,6,6,3,Naima/001126.cha,862,11.867,ducky yeah cow .,partridge diversions mop .,wisconsin manuela toast .,oh dear .,are you scared of that oh dear .,who's that are you scared of that oh dear .
48,Naima,1,Daddy Daddy . 656445_658213,Daddy Daddy,2,2,4,4,4,4,2,Naima/001126.cha,874,11.867,ha baby,french michelle,weasel's causing,Daddy Daddy,oh Daddy Daddy Daddy Daddy,oh dear . oh Daddy Daddy Daddy Daddy
49,Naima,1,moo [?] . 663508_667208,moo,1,1,1,1,1,1,1,Naima/001126.cha,892,11.867,hm,tennis,trevor,what do cows say ?,what do . what do cows say ?,what do cows say what do . what do cows say ?
50,Naima,1,yyy . 668585_669721,,0,0,0,0,0,0,0,Naima/001126.cha,900,11.867,,,,m:oo,what do cows say ? m:oo,what do . what do cows say ? m:oo
51,Naima,1,Daddy . 686806_689416,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,918,11.867,mom,ge,gabi,she's dancing,she's dancing she's dancing,thank you she's dancing she's dancing
52,Naima,1,yyy . 694496_695696,,0,0,0,0,0,0,0,Naima/001126.cha,929,11.867,,,,dancing,now she's dancing too dancing,she's dancing now she's dancing too dancing
53,Naima,1,yyy . 714745_716088,,0,0,0,0,0,0,0,Naima/001126.cha,947,11.867,,,,hi Daddy,look there's Daddy hi Daddy,okay we may hafta abort this mission here look there's Daddy hi Daddy
54,Naima,1,xxx .,.,0,0,0,0,0,0,0,Naima/001126.cha,956,11.867,.,.,.,that's Maria .,mhm that's Maria .,hi Daddy mhm that's Maria .
55,Naima,1,Daddy . 727826_730185,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,971,11.867,,flupper,grouping,hi Babaji,hi Babaji hi Babaji,and here's Daddy and Babaji hi Babaji hi Babaji
56,Naima,1,Daddy . 735751_736785,Daddy,1,1,2,2,2,2,1,Naima/001126.cha,982,11.867,okay,pavement,i'll,and who's that,yes Daddy and who's that,hi Babaji yes Daddy and who's that
57,Naima,1,yyy . 756556_759025,,0,0,0,0,0,0,0,Naima/001126.cha,1008,11.867,,,,and there's Naima,and there's great gramma and there's Naima,it's alright and there's great gramma and there's Naima
58,Naima,1,yyy . 759025_760833,,0,0,0,0,0,0,0,Naima/001126.cha,1014,11.867,,,,yeah .,and there's Naima yeah .,and there's great gramma and there's Naima yeah .
