utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,25,27.167,.,.,.,c me ere .,c me ere .,c me ere .
2,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,29,27.167,.,.,.,c me ere .,c me ere .,c me ere .
3,Sarah,1,a nose .,a nose .,2,2,2,3,2,2,2,Sarah/020305.cha,37,27.167,washcloth whisker .,music bura .,breakfa hammer's .,c me ere .,c me ere .,c me ere .
4,Sarah,1,a eye .,a eye .,2,2,2,2,2,2,2,Sarah/020305.cha,48,27.167,gumdrop elbow .,mhm stool .,esther's knox .,c me ere .,c me ere .,c me ere .
5,Sarah,1,hair .,hair .,1,1,1,1,1,1,1,Sarah/020305.cha,53,27.167,billie's .,wringing .,chatting .,.,c me ere . .,c me ere . .
6,Sarah,1,a yyy .,a .,1,1,1,1,1,1,1,Sarah/020305.cha,74,27.167,slipper .,wurly .,badega .,what's that ?,what's this in here ? what's that ?,what's this in here ? what's this in here ? what's that ?
7,Sarah,1,yyy yyy .,.,0,0,0,0,0,0,0,Sarah/020305.cha,85,27.167,.,.,.,what's this ?,what is it ? what's this ?,what's that ? what is it ? what's this ?
8,Sarah,1,tee(th) .,tee .,1,1,1,1,1,1,1,Sarah/020305.cha,91,27.167,fresh .,ways .,screams .,what's this ?,what's this ? what's this ?,what is it ? what's this ? what's this ?
9,Sarah,1,a yyy .,a .,1,1,1,1,1,1,1,Sarah/020305.cha,100,27.167,upon .,thing .,cheating .,what's this ?,teeth . what's this ?,what's this ? teeth . what's this ?
10,Sarah,1,a shoe .,a shoe .,2,2,2,2,2,2,2,Sarah/020305.cha,111,27.167,heard lobster .,guitars shave .,tryna nutritious .,and what's this ?,mhm . and what's this ?,what's this ? mhm . and what's this ?
11,Sarah,1,a xxx .,a .,1,1,1,1,1,1,1,Sarah/020305.cha,117,27.167,wedd .,almond .,junkie .,what's that ?,and what's this ? what's that ?,mhm . and what's this ? what's that ?
12,Sarah,1,a &~p (.) pant .,a pant .,2,2,2,2,2,2,2,Sarah/020305.cha,124,27.167,moving cat .,oopsies fireball .,smooth brushes .,what's this ?,what's that ? what's this ?,and what's this ? what's that ? what's this ?
13,Sarah,1,my pants .,my pants .,2,2,2,2,2,2,2,Sarah/020305.cha,127,27.167,beluga spoon .,easy mississippi .,crunching body .,what's this ?,what's that ? what's this ?,and what's this ? what's that ? what's this ?
14,Sarah,1,ear .,ear .,1,1,1,1,1,1,1,Sarah/020305.cha,135,27.167,ford .,railing .,adda's .,and what's this ?,what's this ? and what's this ?,what's that ? what's this ? and what's this ?
15,Sarah,1,ear .,ear .,1,1,1,1,1,1,1,Sarah/020305.cha,141,27.167,melon .,legos .,buddha .,hm ?,and what's this ? hm ?,what's this ? and what's this ? hm ?
16,Sarah,1,a hair pin .,a hair pin .,3,3,3,3,3,3,3,Sarah/020305.cha,151,27.167,weights bi growing .,peelin apron beauty .,milkshake taste spidersaurus .,and what's this ?,ear . and what's this ?,hm ? ear . and what's this ?
17,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,154,27.167,.,.,.,and what's this ?,ear . and what's this ?,hm ? ear . and what's this ?
18,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,158,27.167,.,.,.,what's this ?,and what's this ? what's this ?,ear . and what's this ? what's this ?
19,Sarah,1,a bobby [= bobbypin] .,a bobby .,2,2,3,3,3,3,2,Sarah/020305.cha,160,27.167,just teach .,lord word .,dumps eel .,.,what's this ? .,and what's this ? what's this ? .
20,Sarah,1,nose .,nose .,1,1,1,2,1,1,1,Sarah/020305.cha,170,27.167,horrible .,gruesome .,owie .,an what's this ?,bobby . an what's this ?,. bobby . an what's this ?
21,Sarah,1,eyes .,eyes .,1,1,1,1,2,1,1,Sarah/020305.cha,173,27.167,gagi .,yessir .,hens .,an what's this ?,bobby . an what's this ?,. bobby . an what's this ?
22,Sarah,1,a nose .,a nose .,2,2,2,3,2,2,2,Sarah/020305.cha,180,27.167,thirsty jade .,plates egg .,dabadabadoo rumi .,what's this ?,an what's this ? what's this ?,bobby . an what's this ? what's this ?
23,Sarah,1,a nose .,a nose .,2,2,2,3,2,2,2,Sarah/020305.cha,187,27.167,polling nanny's .,gaga stanley .,hate fairygodmother .,an what's this .,what's this ? an what's this .,an what's this ? what's this ? an what's this .
24,Sarah,1,eye .,eye .,1,1,1,1,1,1,1,Sarah/020305.cha,193,27.167,rebecca .,money's .,dotty .,what's this ?,an what's this . what's this ?,what's this ? an what's this . what's this ?
25,Sarah,1,nah [?] .,nah .,1,1,1,1,1,1,1,Sarah/020305.cha,200,27.167,dollies [?] .,pad [?] .,scoops [?] .,what's this ?,what's this ? what's this ?,an what's this . what's this ? what's this ?
26,Sarah,1,I dunno [: don't know] .,I dunno .,2,4,3,3,3,3,2,Sarah/020305.cha,203,27.167,bits robie .,holidays teatime .,bothering did .,what's this ?,what's this ? what's this ?,an what's this . what's this ? what's this ?
27,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,210,27.167,.,.,.,yes .,what's this ? yes .,what's this ? what's this ? yes .
28,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,218,27.167,.,.,.,yes .,what's this ? yes .,what's this ? what's this ? yes .
29,Sarah,1,xxx here .,here .,1,1,1,2,1,1,1,Sarah/020305.cha,219,27.167,kiki .,zinny .,donkey's .,yes .,what's this ? yes .,what's this ? what's this ? yes .
30,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,223,27.167,.,.,.,yes .,what's this ? yes .,what's this ? what's this ? yes .
31,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,234,27.167,.,.,.,Sarah what's that up there ?,oh yes . Sarah what's that up there ?,yes . oh yes . Sarah what's that up there ?
32,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,239,27.167,.,.,.,what's that up there ?,Sarah what's that up there ? what's that up there ?,oh yes . Sarah what's that up there ? what's that up there ?
33,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,244,27.167,.,.,.,what is it ?,what's that up there ? what is it ?,Sarah what's that up there ? what's that up there ? what is it ?
34,Sarah,1,yyy .,.,0,0,0,0,0,0,0,Sarah/020305.cha,245,27.167,.,.,.,what is it ?,what's that up there ? what is it ?,Sarah what's that up there ? what's that up there ? what is it ?
35,Sarah,1,kik(i)@c kiki@c .,kik kiki .,2,2,3,3,3,3,2,Sarah/020305.cha,250,27.167,i'ma airport .,molly spidersaurus .,skageeska crash .,oh yeah the chickie but what's on the wall ?,what is it ? oh yeah the chickie but what's on the wall ?,what's that up there ? what is it ? oh yeah the chickie but what's on the wall ?
36,Sarah,1,a kiki@c .,a kiki .,2,2,3,3,3,3,2,Sarah/020305.cha,257,27.167,loved officer's .,fawn bookstore .,stork talking .,what's that over there ?,oh yeah the chickie but what's on the wall ? what's that over there ?,what is it ? oh yeah the chickie but what's on the wall ? what's that over there ?
37,Sarah,1,a clock .,a clock .,2,2,2,2,2,2,2,Sarah/020305.cha,266,27.167,clifford's last .,yuh alphabets .,jail octopusagon .,what's that over there ?,oh yeah the chickie but what's on the wall ? what's that over there ?,what is it ? oh yeah the chickie but what's on the wall ? what's that over there ?
38,Sarah,1,a light .,a light .,2,2,2,2,2,2,2,Sarah/020305.cha,275,27.167,paid spoon's .,stegosaurus wicked .,ripe forgot .,what's this ?,a clock . what's this ?,what's that over there ? a clock . what's this ?
39,Sarah,1,a floor .,a floor .,2,2,2,2,2,2,2,Sarah/020305.cha,284,27.167,why's sweetheart .,they diddy .,windybindy gurdy .,an what's that ?,a light . an what's that ?,what's this ? a light . an what's that ?
40,Sarah,1,yyy .,.,0,0,0,0,0,0,0,Sarah/020305.cha,293,27.167,.,.,.,and what's that ?,the floor . and what's that ?,an what's that ? the floor . and what's that ?
41,Sarah,1,yyy .,.,0,0,0,0,0,0,0,Sarah/020305.cha,298,27.167,.,.,.,and what's this ?,and what's that ? and what's this ?,the floor . and what's that ? and what's this ?
42,Sarah,1,a xxx .,a .,1,1,1,1,1,1,1,Sarah/020305.cha,308,27.167,earrings .,tiel .,shocks .,and what's that over there ?,chair . and what's that over there ?,and what's this ? chair . and what's that over there ?
43,Sarah,1,a xxx door .,a door .,2,2,2,2,2,2,2,Sarah/020305.cha,314,27.167,dentist's bangle .,sal lane .,where've silo .,no what's that over there ?,and what's that over there ? no what's that over there ?,chair . and what's that over there ? no what's that over there ?
44,Sarah,1,door .,door .,1,1,1,1,1,1,1,Sarah/020305.cha,323,27.167,hide .,toma .,dragonflies .,what's that ?,that's not a door . what's that ?,no what's that over there ? that's not a door . what's that ?
45,Sarah,1,a sink .,a sink .,2,2,2,2,2,2,2,Sarah/020305.cha,334,27.167,undone position .,pb griffith .,clipped guitar .,what's this ?,what's that on the floor ? what's this ?,what's that ? what's that on the floor ? what's this ?
46,Sarah,1,a yyy (.) Mummy (.) a yyy .,a Mummy a .,3,3,4,4,4,4,3,Sarah/020305.cha,344,27.167,browns patchy wife .,thomass cogs measured .,submarine lifted dinah .,what's this ?,yeah . what's this ?,what's this ? yeah . what's this ?
47,Sarah,1,&-um .,.,0,0,0,0,0,0,0,Sarah/020305.cha,351,27.167,.,.,.,what's this ?,yeah . what's this ?,what's this ? yeah . what's this ?
48,Sarah,1,floor .,floor .,1,1,1,1,1,1,1,Sarah/020305.cha,352,27.167,jorning .,sue's .,noses .,what's this ?,yeah . what's this ?,what's this ? yeah . what's this ?
49,Sarah,1,a (.) door .,a door .,2,2,2,2,2,2,2,Sarah/020305.cha,361,27.167,pajumming bluey .,suzy tressu .,octopoases babaji .,what's this ?,yeah . what's this ?,what's this ? yeah . what's this ?
50,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,367,27.167,.,.,.,what's this ?,yeah . what's this ?,what's this ? yeah . what's this ?
51,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,371,27.167,.,.,.,it's a door .,what's this ? it's a door .,yeah . what's this ? it's a door .
52,Sarah,1,a (s)poon .,a poon .,2,2,2,2,2,2,2,Sarah/020305.cha,375,27.167,cainie cattie .,mean shades .,wahoo valentines .,it's a door .,what's this ? it's a door .,yeah . what's this ? it's a door .
53,Sarah,1,a cut .,a cut .,2,2,2,2,2,2,2,Sarah/020305.cha,385,27.167,digger dora .,tootin moothie .,pringle phew .,it's a door .,what's this ? it's a door .,yeah . what's this ? it's a door .
54,Sarah,1,a book .,a book .,2,2,2,2,2,2,2,Sarah/020305.cha,406,27.167,playground freight .,ledge watermelon .,cranky jiminy .,what's this ?,she knows what it does . what's this ?,what's this ? she knows what it does . what's this ?
55,Sarah,1,0 .,.,0,0,0,0,0,0,0,Sarah/020305.cha,419,27.167,.,.,.,go get your other book .,book . go get your other book .,what's this ? book . go get your other book .
56,Sarah,1,a Bobo .,a Bobo .,2,2,3,3,3,3,2,Sarah/020305.cha,425,27.167,pushers chandelier .,simple neigh .,knee fanokie .,go get your other book .,book . go get your other book .,what's this ? book . go get your other book .
57,Sarah,1,no .,no .,1,1,1,1,1,1,1,Sarah/020305.cha,431,27.167,hugging .,perry .,sarah's .,go get your other book .,book . go get your other book .,what's this ? book . go get your other book .
58,Sarah,1,da@b (.) da@b (.) da@b .,da da da .,3,3,3,3,3,3,3,Sarah/020305.cha,437,27.167,teacup cluding toad .,throwups lucy piggy's .,alrighty cantaloupe dave's .,let me see .,go get your other book . let me see .,book . go get your other book . let me see .
59,Sarah,1,bo@b (.) bo@b (.) bo@b (.) bo@b .,bo bo bo bo .,4,4,4,4,4,4,4,Sarah/020305.cha,440,27.167,ideas reds napkin cleaned .,cleo's myrtle taxitop sand .,kebobs decided mixing chocolates .,let me see .,go get your other book . let me see .,book . go get your other book . let me see .
60,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,446,27.167,.,.,.,read the book ?,let me see . read the book ?,go get your other book . let me see . read the book ?
61,Sarah,1,a mommy .,a mommy .,2,2,3,3,3,3,2,Sarah/020305.cha,451,27.167,wow whoosh .,boobies lumberjack .,bozo's dashing .,who's this ?,read the book ? who's this ?,let me see . read the book ? who's this ?
62,Sarah,1,Daddy .,Daddy .,1,1,2,2,2,2,1,Sarah/020305.cha,460,27.167,daning .,lands .,hardest .,and who's this ?,Mommy . and who's this ?,who's this ? Mommy . and who's this ?
63,Sarah,1,yyy .,.,0,0,0,0,0,0,0,Sarah/020305.cha,470,27.167,.,.,.,and who's this ?,Daddy . and who's this ?,and who's this ? Daddy . and who's this ?
64,Sarah,1,&-um .,.,0,0,0,0,0,0,0,Sarah/020305.cha,476,27.167,.,.,.,who's this ?,and who's this ? who's this ?,Daddy . and who's this ? who's this ?
65,Sarah,1,&-uh (.) baby .,baby .,1,1,2,2,2,2,1,Sarah/020305.cha,480,27.167,driver's .,harry .,ashtray .,who's this ?,who's this ? who's this ?,and who's this ? who's this ? who's this ?
66,Sarah,1,I don't know .,I don't know .,3,4,3,3,3,3,3,Sarah/020305.cha,489,27.167,won beepee panther .,alador mats emmet .,piglet pi toenails .,what's this ?,baby yeah . what's this ?,who's this ? baby yeah . what's this ?
67,Sarah,1,a shoe .,a shoe .,2,2,2,2,2,2,2,Sarah/020305.cha,499,27.167,everything's bid .,nines venomous .,guide cinderella's .,what's this one ?,this one over here . what's this one ?,what's this ? this one over here . what's this one ?
68,Sarah,1,a chair .,a chair .,2,2,2,2,2,2,2,Sarah/020305.cha,509,27.167,haven't mucky .,grant fussy's .,wazit creep .,and what's this ?,shoe . and what's this ?,what's this one ? shoe . and what's this ?
69,Sarah,1,chew .,chew .,1,1,1,1,1,1,1,Sarah/020305.cha,512,27.167,stool .,own .,cupid .,and what's this ?,shoe . and what's this ?,what's this one ? shoe . and what's this ?
70,Sarah,1,&-um oh <a &~ch> [//] (.) a eye .,oh a a eye .,4,3,4,4,4,4,4,Sarah/020305.cha,522,27.167,sandbox barbie so brown .,picker squeaking potato's rock .,emmy bullets mccats lurkey .,what's this ?,yeah that's a shoe . what's this ?,and what's this ? yeah that's a shoe . what's this ?
71,Sarah,1,&-um (.) hat .,hat .,1,1,1,1,1,1,1,Sarah/020305.cha,528,27.167,love .,ni .,lamp's .,what's this here ?,what's this ? what's this here ?,yeah that's a shoe . what's this ? what's this here ?
72,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,538,27.167,.,.,.,what's this ?,hat . what's this ?,what's this here ? hat . what's this ?
73,Sarah,1,eye .,eye .,1,1,1,1,1,1,1,Sarah/020305.cha,565,27.167,dolce .,daisys .,ken .,what's this ?,come here . what's this ?,say it loud . come here . what's this ?
74,Sarah,1,bear .,bear .,1,1,1,1,1,1,1,Sarah/020305.cha,575,27.167,flop .,emmet .,pa's .,what's this ?,that's not that . what's this ?,what's this ? that's not that . what's this ?
75,Sarah,1,a &~eye &~she .,a .,1,1,1,1,1,1,1,Sarah/020305.cha,583,27.167,tanker .,monoclonious .,steeple .,what's this ?,what's this ? what's this ?,that's not that . what's this ? what's this ?
76,Sarah,1,a yyy .,a .,1,1,1,1,1,1,1,Sarah/020305.cha,590,27.167,some .,brachiosaurus .,teeths .,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
77,Sarah,1,a bear .,a bear .,2,2,2,2,2,2,2,Sarah/020305.cha,593,27.167,t's join .,splendid foow .,meetin elastic .,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
78,Sarah,1,yyy .,.,0,0,0,0,0,0,0,Sarah/020305.cha,596,27.167,.,.,.,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
79,Sarah,1,a bear xxx .,a bear .,2,2,2,2,2,2,2,Sarah/020305.cha,597,27.167,turkey's borrow .,pf donal .,marry volcano .,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
80,Sarah,1,a .,a .,1,1,1,1,1,1,1,Sarah/020305.cha,600,27.167,tock .,differently .,bike .,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
81,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,603,27.167,.,.,.,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
82,Sarah,1,c(o)me (h)ere .,c me ere .,3,2,3,3,3,3,3,Sarah/020305.cha,606,27.167,who's peace pencils .,t forklift swimmin .,spots heh pajamas .,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
83,Sarah,1,up dere [: there] .,up dere .,2,2,2,3,2,2,2,Sarah/020305.cha,609,27.167,laughing farmer .,marked mittens .,anglerfish amusement .,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
84,Sarah,1,up dere [: there] .,up dere .,2,2,2,3,2,2,2,Sarah/020305.cha,612,27.167,smash briefcase .,firecar bounces .,a areas .,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
85,Sarah,1,xxx .,.,0,0,0,0,0,0,0,Sarah/020305.cha,615,27.167,.,.,.,what's oh you know what what's this ?,what's this ? what's oh you know what what's this ?,what's this ? what's this ? what's oh you know what what's this ?
