dataset,speaker,child_id,sex,source_group,session_id,age_raw,age_months,utt_id,utt_id_role,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no
Providence,CHI,Alex,male,,1,1;04.27,16.9,1,,Mommy [?] .,Mommy.,1,1,2,2,2,2,1,Alex/010427.cha,34
Providence,CHI,Alex,male,,1,1;04.27,16.9,2,,wee .,wee.,1,1,1,1,1,1,1,Alex/010427.cha,90
Providence,CHI,Alex,male,,1,1;04.27,16.9,3,,wee . 76776_79220,wee.,1,1,1,1,1,1,1,Alex/010427.cha,105
Providence,CHI,Alex,male,,1,1;04.27,16.9,4,,woo .,woo.,1,1,1,1,1,1,1,Alex/010427.cha,122
Providence,CHI,Alex,male,,1,1;04.27,16.9,5,,Ernie [?] . 302490_305260,Ernie.,1,1,1,2,1,1,1,Alex/010427.cha,199
Providence,CHI,Alex,male,,1,1;04.27,16.9,6,,huh ? 494715_504838,huh?,1,1,1,1,1,1,1,Alex/010427.cha,352
Providence,CHI,Alex,male,,1,1;04.27,16.9,7,,wee . 732416_736483,wee.,1,1,1,1,1,1,1,Alex/010427.cha,578
Providence,CHI,Alex,male,,1,1;04.27,16.9,8,,wee . 1308891_1318286,wee.,1,1,1,1,1,1,1,Alex/010427.cha,975
Providence,CHI,Alex,male,,1,1;04.27,16.9,9,,wee .,wee.,1,1,1,1,1,1,1,Alex/010427.cha,1062
Providence,CHI,Alex,male,,1,1;04.27,16.9,10,,ooh .,ooh.,1,1,1,1,1,1,1,Alex/010427.cha,1134
Providence,CHI,Alex,male,,1,1;04.27,16.9,11,,ooh .,ooh.,1,1,1,1,1,1,1,Alex/010427.cha,1151
Providence,CHI,Alex,male,,1,1;04.27,16.9,12,,ooh . 1512763_1513876,ooh.,1,1,1,1,1,1,1,Alex/010427.cha,1156
Providence,CHI,Alex,male,,1,1;04.27,16.9,13,,two [?] . 1528556_1533655,two.,1,1,1,1,1,1,1,Alex/010427.cha,1173
Providence,CHI,Alex,male,,1,1;04.27,16.9,14,,wee .,wee.,1,1,1,1,1,1,1,Alex/010427.cha,1304
Providence,CHI,Alex,male,,1,1;04.27,16.9,15,,hello [?] . 1936095_1938463,hello.,1,1,2,2,2,2,1,Alex/010427.cha,1345
Providence,CHI,Alex,male,,1,1;04.27,16.9,16,,wee . 2191415_2193785,wee.,1,1,1,1,1,1,1,Alex/010427.cha,1489
