utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Ruth,1,there .,there .,1,1,1,2,1,1,1,Ruth/011115.cha,33,23.5,leaving .,inchworms .,cameraman .,have you ?,you've got them all mixed up now . have you ?,you've thrown these on the ground . you've got them all mixed up now . have you ?
2,Ruth,1,oh .,oh .,1,1,1,1,1,1,1,Ruth/011115.cha,42,23.5,putting .,marbelons .,crabby .,pottie ?,what ? pottie ?,have you ? what ? pottie ?
3,Ruth,1,oh .,oh .,1,1,1,1,1,1,1,Ruth/011115.cha,51,23.5,di .,havingly .,daisy's .,what're you pointing to your bottom for ?,teddy . what're you pointing to your bottom for ?,pottie ? teddy . what're you pointing to your bottom for ?
4,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,66,23.5,star .,ginglinglinglingling .,twice .,I moved him .,I moved him . I moved him .,he normally sits on there doesn't he ? I moved him . I moved him .
5,Ruth,1,hm: ?,hm ?,1,1,1,1,1,1,1,Ruth/011115.cha,72,23.5,jar ?,daning ?,mill ?,so_that Anna can sit down .,I moved him . so_that Anna can sit down .,I moved him . I moved him . so_that Anna can sit down .
6,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,81,23.5,bowen .,slips .,else's .,I brought some upstairs .,well you'd far too many soft toys . I brought some upstairs .,so_that Anna can sit down . well you'd far too many soft toys . I brought some upstairs .
7,Ruth,1,there .,there .,1,1,1,2,1,1,1,Ruth/011115.cha,87,23.5,leaving .,cockerels .,bad .,but I kept your favorite downstairs .,I brought some upstairs . but I kept your favorite downstairs .,well you'd far too many soft toys . I brought some upstairs . but I kept your favorite downstairs .
8,Ruth,1,Anna .,Anna .,1,1,2,2,2,2,1,Ruth/011115.cha,93,23.5,hippo .,scrappy .,underwear .,yeah .,but I kept your favorite downstairs . yeah .,I brought some upstairs . but I kept your favorite downstairs . yeah .
9,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,111,23.5,cheek .,shovels .,shared .,is this John teddy bear ?,is it who's this here ? is this John teddy bear ?,that's right . is it who's this here ? is this John teddy bear ?
10,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,117,23.5,wooden .,dancer .,energy .,is it ?,is this John teddy bear ? is it ?,is it who's this here ? is this John teddy bear ? is it ?
11,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,123,23.5,dumper .,otoscope .,toddler's .,he's got a nice yellow top on hasn't he ?,is it ? he's got a nice yellow top on hasn't he ?,is this John teddy bear ? is it ? he's got a nice yellow top on hasn't he ?
12,Ruth,1,oh .,oh .,1,1,1,1,1,1,1,Ruth/011115.cha,129,23.5,sneaking .,police .,john's .,and did you dress him up ?,he's got a nice yellow top on hasn't he ? and did you dress him up ?,is it ? he's got a nice yellow top on hasn't he ? and did you dress him up ?
13,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,135,23.5,fourteen .,swallowing .,brolly .,it's a bit too long that isn't it ?,and did you dress him up ? it's a bit too long that isn't it ?,he's got a nice yellow top on hasn't he ? and did you dress him up ? it's a bit too long that isn't it ?
14,Ruth,1,there .,there .,1,1,1,2,1,1,1,Ruth/011115.cha,144,23.5,describe .,bud .,glori .,where's his feet ?,isn't it ? where's his feet ?,it's a bit too long that isn't it ? isn't it ? where's his feet ?
15,Ruth,1,oh .,oh .,1,1,1,1,1,1,1,Ruth/011115.cha,147,23.5,fridge .,ivory .,truckbot .,where's his feet ?,isn't it ? where's his feet ?,it's a bit too long that isn't it ? isn't it ? where's his feet ?
16,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,156,23.5,clean .,volkswagen .,cheat .,he'll hafta grow a bit won't he ?,oh . he'll hafta grow a bit won't he ?,where's his feet ? oh . he'll hafta grow a bit won't he ?
17,Ruth,1,hm: ?,hm ?,1,1,1,1,1,1,1,Ruth/011115.cha,162,23.5,birdy ?,ya ?,g ?,he'll hafta grow tall .,he'll hafta grow a bit won't he ? he'll hafta grow tall .,oh . he'll hafta grow a bit won't he ? he'll hafta grow tall .
18,Ruth,1,no .,no .,1,1,1,1,1,1,1,Ruth/011115.cha,171,23.5,darn .,maisy .,butty .,are you tall ?,to fit that . are you tall ?,he'll hafta grow tall . to fit that . are you tall ?
19,Ruth,1,yeah .,yeah .,1,1,1,1,1,1,1,Ruth/011115.cha,177,23.5,charlie .,startin .,smushed .,are you small ?,are you tall ? are you small ?,to fit that . are you tall ? are you small ?
20,Ruth,1,no .,no .,1,1,1,1,1,1,1,Ruth/011115.cha,186,23.5,aw .,hummus .,bowl's .,what ?,yeah . what ?,are you small ? yeah . what ?
21,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,192,23.5,moo .,stationmaster .,hoops .,more ?,what ? more ?,yeah . what ? more ?
22,Ruth,1,more .,more .,1,1,1,2,1,1,1,Ruth/011115.cha,195,23.5,bet .,anoth .,pies .,more ?,what ? more ?,yeah . what ? more ?
23,Ruth,1,yeah .,yeah .,1,1,1,1,1,1,1,Ruth/011115.cha,204,23.5,mailbox .,russell .,ny .,more teddy bears ?,more what ? more teddy bears ?,more ? more what ? more teddy bears ?
24,Ruth,1,huh ?,huh ?,1,1,1,1,1,1,1,Ruth/011115.cha,216,23.5,even ?,mick ?,coverin ?,where's your penguin ?,there's your penguin . where's your penguin ?,well there's some down there . there's your penguin . where's your penguin ?
25,Ruth,1,down there .,down there .,2,2,2,3,2,2,2,Ruth/011115.cha,222,23.5,instead unlocked .,keeper bushes .,frilly standin .,where's your penguin ?,where's your penguin ? where's your penguin ?,there's your penguin . where's your penguin ? where's your penguin ?
26,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,234,23.5,quilt .,buggers .,sleigh .,do they walk like this ?,how do penguins walk ? do they walk like this ?,he is . how do penguins walk ? do they walk like this ?
27,Ruth,1,no .,no .,1,1,1,1,1,1,1,Ruth/011115.cha,237,23.5,rug .,si .,foams .,do they walk like this ?,how do penguins walk ? do they walk like this ?,he is . how do penguins walk ? do they walk like this ?
28,Ruth,1,yeah .,yeah .,1,1,1,1,1,1,1,Ruth/011115.cha,255,23.5,hem .,bride .,tinker .,did you sit in that ?,didn't you ? did you sit in that ?,you nearly tripped over your pottie . didn't you ? did you sit in that ?
29,Ruth,1,huh ?,huh ?,1,1,1,1,1,1,1,Ruth/011115.cha,264,23.5,pictures ?,robber ?,tweeting ?,let's let him see teddy bear .,did you ? let's let him see teddy bear .,did you sit in that ? did you ? let's let him see teddy bear .
30,Ruth,1,one there .,one there .,2,2,2,3,2,2,2,Ruth/011115.cha,299,23.5,bowe biggy .,beek tender's .,powerful brendan .,getting a big hug .,. getting a big hug .,are they given a cuddle ? . getting a big hug .
31,Ruth,1,yeah .,yeah .,1,1,1,1,1,1,1,Ruth/011115.cha,336,23.5,gaby's .,mccats .,we .,does he fly ?,what happens when he flaps his wings ? does he fly ?,what happens when he flaps his wings ? what happens when he flaps his wings ? does he fly ?
32,Ruth,1,yeah .,yeah .,1,1,1,1,1,1,1,Ruth/011115.cha,342,23.5,quita .,knife .,gorillafruit .,does he fly ?,does he fly ? does he fly ?,what happens when he flaps his wings ? does he fly ? does he fly ?
33,Ruth,1,huh ?,huh ?,1,1,1,1,1,1,1,Ruth/011115.cha,351,23.5,rocket ?,oil's ?,grip ?,how does he fly ?,does he ? how does he fly ?,does he fly ? does he ? how does he fly ?
34,Ruth,1,up there .,up there .,2,2,2,3,2,2,2,Ruth/011115.cha,357,23.5,tiggie potty .,fiend dust .,windows zug .,how does he fly ?,how does he fly ? how does he fly ?,does he ? how does he fly ? how does he fly ?
35,Ruth,1,yeah .,yeah .,1,1,1,1,1,1,1,Ruth/011115.cha,366,23.5,laura .,eeobeeo .,squee .,whee .,up there like this ? whee .,how does he fly ? up there like this ? whee .
36,Ruth,1,yeah .,yeah .,1,1,1,1,1,1,1,Ruth/011115.cha,369,23.5,coloring .,mandrill .,suzanne .,whee .,up there like this ? whee .,how does he fly ? up there like this ? whee .
37,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,375,23.5,pocketbook .,mikey .,merrio .,have you flown ?,whee . have you flown ?,up there like this ? whee . have you flown ?
38,Ruth,1,hm: ?,hm ?,1,1,1,1,1,1,1,Ruth/011115.cha,396,23.5,smell ?,vuh ?,rowing ?,who's this ?,oh he's gone into the bucket . who's this ?,what're you doing ? oh he's gone into the bucket . who's this ?
39,Ruth,1,on there .,on there .,2,2,2,3,2,2,2,Ruth/011115.cha,411,23.5,nina's hippos .,gazpacho melissa .,bic grades .,who's that ?,who's that ? who's that ?,Ruth . who's that ? who's that ?
40,Ruth,1,in there .,in there .,2,2,2,3,2,2,2,Ruth/011115.cha,423,23.5,acorns pans .,grin cookout .,manuminy froggie .,who is he ?,who is he ? who is he ?,is he going in there ? who is he ? who is he ?
41,Ruth,1,mhm .,mhm .,1,1,1,1,1,1,1,Ruth/011115.cha,429,23.5,lock .,henley .,rice .,is he going to go to sleep ?,who is he ? is he going to go to sleep ?,who is he ? who is he ? is he going to go to sleep ?
42,Ruth,1,oh .,oh .,1,1,1,1,1,1,1,Ruth/011115.cha,435,23.5,return .,spout .,gives .,how does he sleep ?,is he going to go to sleep ? how does he sleep ?,who is he ? is he going to go to sleep ? how does he sleep ?
