dataset,child_id,fields_checked,result,source_type,source_url,source_note,coding_decision
Demetras1,*,SES/race/nationality,not_found_on_public_corpus_page,official_talkbank_page,https://talkbank.org/childes/access/Eng-NA/Demetras1.html,"Official page gives participant count, USA location, Trevor birthdate, and recording design; it does not expose SES, race/ethnicity, or child-specific nationality.",Keep SES/race/nationality unknown in current extracted metadata.
Kuczaj,*,SES/race/nationality,not_found_on_public_corpus_page,official_talkbank_page,https://talkbank.org/childes/access/Eng-NA/Kuczaj.html,"Official page gives participant count, USA location, diary-study design, and Abe's recording ages; it does not expose SES, race/ethnicity, or child-specific nationality.",Keep SES/race/nationality unknown in current extracted metadata.
MPI-EVA-Manchester,Gina,sex,patched_from_official_page_pronouns,official_talkbank_page,https://talkbank.org/childes/access/Eng-UK/MPI-EVA-Manchester.html,"Official page uses feminine pronouns for Gina/Rubi, including her play and her mother.",Patch sex marker to female with medium confidence.
MPI-EVA-Manchester,Helen,sex,patched_from_official_page_pronouns,official_talkbank_page,https://talkbank.org/childes/access/Eng-UK/MPI-EVA-Manchester.html,"Official page uses feminine pronouns for Helen/Hannah, including her play and her mother.",Patch sex marker to female with medium confidence.
MPI-EVA-Manchester,*,SES/race/nationality,not_found_on_public_corpus_page,official_talkbank_page,https://talkbank.org/childes/access/Eng-UK/MPI-EVA-Manchester.html,"Official page documents four dense-sampling children in England, home recordings, and pseudonym/true-name notes; it does not expose SES, race/ethnicity, or child-specific nationality.",Keep SES/race/nationality unknown in current extracted metadata.
Providence,*,sex/language_background,already_available_or_confirmed,official_talkbank_page,https://talkbank.org/phon/access/Eng-NA/Providence.html,"Official page lists the six children's sex markers and says the corpus contains monolingual English-speaking children in Providence, RI.",No new SES/race/nationality values; local sex markers are already populated.
Providence,*,SES/race/nationality,not_found_on_public_corpus_page,official_talkbank_page,https://talkbank.org/phon/access/Eng-NA/Providence.html,"Official page gives sex, age range, sessions, monolingual English background, and collection design, but no SES, race/ethnicity, or child-specific nationality.",Keep SES/race/nationality unknown in current extracted metadata.
Sachs,*,SES/race/nationality,not_found_on_public_corpus_page,official_talkbank_page,https://talkbank.org/childes/access/Eng-NA/Sachs.html,"Official page says this is Jacqueline Sachs' longitudinal study of her daughter Naomi and gives USA location and age coverage; it does not expose SES, race/ethnicity, or child-specific nationality.",Keep SES/race/nationality unknown in current extracted metadata.
Weist,Ben,sex,not_found_on_public_corpus_page,official_talkbank_page,https://talkbank.org/childes/access/Eng-NA/Weist.html,"Official page lists Ben with birthdate, ages, and transcripts, and documents middle-class professional-parent family background for all Fredonia children; it does not expose Ben's sex marker.",Keep Ben sex marker unknown rather than inferring from name.
Weist,*,SES/parental_education,already_available_or_confirmed,official_talkbank_page,https://talkbank.org/childes/access/Eng-NA/Weist.html,"Official page says all Fredonia children came from middle-class homes and their parents were professionals.",Keep existing corpus-level SES and parental-education coding.
Wells,*,SES/race/nationality,not_exposed_per_child_on_public_page,official_talkbank_page,https://talkbank.org/childes/access/Eng-UK/Wells.html,"Official page says family-background details were collected and used for sample design, but the current public page does not expose per-child SES, race/ethnicity, or child-specific nationality values.",Keep Wells SES/race/nationality unavailable in current metadata until deeper original materials are coded.
