utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Carl,1,what man this ?,what man this ?,3,3,3,3,3,3,3,Carl/010822.cha,14,20.733,loop shop ribbit ?,lucky pook teddy's ?,besides dreidel marmalade ?,,,
2,Carl,1,what bump head .,what bump head .,3,3,3,3,3,3,3,Carl/010822.cha,20,20.733,mane sara bones .,empa part airborne .,him's craigville reindeers .,is he up the stairs ?,is he up the stairs ?,is he up the stairs ?
3,Carl,1,he there .,he there .,2,2,2,3,2,2,2,Carl/010822.cha,23,20.733,sparkle then .,cabin vat .,taxitop crocodile's .,is he up the stairs ?,is he up the stairs ?,is he up the stairs ?
4,Carl,1,move .,move .,1,1,1,2,1,1,1,Carl/010822.cha,26,20.733,tubby .,jill's .,comment .,is he up the stairs ?,is he up the stairs ?,is he up the stairs ?
5,Carl,1,round there .,round there .,2,2,2,3,2,2,2,Carl/010822.cha,32,20.733,dining bate .,tireded crom .,radio's burny .,you move out_of the way sheep .,is he up the stairs ? you move out_of the way sheep .,is he up the stairs ? you move out_of the way sheep .
6,Carl,1,I want .,I want .,2,2,2,2,2,2,2,Carl/010822.cha,43,20.733,puppy seen .,found doffee .,snoop elaine .,do you want it to go under here ?,right Carl . do you want it to go under here ?,. right Carl . do you want it to go under here ?
7,Carl,1,a man and a daddy .,a man and a daddy .,5,5,6,6,6,6,5,Carl/010822.cha,46,20.733,give sophie ghosts couple cassie .,cool minnie topper hurrah el .,fella palace nose seethrough peekin .,do you want it to go under here ?,right Carl . do you want it to go under here ?,. right Carl . do you want it to go under here ?
8,Carl,1,what is a this ?,what is a this ?,4,4,4,4,4,4,4,Carl/010822.cha,49,20.733,care team smooth nother ?,pers starting yucky shuffling ?,toto giggling nurses mctats ?,do you want it to go under here ?,right Carl . do you want it to go under here ?,. right Carl . do you want it to go under here ?
9,Carl,1,what is this ?,what is this ?,3,3,3,3,3,3,3,Carl/010822.cha,52,20.733,kix trace miffy ?,shafto grilled concentrating ?,herman ruf soldier's ?,do you want it to go under here ?,right Carl . do you want it to go under here ?,. right Carl . do you want it to go under here ?
10,Carl,1,what this ?,what this ?,2,2,2,2,2,2,2,Carl/010822.cha,55,20.733,f pants ?,trophy snowsuit ?,silliness buys ?,do you want it to go under here ?,right Carl . do you want it to go under here ?,. right Carl . do you want it to go under here ?
11,Carl,1,what is this ?,what is this ?,3,3,3,3,3,3,3,Carl/010822.cha,61,20.733,helda thingamajig p ?,pancakie pinnie tweezers ?,peach volcano beats ?,no who's that ?,do you want it to go under here ? no who's that ?,right Carl . do you want it to go under here ? no who's that ?
12,Carl,1,what bump my head .,what bump my head .,4,4,4,4,4,4,4,Carl/010822.cha,64,20.733,cat monkey win bumble .,pant aboard eor elephant's .,missiles beddy puh aim .,no who's that ?,do you want it to go under here ? no who's that ?,right Carl . do you want it to go under here ? no who's that ?
13,Carl,1,bump^bump^bump^bump@o .,bump^bump^bump^bump .,4,1,4,4,4,4,4,Carl/010822.cha,70,20.733,might glues kind flipflops .,hellos scoot wednes fighting .,baltimore lent knick sitted .,you bumped his head ?,no who's that ? you bumped his head ?,do you want it to go under here ? no who's that ? you bumped his head ?
14,Carl,1,bump^bump^bump^bump@o .,bump^bump^bump^bump .,4,1,4,4,4,4,4,Carl/010822.cha,76,20.733,beds glitter mala stop .,commeration folded saur trampled .,wedding col clowns apartment .,Carl bumped his head yesterday didn't you ?,you bumped his head ? Carl bumped his head yesterday didn't you ?,no who's that ? you bumped his head ? Carl bumped his head yesterday didn't you ?
15,Carl,1,there go bump .,there go bump .,3,3,3,4,3,3,3,Carl/010822.cha,82,20.733,idaho diesel chicken .,stron spellery turban .,expression curves sipped .,bump down the stairs .,Carl bumped his head yesterday didn't you ? bump down the stairs .,you bumped his head ? Carl bumped his head yesterday didn't you ? bump down the stairs .
16,Carl,1,bump^bump^bump@o .,bump^bump^bump .,3,1,3,3,3,3,3,Carl/010822.cha,85,20.733,uh nursed hopping .,rudolph catching hard .,bellybuttons buys outdoor .,bump down the stairs .,Carl bumped his head yesterday didn't you ? bump down the stairs .,you bumped his head ? Carl bumped his head yesterday didn't you ? bump down the stairs .
17,Carl,1,head .,head .,1,1,1,1,1,1,1,Carl/010822.cha,88,20.733,grand .,reef .,outa .,bump down the stairs .,Carl bumped his head yesterday didn't you ? bump down the stairs .,you bumped his head ? Carl bumped his head yesterday didn't you ? bump down the stairs .
18,Carl,1,bump^bump^bump@o .,bump^bump^bump .,3,1,3,3,3,3,3,Carl/010822.cha,91,20.733,trapeze girls sully .,retach bridges vaginas .,lib rea sydney .,bump down the stairs .,Carl bumped his head yesterday didn't you ? bump down the stairs .,you bumped his head ? Carl bumped his head yesterday didn't you ? bump down the stairs .
19,Carl,1,bump^bump^bump@o .,bump^bump^bump .,3,1,3,3,3,3,3,Carl/010822.cha,100,20.733,beach poorly basement .,fogg fanning ooo .,winne cuckoo dock .,watch his head .,oh watch his head . watch his head .,bump down the stairs . oh watch his head . watch his head .
20,Carl,1,bump .,bump .,1,1,1,1,1,1,1,Carl/010822.cha,106,20.733,outside .,broadway .,sideways .,I thought I thought this was a bridge .,watch his head . I thought I thought this was a bridge .,oh watch his head . watch his head . I thought I thought this was a bridge .
21,Carl,1,bump .,bump .,1,1,1,1,1,1,1,Carl/010822.cha,112,20.733,my .,brokes .,star .,is it stairs ?,I thought I thought this was a bridge . is it stairs ?,watch his head . I thought I thought this was a bridge . is it stairs ?
22,Carl,1,a head .,a head .,2,2,2,2,2,2,2,Carl/010822.cha,115,20.733,feel dumped .,absurd bubblebath .,puss shyer .,is it stairs ?,I thought I thought this was a bridge . is it stairs ?,watch his head . I thought I thought this was a bridge . is it stairs ?
23,Carl,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Carl/010822.cha,121,20.733,jammed curve .,reins grannie .,beanstalk flattening .,oh dear .,is it stairs ? oh dear .,I thought I thought this was a bridge . is it stairs ? oh dear .
24,Carl,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Carl/010822.cha,124,20.733,beds last .,hairdryer cereals .,sniffs bayoup .,oh dear .,is it stairs ? oh dear .,I thought I thought this was a bridge . is it stairs ? oh dear .
25,Carl,1,man on there .,man on there .,3,3,3,4,3,3,3,Carl/010822.cha,127,20.733,doll's fine rosie's .,fightin pider snowmans .,ghosts sending meetin .,oh dear .,is it stairs ? oh dear .,I thought I thought this was a bridge . is it stairs ? oh dear .
26,Carl,1,man and a bridge .,man and a bridge .,4,4,4,5,4,4,4,Carl/010822.cha,133,20.733,bump croc seek marsumials .,tawny spy snowdon crayons .,r ga blossom nuhyuh .,I have a feeling it's going to break Carl .,oh dear . I have a feeling it's going to break Carl .,is it stairs ? oh dear . I have a feeling it's going to break Carl .
27,Carl,1,all down .,all down .,2,2,2,2,2,2,2,Carl/010822.cha,139,20.733,spotty poopy .,caused barmy .,touching streisand .,all fall down .,I have a feeling it's going to break Carl . all fall down .,oh dear . I have a feeling it's going to break Carl . all fall down .
28,Carl,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Carl/010822.cha,145,20.733,everything pies .,give startled .,oatie creme .,oh dear .,all fall down . oh dear .,I have a feeling it's going to break Carl . all fall down . oh dear .
29,Carl,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Carl/010822.cha,148,20.733,loves must .,almonds opening .,shaun's curie .,oh dear .,all fall down . oh dear .,I have a feeling it's going to break Carl . all fall down . oh dear .
30,Carl,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Carl/010822.cha,151,20.733,thin mattress .,tiddlywinks muddy .,flour jeez .,oh dear .,all fall down . oh dear .,I have a feeling it's going to break Carl . all fall down . oh dear .
31,Carl,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Carl/010822.cha,154,20.733,grass bate .,wasn't fighting .,jingling malmy .,oh dear .,all fall down . oh dear .,I have a feeling it's going to break Carl . all fall down . oh dear .
32,Carl,1,all right .,all right .,2,2,2,2,2,2,2,Carl/010822.cha,163,20.733,dodie h .,pecking robin .,cake or .,are you going to help Mummy build this ?,come on . are you going to help Mummy build this ?,oh dear . come on . are you going to help Mummy build this ?
33,Carl,1,whoops .,whoops .,1,1,1,1,1,1,1,Carl/010822.cha,166,20.733,this .,driller .,beginning .,are you going to help Mummy build this ?,come on . are you going to help Mummy build this ?,oh dear . come on . are you going to help Mummy build this ?
34,Carl,1,stick .,stick .,1,1,1,1,1,1,1,Carl/010822.cha,169,20.733,planet .,bread .,hon .,are you going to help Mummy build this ?,come on . are you going to help Mummy build this ?,oh dear . come on . are you going to help Mummy build this ?
35,Carl,1,Teddy .,Teddy .,1,1,2,2,2,2,1,Carl/010822.cha,172,20.733,pantie .,spots .,guard's .,are you going to help Mummy build this ?,come on . are you going to help Mummy build this ?,oh dear . come on . are you going to help Mummy build this ?
36,Carl,1,go +...,go .,1,2,1,1,1,1,1,Carl/010822.cha,184,20.733,eeyore's +...,space +...,wallop +...,where does that bit go ?,come on . where does that bit go ?,that's a good boy . come on . where does that bit go ?
37,Carl,1,right .,right .,1,1,1,1,1,1,1,Carl/010822.cha,190,20.733,cock .,jolly .,bunga .,you put that bit on there .,where does that bit go ? you put that bit on there .,come on . where does that bit go ? you put that bit on there .
38,Carl,1,right .,right .,1,1,1,1,1,1,1,Carl/010822.cha,193,20.733,kind .,wakie .,screams .,you put that bit on there .,where does that bit go ? you put that bit on there .,come on . where does that bit go ? you put that bit on there .
39,Carl,1,on it .,on it .,2,2,2,2,2,2,2,Carl/010822.cha,199,20.733,bring shoppers .,poopy cereal .,dominos adoodoo .,put that bit on there .,you put that bit on there . put that bit on there .,where does that bit go ? you put that bit on there . put that bit on there .
40,Carl,1,there you are .,there you are .,3,3,3,4,3,3,3,Carl/010822.cha,205,20.733,measured mittens holding .,cock mirror bagel .,surprises botbot tubbie .,it doesn't go that way .,put that bit on there . it doesn't go that way .,you put that bit on there . put that bit on there . it doesn't go that way .
41,Carl,1,oh that way that .,oh that way that .,4,4,4,4,4,4,4,Carl/010822.cha,217,20.733,stack trees walrus wag .,loura tweety noah hardly .,wobbles mouthfuls awa strangers .,it goes like that .,look . it goes like that .,doesn't go that way . look . it goes like that .
42,Carl,1,all under .,all under .,2,2,3,3,3,3,2,Carl/010822.cha,223,20.733,fresh police .,toward ree .,treats glass .,right .,it goes like that . right .,look . it goes like that . right .
43,Carl,1,and a bridge .,and a bridge .,3,3,3,4,3,3,3,Carl/010822.cha,226,20.733,cap itsy o .,ronny's mabel wallet .,brand north eeyore .,right .,it goes like that . right .,look . it goes like that . right .
44,Carl,1,that is finished .,that is finished .,3,4,5,5,5,5,3,Carl/010822.cha,232,20.733,posy sto john's .,beet castle carwashed .,favorite's really boy .,there it's finished .,right . there it's finished .,it goes like that . right . there it's finished .
45,Carl,1,that finished .,that finished .,2,3,4,4,4,4,2,Carl/010822.cha,238,20.733,firetruck skating .,babaji's journeys .,rocked jug .,it's finished .,there it's finished . it's finished .,right . there it's finished . it's finished .
46,Carl,1,whoops .,whoops .,1,1,1,1,1,1,1,Carl/010822.cha,244,20.733,wish .,splot .,spend .,shall we put the cows in the field ?,it's finished . shall we put the cows in the field ?,there it's finished . it's finished . shall we put the cows in the field ?
47,Carl,1,my cars .,my cars .,2,2,2,2,2,2,2,Carl/010822.cha,253,20.733,frumble flipflop .,newmi shopman .,dusting briefcase .,there's the farmer .,with the sheep ? there's the farmer .,shall we put the cows in the field ? with the sheep ? there's the farmer .
48,Carl,1,cars in there brum@o brum@o brum@o .,cars in there brum brum brum .,6,6,6,7,6,6,6,Carl/010822.cha,259,20.733,learn bear changing kitty's alan crow .,manners squashy pastina mudguard heck somebody .,wind's plasters year idocious budging yodel .,your cars yeah .,there's the farmer . your cars yeah .,with the sheep ? there's the farmer . your cars yeah .
49,Carl,1,what [* 0are] they doing ?,what they doing ?,3,4,3,3,4,3,3,Carl/010822.cha,265,20.733,computer free poop ?,shapes shuts fire's ?,peelin broken vacuums ?,what're they doing Carl ?,your cars yeah . what're they doing Carl ?,there's the farmer . your cars yeah . what're they doing Carl ?
50,Carl,1,what [* 0are] they doing ?,what they doing ?,3,4,3,3,4,3,3,Carl/010822.cha,269,20.733,cake uhuh itsy ?,tubbie oof gr ?,charmie sanderling jewel ?,what're they doing Carl ?,your cars yeah . what're they doing Carl ?,there's the farmer . your cars yeah . what're they doing Carl ?
51,Carl,1,what [* 0are] you doing .,what you doing .,3,4,3,3,3,3,3,Carl/010822.cha,276,20.733,easel fast mason .,mkay sanding letter .,maine coving posed .,no what are the cars doing ?,what're they doing Carl ? no what are the cars doing ?,your cars yeah . what're they doing Carl ? no what are the cars doing ?
52,Carl,1,there [* 0is] the bus .,there the bus .,3,3,3,4,3,3,3,Carl/010822.cha,280,20.733,spilt raked run .,ruffled special toddling .,leapfrog sentence moccasins .,no what are the cars doing ?,what're they doing Carl ? no what are the cars doing ?,your cars yeah . what're they doing Carl ? no what are the cars doing ?
53,Carl,1,there [* 0is] the door .,there the door .,3,3,3,4,3,3,3,Carl/010822.cha,284,20.733,hand watering halloween .,eledator jerry vehicle's .,bets wild bouncy .,no what are the cars doing ?,what're they doing Carl ? no what are the cars doing ?,your cars yeah . what're they doing Carl ? no what are the cars doing ?
54,Carl,1,that way .,that way .,2,2,2,2,2,2,2,Carl/010822.cha,291,20.733,word elbow .,zap bananas .,governor print .,they're going through a door ?,no what are the cars doing ? they're going through a door ?,what're they doing Carl ? no what are the cars doing ? they're going through a door ?
55,Carl,1,that way .,that way .,2,2,2,2,2,2,2,Carl/010822.cha,294,20.733,rat doggies .,soups gazaggers .,mickie pointer .,they're going through a door ?,no what are the cars doing ? they're going through a door ?,what're they doing Carl ? no what are the cars doing ? they're going through a door ?
56,Carl,1,coming back .,coming back .,2,3,3,3,3,3,2,Carl/010822.cha,303,20.733,limpet pleaded .,bozos howlin .,ringdingdingwing chipmunks .,they're coming back .,let Mummy get them . they're coming back .,they're going through a door ? let Mummy get them . they're coming back .
57,Carl,1,under bridge .,under bridge .,2,2,3,4,3,3,2,Carl/010822.cha,312,20.733,face jessica .,addy snug .,stabilize trailia .,under the bridge .,they're coming back through . under the bridge .,they're coming back . they're coming back through . under the bridge .
58,Carl,1,under .,under .,1,1,2,2,2,2,1,Carl/010822.cha,318,20.733,okey .,torn .,dolphin .,under the bridge .,under the bridge . under the bridge .,they're coming back through . under the bridge . under the bridge .
59,Carl,1,under .,under .,1,1,2,2,2,2,1,Carl/010822.cha,321,20.733,hummus .,mechanical .,showy .,under the bridge .,under the bridge . under the bridge .,they're coming back through . under the bridge . under the bridge .
60,Carl,1,under .,under .,1,1,2,2,2,2,1,Carl/010822.cha,324,20.733,coal .,supposed .,pinches .,under the bridge .,under the bridge . under the bridge .,they're coming back through . under the bridge . under the bridge .
61,Carl,1,under bridge .,under bridge .,2,2,3,4,3,3,2,Carl/010822.cha,327,20.733,let saddle .,nemo splendid .,louis boys .,under the bridge .,under the bridge . under the bridge .,they're coming back through . under the bridge . under the bridge .
62,Carl,1,I want .,I want .,2,2,2,2,2,2,2,Carl/010822.cha,336,20.733,bump helda .,thomas since .,oak you'd .,Carl make them go under the bridge .,under the bridge . Carl make them go under the bridge .,under the bridge . under the bridge . Carl make them go under the bridge .
63,Carl,1,I want .,I want .,2,2,2,2,2,2,2,Carl/010822.cha,339,20.733,tellie v .,powder toothpaste .,turvy eraser .,Carl make them go under the bridge .,under the bridge . Carl make them go under the bridge .,under the bridge . under the bridge . Carl make them go under the bridge .
64,Carl,1,whoops .,whoops .,1,1,1,1,1,1,1,Carl/010822.cha,342,20.733,sent .,early .,racecar .,Carl make them go under the bridge .,under the bridge . Carl make them go under the bridge .,under the bridge . under the bridge . Carl make them go under the bridge .
65,Carl,1,whoops .,whoops .,1,1,1,1,1,1,1,Carl/010822.cha,345,20.733,becky .,step .,heating .,Carl make them go under the bridge .,under the bridge . Carl make them go under the bridge .,under the bridge . under the bridge . Carl make them go under the bridge .
66,Carl,1,whoops .,whoops .,1,1,1,1,1,1,1,Carl/010822.cha,348,20.733,tracks .,solider .,venom .,Carl make them go under the bridge .,under the bridge . Carl make them go under the bridge .,under the bridge . under the bridge . Carl make them go under the bridge .
67,Carl,1,who's that ?,who's that ?,2,3,2,2,2,2,2,Carl/010822.cha,357,20.733,teat someone ?,smackin kept ?,sides boinging ?,who's that ?,whoops . who's that ?,Carl make them go under the bridge . whoops . who's that ?
68,Carl,1,what's that ?,what's that ?,2,3,2,2,2,2,2,Carl/010822.cha,360,20.733,rack whee ?,noh blueberries ?,trained daddy ?,who's that ?,whoops . who's that ?,Carl make them go under the bridge . whoops . who's that ?
69,Carl,1,quick .,quick .,1,1,1,1,1,1,1,Carl/010822.cha,384,20.733,climber .,wintertime .,tower .,quick .,quick . quick .,let's go and get the letters . quick . quick .
70,Carl,1,Daddy .,Daddy .,1,1,2,2,2,2,1,Carl/010822.cha,390,20.733,eights .,whoobubuh .,mastodon .,is that for Daddy ?,quick . is that for Daddy ?,quick . quick . is that for Daddy ?
71,Carl,1,there you go .,there you go .,3,3,3,4,3,3,3,Carl/010822.cha,405,20.733,hasta fruit jellybean .,gallopy soaping reggie .,baby's sunshine sing .,I've got a letter .,say there you go Daddy . I've got a letter .,you take them to Daddy . say there you go Daddy . I've got a letter .
72,Carl,1,for me .,for me .,2,2,2,2,2,2,2,Carl/010822.cha,411,20.733,halloween pizza .,pult campbell's .,moto dog .,is that for me ?,I've got a letter . is that for me ?,say there you go Daddy . I've got a letter . is that for me ?
73,Carl,1,whoops .,whoops .,1,1,1,1,1,1,1,Carl/010822.cha,420,20.733,morris .,humans .,hullo .,good boy .,thank_you . good boy .,is that for me ? thank_you . good boy .
74,Carl,1,what see ?,what see ?,2,2,2,2,2,2,2,Carl/010822.cha,423,20.733,mouthful treating ?,venus owen ?,boasted edward ?,good boy .,thank_you . good boy .,is that for me ? thank_you . good boy .
75,Carl,1,what see ?,what see ?,2,2,2,2,2,2,2,Carl/010822.cha,426,20.733,toolbox like ?,bats michelle ?,pa hoovering ?,good boy .,thank_you . good boy .,is that for me ? thank_you . good boy .
76,Carl,1,this .,this .,1,1,1,1,1,1,1,Carl/010822.cha,432,20.733,goman .,scream .,mummy'll .,who else is gonna go under the bridge Carl ?,good boy . who else is gonna go under the bridge Carl ?,thank_you . good boy . who else is gonna go under the bridge Carl ?
77,Carl,1,under .,under .,1,1,2,2,2,2,1,Carl/010822.cha,438,20.733,extra .,lassie .,chapter .,can the piggie go under the bridge ?,who else is gonna go under the bridge Carl ? can the piggie go under the bridge ?,good boy . who else is gonna go under the bridge Carl ? can the piggie go under the bridge ?
78,Carl,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Carl/010822.cha,441,20.733,dot pa .,wolf paper .,guh koalaba .,can the piggie go under the bridge ?,who else is gonna go under the bridge Carl ? can the piggie go under the bridge ?,good boy . who else is gonna go under the bridge Carl ? can the piggie go under the bridge ?
79,Carl,1,what happened ?,what happened ?,2,3,4,4,4,4,2,Carl/010822.cha,444,20.733,scarf tree ?,dingaling koalas ?,gi guy ?,can the piggie go under the bridge ?,who else is gonna go under the bridge Carl ? can the piggie go under the bridge ?,good boy . who else is gonna go under the bridge Carl ? can the piggie go under the bridge ?
80,Carl,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Carl/010822.cha,450,20.733,missing isabella .,twin's barrette .,cookbook fight .,what did you do ?,can the piggie go under the bridge ? what did you do ?,who else is gonna go under the bridge Carl ? can the piggie go under the bridge ? what did you do ?
81,Carl,1,oh bridge .,oh bridge .,2,2,2,3,2,2,2,Carl/010822.cha,456,20.733,scuffy lewis .,pose gadig .,dimes pitter .,what did you do Carl ?,what did you do ? what did you do Carl ?,can the piggie go under the bridge ? what did you do ? what did you do Carl ?
82,Carl,1,oh dear .,oh dear .,2,2,2,2,2,2,2,Carl/010822.cha,462,20.733,mother soon .,clicky yoke .,level clourse .,what did you do to the bridge ?,what did you do Carl ? what did you do to the bridge ?,what did you do ? what did you do Carl ? what did you do to the bridge ?
83,Carl,1,under the bridge .,under the bridge .,3,3,4,5,4,4,3,Carl/010822.cha,465,20.733,reptile staring cheesy .,lansinal octopus west .,male ins cole .,what did you do to the bridge ?,what did you do Carl ? what did you do to the bridge ?,what did you do ? what did you do Carl ? what did you do to the bridge ?
84,Carl,1,oh dear brum^brum@o .,oh dear brum^brum .,4,3,4,4,4,4,4,Carl/010822.cha,477,20.733,rinse dagere leg red .,iffy wince kiku emmet .,dumpin bulgie cotton cargo .,build it up again .,right come here . build it up again .,it fell down . right come here . build it up again .
85,Carl,1,what's .,what's .,1,2,1,1,1,1,1,Carl/010822.cha,480,20.733,okey .,beanstalk .,stronger .,build it up again .,right come here . build it up again .,it fell down . right come here . build it up again .
86,Carl,1,what's .,what's .,1,2,1,1,1,1,1,Carl/010822.cha,483,20.733,lamppost .,binman .,bow .,build it up again .,right come here . build it up again .,it fell down . right come here . build it up again .
87,Carl,1,in there ?,in there ?,2,2,2,3,2,2,2,Carl/010822.cha,486,20.733,wrote dustpan ?,popper characters ?,shaun's slope ?,build it up again .,right come here . build it up again .,it fell down . right come here . build it up again .
88,Carl,1,what in there ?,what in there ?,3,3,3,4,3,3,3,Carl/010822.cha,489,20.733,taj neenaw shave ?,stair pack boondy ?,binman summertime cra ?,build it up again .,right come here . build it up again .,it fell down . right come here . build it up again .
