utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Alex,1,Mommy [?] .,Mommy .,1,1,2,2,2,2,1,Alex/010427.cha,34,16.9,beak [?] .,clipped [?] .,gran [?] .,this is,please don't do that this is,anywhere you'll feel comfortable anywhere . please don't do that this is
2,Alex,1,yyy .,.,0,0,0,0,0,0,0,Alex/010427.cha,51,16.9,.,.,.,yeah he takes it he takes it apart .,Alex how do you do this so so fast yeah he takes it he takes it apart .,okay that's fine . Alex how do you do this so so fast yeah he takes it he takes it apart .
3,Alex,1,wee .,wee .,1,1,1,1,1,1,1,Alex/010427.cha,90,16.9,around .,croco .,yet .,one two Alex look,look look one two Alex look,no we'll watch television later look look one two Alex look
4,Alex,1,wee . 76776_79220,wee,1,1,1,1,1,1,1,Alex/010427.cha,105,16.9,gate,oops,stunt,one two three,g'head one two three,one two Alex look g'head one two three
5,Alex,1,woo .,woo .,1,1,1,1,1,1,1,Alex/010427.cha,122,16.9,blue .,dodee .,vacuumed .,woo,push woo,push push woo
6,Alex,1,yyy yyy .,.,0,0,0,0,0,0,0,Alex/010427.cha,149,16.9,.,.,.,that's not very tasty,oh don't eat that that's not good that's not very tasty,oh_boy oh don't eat that that's not good that's not very tasty
7,Alex,1,yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy . 240450_251930,,0,0,0,0,0,0,0,Alex/010427.cha,167,16.9,,,,any left,I think you're out any left,one two three I think you're out any left
8,Alex,1,yyy yyy . 251930_260208,,0,0,0,0,0,0,0,Alex/010427.cha,170,16.9,,,,any left,I think you're out any left,one two three I think you're out any left
9,Alex,1,yyy yyy . 260208_268035,,0,0,0,0,0,0,0,Alex/010427.cha,175,16.9,,,,any left,I think you're out any left,one two three I think you're out any left
10,Alex,1,yyy yyy yyy yyy yyy . 268035_272151,,0,0,0,0,0,0,0,Alex/010427.cha,178,16.9,,,,any left,I think you're out any left,one two three I think you're out any left
11,Alex,1,yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy yyy . 272151_277813,,0,0,0,0,0,0,0,Alex/010427.cha,181,16.9,,,,any left,I think you're out any left,one two three I think you're out any left
12,Alex,1,yyy yyy . 277813_283781,,0,0,0,0,0,0,0,Alex/010427.cha,184,16.9,,,,any left,I think you're out any left,one two three I think you're out any left
13,Alex,1,yyy yyy yyy yyy . 283781_286716,,0,0,0,0,0,0,0,Alex/010427.cha,187,16.9,,,,any left,I think you're out any left,one two three I think you're out any left
14,Alex,1,yyy yyy . 286716_291558,,0,0,0,0,0,0,0,Alex/010427.cha,190,16.9,,,,any left,I think you're out any left,one two three I think you're out any left
15,Alex,1,yyy yyy yyy . 291558_298911,,0,0,0,0,0,0,0,Alex/010427.cha,193,16.9,,,,any left,I think you're out any left,one two three I think you're out any left
16,Alex,1,Ernie [?] . 302490_305260,Ernie,1,1,1,2,1,1,1,Alex/010427.cha,199,16.9,rub,bangle,quickie,who's that,any left who's that,I think you're out any left who's that
17,Alex,1,yyy yyy . 305260_309265,,0,0,0,0,0,0,0,Alex/010427.cha,207,16.9,,,,Ernie .,who's that Ernie .,any left who's that Ernie .
18,Alex,1,yyy yyy yyy yyy yyy yyy yyy . 309265_314438,,0,0,0,0,0,0,0,Alex/010427.cha,210,16.9,,,,Ernie .,who's that Ernie .,any left who's that Ernie .
19,Alex,1,yyy yyy yyy . 314438_320785,,0,0,0,0,0,0,0,Alex/010427.cha,213,16.9,,,,Ernie .,who's that Ernie .,any left who's that Ernie .
20,Alex,1,yyy yyy . 320785_328011,,0,0,0,0,0,0,0,Alex/010427.cha,217,16.9,,,,Ernie .,who's that Ernie .,any left who's that Ernie .
21,Alex,1,yyy yyy . 328011_329621,,0,0,0,0,0,0,0,Alex/010427.cha,220,16.9,,,,Ernie .,who's that Ernie .,any left who's that Ernie .
22,Alex,1,yyy yyy . 329621_332960,,0,0,0,0,0,0,0,Alex/010427.cha,223,16.9,,,,Ernie .,who's that Ernie .,any left who's that Ernie .
23,Alex,1,yyy . 332960_335151,,0,0,0,0,0,0,0,Alex/010427.cha,229,16.9,,,,who's that ?,Ernie . who's that ?,who's that Ernie . who's that ?
24,Alex,1,yyy yyy yyy yyy . 335151_353061,,0,0,0,0,0,0,0,Alex/010427.cha,232,16.9,,,,who's that ?,Ernie . who's that ?,who's that Ernie . who's that ?
25,Alex,1,yyy . 353061_365796,,0,0,0,0,0,0,0,Alex/010427.cha,235,16.9,,,,who's that ?,Ernie . who's that ?,who's that Ernie . who's that ?
26,Alex,1,yyy yyy yyy . 383023_391330,,0,0,0,0,0,0,0,Alex/010427.cha,247,16.9,,,,who's that,prairie dawn who's that,Grover . prairie dawn who's that
27,Alex,1,yyy . 391330_394111,,0,0,0,0,0,0,0,Alex/010427.cha,250,16.9,,,,who's that,prairie dawn who's that,Grover . prairie dawn who's that
