utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
1,1,MOT,Naima,1,"let's [: let us] go back here , cranky girl who didn't have a nap . 0_3301",let's go back here cranky girl who didn't have a nap,11,15,12,14,12,12,11,Naima/001126.cha,17,11.867,,,
2,2,MOT,Naima,1,"yes , that was Daddy on the phone .",yes that was Daddy on the phone .,7,9,8,9,8,8,7,Naima/001126.cha,25,11.867,let's go back here cranky girl who didn't have a nap,let's go back here cranky girl who didn't have a nap,let's go back here cranky girl who didn't have a nap
3,3,MOT,Naima,1,Daddy_a Daddy_a . 7341_10680,Daddy_a Daddy_a,4,2,6,6,6,6,4,Naima/001126.cha,28,11.867,yes that was Daddy on the phone .,let's go back here cranky girl who didn't have a nap yes that was Daddy on the phone .,let's go back here cranky girl who didn't have a nap yes that was Daddy on the phone .
4,4,MOT,Naima,1,let's [: let us] play with something you really like . 10680_14465,let's play with something you really like,7,8,10,11,11,10,7,Naima/001126.cha,32,11.867,Daddy_a Daddy_a,yes that was Daddy on the phone . Daddy_a Daddy_a,let's go back here cranky girl who didn't have a nap yes that was Daddy on the phone . Daddy_a Daddy_a
5,5,MOT,Naima,1,okay ? 14465_16288,okay,1,1,2,2,3,2,1,Naima/001126.cha,35,11.867,let's play with something you really like,Daddy_a Daddy_a let's play with something you really like,yes that was Daddy on the phone . Daddy_a Daddy_a let's play with something you really like
6,6,MOT,Naima,1,here we go . 16288_20328,here we go,3,3,3,4,3,3,3,Naima/001126.cha,38,11.867,okay,let's play with something you really like okay,Daddy_a Daddy_a let's play with something you really like okay
7,7,MOT,Naima,1,hey: !,hey !,1,1,1,1,1,1,1,Naima/001126.cha,41,11.867,here we go,okay here we go,let's play with something you really like okay here we go
8,8,MOT,Naima,1,ywanna [: you want to] make some music ? 23791_28010,ywanna make some music,4,6,7,9,6,7,4,Naima/001126.cha,47,11.867,hey !,here we go hey !,okay here we go hey !
9,9,MOT,Naima,1,oh . 28010_30940,oh,1,1,1,1,1,1,1,Naima/001126.cha,51,11.867,ywanna make some music,hey ! ywanna make some music,here we go hey ! ywanna make some music
10,10,MOT,Naima,1,oh sweetie pie . 34873_36940,oh sweetie pie,3,3,3,4,3,3,3,Naima/001126.cha,59,11.867,oh,ywanna make some music oh,hey ! ywanna make some music oh
11,11,MOT,Naima,1,oh miserable baby . 36940_39753,oh miserable baby,3,3,6,7,6,7,3,Naima/001126.cha,62,11.867,oh sweetie pie,oh oh sweetie pie,ywanna make some music oh oh sweetie pie
12,12,MOT,Naima,1,let's [: let us] play music . 39753_42586,let's play music,3,4,4,4,5,4,3,Naima/001126.cha,65,11.867,oh miserable baby,oh sweetie pie oh miserable baby,oh oh sweetie pie oh miserable baby
13,13,MOT,Naima,1,yea:h . 42586_44050,yea:h,2,1,2,2,2,2,2,Naima/001126.cha,68,11.867,let's play music,oh miserable baby let's play music,oh sweetie pie oh miserable baby let's play music
14,14,MOT,Naima,1,yea:h . 44050_47050,yea:h,2,1,2,2,2,2,2,Naima/001126.cha,71,11.867,yea:h,let's play music yea:h,oh miserable baby let's play music yea:h
15,15,MOT,Naima,1,Naima . 47050_49458,Naima,1,1,2,2,2,2,1,Naima/001126.cha,74,11.867,yea:h,yea:h yea:h,let's play music yea:h yea:h
16,16,MOT,Naima,1,welcome welcome everyone . 49458_53921,welcome welcome everyone,3,3,7,10,7,7,3,Naima/001126.cha,77,11.867,Naima,yea:h Naima,yea:h yea:h Naima
17,17,MOT,Naima,1,now you're here we'll have some fun . 53921_58825,now you're here we'll have some fun,7,9,7,11,7,7,7,Naima/001126.cha,80,11.867,welcome welcome everyone,Naima welcome welcome everyone,yea:h Naima welcome welcome everyone
18,18,MOT,Naima,1,you're gonna bring me the telephone ? 58825_61393,you're gonna bring me the telephone,6,7,9,11,9,9,6,Naima/001126.cha,83,11.867,now you're here we'll have some fun,welcome welcome everyone now you're here we'll have some fun,Naima welcome welcome everyone now you're here we'll have some fun
19,19,MOT,Naima,1,who's on the telephone ? 61393_63561,who's on the telephone,4,5,6,7,6,6,4,Naima/001126.cha,86,11.867,you're gonna bring me the telephone,now you're here we'll have some fun you're gonna bring me the telephone,welcome welcome everyone now you're here we'll have some fun you're gonna bring me the telephone
20,20,MOT,Naima,1,wel(come) +//.,wel .,1,2,1,1,1,1,1,Naima/001126.cha,89,11.867,who's on the telephone,you're gonna bring me the telephone who's on the telephone,now you're here we'll have some fun you're gonna bring me the telephone who's on the telephone
21,21,MOT,Naima,1,can I have the telephone ? 63561_67978,can I have the telephone,5,5,7,9,7,7,5,Naima/001126.cha,92,11.867,wel .,who's on the telephone wel .,you're gonna bring me the telephone who's on the telephone wel .
