utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Violet,1,xxx . 55786_57963,,0,0,0,0,0,0,0,Violet/010200.cha,54,14.0,,,,say uhoh,hey hey say uhoh,Violet say uhoh hey hey say uhoh
2,Violet,1,xxx . 99565_102181,,0,0,0,0,0,0,0,Violet/010200.cha,81,14.0,,,,wanna read this book,do you wanna read a book wanna read this book,Violet come here wanna read a book do you wanna read a book wanna read this book
3,Violet,1,&-um yyy . 148636_151796,,0,0,0,0,0,0,0,Violet/010200.cha,118,14.0,,,,balloon,what's that balloon,no the blue hat is too small what's that balloon
4,Violet,1,yyy . 180595_182501,,0,0,0,0,0,0,0,Violet/010200.cha,136,14.0,,,,can bear wear mommy's red hat no the red hat's too special,hat can bear wear mommy's red hat no the red hat's too special,what's this hat can bear wear mommy's red hat no the red hat's too special
5,Violet,1,"yyy , yyy . 182501_185636",,0,1,0,0,0,0,0,Violet/010200.cha,139,14.0,,,,can bear wear mommy's red hat no the red hat's too special,hat can bear wear mommy's red hat no the red hat's too special,what's this hat can bear wear mommy's red hat no the red hat's too special
6,Violet,1,xxx . 185636_188168,,0,0,0,0,0,0,0,Violet/010200.cha,144,14.0,,,,can bear wear mommy's red hat no the red hat's too special,hat can bear wear mommy's red hat no the red hat's too special,what's this hat can bear wear mommy's red hat no the red hat's too special
7,Violet,1,yyy . 215718_218303,,0,0,0,0,0,0,0,Violet/010200.cha,168,14.0,,,,see the hat,uhoh see the hat,uhoh uhoh see the hat
8,Violet,1,"yyy , yyy , yyy . 296575_311331",,0,2,0,0,0,0,0,Violet/010200.cha,210,14.0,,,,you want that,what's this Violet you want that,what's that what's this Violet you want that
9,Violet,1,xxx yyy . 311331_312766,,0,0,0,0,0,0,0,Violet/010200.cha,215,14.0,,,,you want that,what's this Violet you want that,what's that what's this Violet you want that
10,Violet,1,"&-um , &-uh . 312766_356350",,0,1,0,0,0,0,0,Violet/010200.cha,218,14.0,,,,you want that,what's this Violet you want that,what's that what's this Violet you want that
11,Violet,1,yyy yyy . 356351_360966,,0,0,0,0,0,0,0,Violet/010200.cha,224,14.0,,,,you want that,what's this Violet you want that,what's that what's this Violet you want that
12,Violet,1,yyy . 364098_366811,,0,0,0,0,0,0,0,Violet/010200.cha,231,14.0,,,,are we done,you want that are we done,what's this Violet you want that are we done
13,Violet,1,xxx xxx xxx . 474423_483065,,0,0,0,0,0,0,0,Violet/010200.cha,291,14.0,,,,bring the other one there's another one to fold too up on the up on top of the bureau I think,if you want too yeah bring the other one there's another one to fold too up on the up on top of the bureau I think,we hafta stick them up here if you want too yeah bring the other one there's another one to fold too up on the up on top of the bureau I think
14,Violet,1,go yyy . 483065_485775,go,1,1,1,1,1,1,1,Violet/010200.cha,294,14.0,clean,chuck,eeny,bring the other one there's another one to fold too up on the up on top of the bureau I think,if you want too yeah bring the other one there's another one to fold too up on the up on top of the bureau I think,we hafta stick them up here if you want too yeah bring the other one there's another one to fold too up on the up on top of the bureau I think
15,Violet,1,xxx xxx . 485775_490623,,0,0,0,0,0,0,0,Violet/010200.cha,300,14.0,,,,bring the other one there's another one to fold too up on the up on top of the bureau I think,if you want too yeah bring the other one there's another one to fold too up on the up on top of the bureau I think,we hafta stick them up here if you want too yeah bring the other one there's another one to fold too up on the up on top of the bureau I think
16,Violet,1,yyy . 597598_650316,,0,0,0,0,0,0,0,Violet/010200.cha,355,14.0,,,,you goin night nights,night night Violet you goin night nights,oh you're goin night nights night night Violet you goin night nights
17,Violet,1,xxx . 650318_666198,,0,0,0,0,0,0,0,Violet/010200.cha,358,14.0,,,,you goin night nights,night night Violet you goin night nights,oh you're goin night nights night night Violet you goin night nights
18,Violet,1,xxx . 707411_727520,,0,0,0,0,0,0,0,Violet/010200.cha,383,14.0,,,,where's the mouse,whacha doin where's the mouse,just used up a_lot_of gas right whacha doin where's the mouse
19,Violet,1,yyy yyy . 728945_741431,,0,0,0,0,0,0,0,Violet/010200.cha,390,14.0,,,,where's the mouse,where's the mouse where's the mouse,whacha doin where's the mouse where's the mouse
20,Violet,1,yyy . 741431_743683,,0,0,0,0,0,0,0,Violet/010200.cha,393,14.0,,,,where's the mouse,where's the mouse where's the mouse,whacha doin where's the mouse where's the mouse
21,Violet,1,yyy . 743683_745911,,0,0,0,0,0,0,0,Violet/010200.cha,396,14.0,,,,where's the mouse,where's the mouse where's the mouse,whacha doin where's the mouse where's the mouse
22,Violet,1,xxx . 788551_801816,,0,0,0,0,0,0,0,Violet/010200.cha,429,14.0,,,,you're so nice,oh you're so nice,want me to give him a kiss oh you're so nice
23,Violet,1,yyy . 801818_803496,,0,0,0,0,0,0,0,Violet/010200.cha,432,14.0,,,,you're so nice,oh you're so nice,want me to give him a kiss oh you're so nice
24,Violet,1,xxx . 803496_843915,,0,0,0,0,0,0,0,Violet/010200.cha,435,14.0,,,,you're so nice,oh you're so nice,want me to give him a kiss oh you're so nice
25,Violet,1,yyy . 896130_965885,,0,0,0,0,0,0,0,Violet/010200.cha,449,14.0,,,,alright mommy's going to clean up,oh you got lots huh alright mommy's going to clean up,we gotta change your bum bum oh you got lots huh alright mommy's going to clean up
26,Violet,1,yyy . 965886_967945,,0,0,0,0,0,0,0,Violet/010200.cha,453,14.0,,,,alright mommy's going to clean up,oh you got lots huh alright mommy's going to clean up,we gotta change your bum bum oh you got lots huh alright mommy's going to clean up
27,Violet,1,xxx xxx . 967945_986328,,0,0,0,0,0,0,0,Violet/010200.cha,456,14.0,,,,alright mommy's going to clean up,oh you got lots huh alright mommy's going to clean up,we gotta change your bum bum oh you got lots huh alright mommy's going to clean up
28,Violet,1,xxx . 990616_1010248,,0,0,0,0,0,0,0,Violet/010200.cha,463,14.0,,,,wanna say hi to teddy,alright mommy's going to clean up wanna say hi to teddy,oh you got lots huh alright mommy's going to clean up wanna say hi to teddy
29,Violet,1,yyy . 1030915_1033943,,0,0,0,0,0,0,0,Violet/010200.cha,482,14.0,,,,are ya done,no are ya done,you don't want to no are ya done
30,Violet,1,xxx . 1069611_1079318,,0,0,0,0,0,0,0,Violet/010200.cha,505,14.0,,,,I'll put teddy here,you can stick them on here look I'll put teddy here,uhoh you can stick them on here look I'll put teddy here
31,Violet,1,xxx . 1079318_1082681,,0,0,0,0,0,0,0,Violet/010200.cha,508,14.0,,,,I'll put teddy here,you can stick them on here look I'll put teddy here,uhoh you can stick them on here look I'll put teddy here
32,Violet,1,xxx . 1082681_1109078,,0,0,0,0,0,0,0,Violet/010200.cha,511,14.0,,,,I'll put teddy here,you can stick them on here look I'll put teddy here,uhoh you can stick them on here look I'll put teddy here
33,Violet,1,xxx . 1129688_1134328,,0,0,0,0,0,0,0,Violet/010200.cha,529,14.0,,,,remember when we saw the kitty cat at Jessica's house,there's no kitty here remember when we saw the kitty cat at Jessica's house,did you see the tiny kitty ? there's no kitty here remember when we saw the kitty cat at Jessica's house
34,Violet,1,yyy yyy . 1134328_1135485,,0,0,0,0,0,0,0,Violet/010200.cha,532,14.0,,,,remember when we saw the kitty cat at Jessica's house,there's no kitty here remember when we saw the kitty cat at Jessica's house,did you see the tiny kitty ? there's no kitty here remember when we saw the kitty cat at Jessica's house
35,Violet,1,yyy xxx yyy . 1144748_1151853,,0,0,0,0,0,0,0,Violet/010200.cha,544,14.0,,,,and the kitty little tiny tiny tiny kitties say meow meow,we saw kitty cats and the kitty little tiny tiny tiny kitties say meow meow,do ya remember we saw kitty cats and the kitty little tiny tiny tiny kitties say meow meow
36,Violet,1,xxx . 1153980_1186220,,0,0,0,0,0,0,0,Violet/010200.cha,550,14.0,,,,meow meow,and the kitty little tiny tiny tiny kitties say meow meow meow meow,we saw kitty cats and the kitty little tiny tiny tiny kitties say meow meow meow meow
37,Violet,1,yyy . 1237625_1241260,,0,0,0,0,0,0,0,Violet/010200.cha,614,14.0,,,,and some casual but business shirts,my electric razor . and some casual but business shirts,okay my electric razor . and some casual but business shirts
38,Violet,1,"yyy , yyy . 1241260_1244033",,0,1,0,0,0,0,0,Violet/010200.cha,617,14.0,,,,and some casual but business shirts,my electric razor . and some casual but business shirts,okay my electric razor . and some casual but business shirts
