utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,John,1,a green .,a green .,2,2,2,2,2,2,2,John/011115.cha,17,23.5,build tigger .,poked mischievous .,melon kermit .,there you go .,there you go .,there you go .
2,John,1,all colors .,all colors .,2,2,3,3,3,3,2,John/011115.cha,26,23.5,star beep .,pez terrence .,agili vagina .,put an apron on .,mhm . put an apron on .,there you go . mhm . put an apron on .
3,John,1,colors draw Daddy .,colors draw Daddy .,3,3,5,5,5,5,3,John/011115.cha,35,23.5,messy busy chop .,eeping fray gross .,fantastic muppets clam .,mhm .,put an apron on . mhm .,mhm . put an apron on . mhm .
4,John,1,no .,no .,1,1,1,1,1,1,1,John/011115.cha,41,23.5,toucan .,stup .,whatever .,you draw it on your Daddys .,mhm . you draw it on your Daddys .,put an apron on . mhm . you draw it on your Daddys .
5,John,1,on the paper draw .,on the paper draw .,4,4,5,5,5,5,4,John/011115.cha,50,23.5,post winky basha care .,berton lizzy it katy .,ex trowbridge babaji's dodee .,just put this on John because you got all messy last time didn't you ?,come on . just put this on John because you got all messy last time didn't you ?,you draw it on your Daddys . come on . just put this on John because you got all messy last time didn't you ?
6,John,1,paper draw .,paper draw .,2,2,3,3,3,3,2,John/011115.cha,53,23.5,baker axel .,caps nos .,dragons yorkshire .,just put this on John because you got all messy last time didn't you ?,come on . just put this on John because you got all messy last time didn't you ?,you draw it on your Daddys . come on . just put this on John because you got all messy last time didn't you ?
7,John,1,this on paper .,this on paper .,3,3,4,4,4,4,3,John/011115.cha,56,23.5,rafi buyer bright .,jade plain rules .,wet bracelet wahwahwah .,just put this on John because you got all messy last time didn't you ?,come on . just put this on John because you got all messy last time didn't you ?,you draw it on your Daddys . come on . just put this on John because you got all messy last time didn't you ?
8,John,1,yellow .,yellow .,1,1,2,2,2,2,1,John/011115.cha,59,23.5,trapetoid .,skittles .,cottage .,just put this on John because you got all messy last time didn't you ?,come on . just put this on John because you got all messy last time didn't you ?,you draw it on your Daddys . come on . just put this on John because you got all messy last time didn't you ?
9,John,1,xxx .,.,0,0,0,0,0,0,0,John/011115.cha,65,23.5,.,.,.,it's yellow .,just put this on John because you got all messy last time didn't you ? it's yellow .,come on . just put this on John because you got all messy last time didn't you ? it's yellow .
10,John,1,yellow there .,yellow there .,2,2,3,4,3,3,2,John/011115.cha,67,23.5,comfy ducks .,eskimo putter .,henry messpot .,it's yellow .,just put this on John because you got all messy last time didn't you ? it's yellow .,come on . just put this on John because you got all messy last time didn't you ? it's yellow .
11,John,1,coming .,coming .,1,2,2,2,2,2,1,John/011115.cha,70,23.5,parachute .,amy .,cray .,it's yellow .,just put this on John because you got all messy last time didn't you ? it's yellow .,come on . just put this on John because you got all messy last time didn't you ? it's yellow .
12,John,1,Mummy .,Mummy .,1,1,2,2,2,2,1,John/011115.cha,73,23.5,skates .,campbell .,dukes .,it's yellow .,just put this on John because you got all messy last time didn't you ? it's yellow .,come on . just put this on John because you got all messy last time didn't you ? it's yellow .
13,John,1,xxx .,.,0,0,0,0,0,0,0,John/011115.cha,76,23.5,.,.,.,it's yellow .,just put this on John because you got all messy last time didn't you ? it's yellow .,come on . just put this on John because you got all messy last time didn't you ? it's yellow .
14,John,1,yellow .,yellow .,1,1,2,2,2,2,1,John/011115.cha,83,23.5,cookbook .,music .,twister .,take a piece off .,let's see . take a piece off .,it's yellow . let's see . take a piece off .
