utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Adam,1,play checkers .,play checkers .,2,2,3,3,4,3,2,Adam/020304.cha,16,27.133,ah ghost .,bur misses .,goal cept .,,,
2,Adam,1,big drum .,big drum .,2,2,2,2,2,2,2,Adam/020304.cha,20,27.133,poo motorway .,roly sentences .,jets kath .,,,
3,Adam,1,big drum .,big drum .,2,2,2,2,2,2,2,Adam/020304.cha,26,27.133,circle owl .,colo jugs .,seep jive .,big drum ?,big drum ?,big drum ?
4,Adam,1,big drum .,big drum .,2,2,2,2,2,2,2,Adam/020304.cha,30,27.133,pb underpants .,daniel's ace .,noodle burke .,big drum ?,big drum ?,big drum ?
5,Adam,1,big drum .,big drum .,2,2,2,2,2,2,2,Adam/020304.cha,34,27.133,cardinal mader .,borrows aim .,hunters women .,big drum ?,big drum ?,big drum ?
6,Adam,1,horse .,horse .,1,1,1,2,1,1,1,Adam/020304.cha,38,27.133,sucky .,carry .,bedknobs .,big drum ?,big drum ?,big drum ?
7,Adam,1,who (th)at ?,who at ?,2,2,2,2,2,2,2,Adam/020304.cha,44,27.133,gotta kath ?,corners click ?,arrow harold ?,horse .,big drum ? horse .,big drum ? horse .
8,Adam,1,two check .,two check .,2,2,2,2,2,2,2,Adam/020304.cha,53,27.133,mines arrived .,pickins gloria .,pencil barrels .,those are checkers .,who is that ? those are checkers .,horse . who is that ? those are checkers .
9,Adam,1,rig horn .,rig horn .,2,2,2,2,2,2,2,Adam/020304.cha,59,27.133,vik daughters .,kerplunk rawring .,pirates eeping .,two checkers yes .,those are checkers . two checkers yes .,who is that ? those are checkers . two checkers yes .
10,Adam,1,p(l)ay check(ers) .,p ay check .,3,2,3,3,3,3,3,Adam/020304.cha,62,27.133,corned friger pickles .,shaggy's hunm amelia .,melons teady puttin .,two checkers yes .,those are checkers . two checkers yes .,who is that ? those are checkers . two checkers yes .
11,Adam,1,yep .,yep .,1,1,1,1,1,1,1,Adam/020304.cha,68,27.133,panic .,tummy's .,rosebuds .,play checkers ?,two checkers yes . play checkers ?,those are checkers . two checkers yes . play checkers ?
12,Adam,1,big horn .,big horn .,2,2,2,2,2,2,2,Adam/020304.cha,72,27.133,frets ka .,somebody playground .,rarr tone's .,play checkers ?,two checkers yes . play checkers ?,those are checkers . two checkers yes . play checkers ?
13,Adam,1,alright look tv .,alright look tv .,3,3,4,4,4,4,3,Adam/020304.cha,78,27.133,goody katie lazybones .,bales teabags ditchwater .,wiggly buds pleas .,big horn ?,play checkers ? big horn ?,two checkers yes . play checkers ? big horn ?
14,Adam,1,part .,part .,1,1,1,1,1,1,1,Adam/020304.cha,81,27.133,hoses .,ging .,delivered .,big horn ?,play checkers ? big horn ?,two checkers yes . play checkers ? big horn ?
15,Adam,1,part .,part .,1,1,1,1,1,1,1,Adam/020304.cha,84,27.133,grilled .,juggler .,scooped .,big horn ?,play checkers ? big horn ?,two checkers yes . play checkers ? big horn ?
16,Adam,1,part .,part .,1,1,1,1,1,1,1,Adam/020304.cha,87,27.133,tickling .,boy .,who's .,big horn ?,play checkers ? big horn ?,two checkers yes . play checkers ? big horn ?
17,Adam,1,part .,part .,1,1,1,1,1,1,1,Adam/020304.cha,90,27.133,wisconsin .,marched .,show's .,big horn ?,play checkers ? big horn ?,two checkers yes . play checkers ? big horn ?
18,Adam,1,part .,part .,1,1,1,1,1,1,1,Adam/020304.cha,93,27.133,wizadora .,joseph .,anoth .,big horn ?,play checkers ? big horn ?,two checkers yes . play checkers ? big horn ?
19,Adam,1,ge(t) over (.) Mommy .,ge over Mommy .,3,3,5,5,5,5,3,Adam/020304.cha,96,27.133,everything blowy kick .,submarine letting amins .,koosh fights miniature .,big horn ?,play checkers ? big horn ?,two checkers yes . play checkers ? big horn ?
