utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Nicole,1,there .,there .,1,1,1,2,1,1,1,Nicole/020025.cha,22,24.833,damage .,cook .,handcuffs .,put him in the highchair for breakfast ?,put him in the highchair for breakfast ?,put him in the highchair for breakfast ?
2,Nicole,1,yeah .,yeah .,1,1,1,1,1,1,1,Nicole/020025.cha,31,24.833,you .,metallic .,tripod .,that's Morag isn't it ?,that one ? that's Morag isn't it ?,put him in the highchair for breakfast ? that one ? that's Morag isn't it ?
3,Nicole,1,Morag .,Morag .,1,1,2,2,2,2,1,Nicole/020025.cha,37,24.833,sails .,climb .,clucks .,can you say Morag ?,that's Morag isn't it ? can you say Morag ?,that one ? that's Morag isn't it ? can you say Morag ?
4,Nicole,1,yeah .,yeah .,1,1,1,1,1,1,1,Nicole/020025.cha,43,24.833,jeep .,labba .,elephant's .,shall we stick her in the highchair ?,can you say Morag ? shall we stick her in the highchair ?,that's Morag isn't it ? can you say Morag ? shall we stick her in the highchair ?
5,Nicole,1,pie .,pie .,1,1,1,1,1,1,1,Nicole/020025.cha,52,24.833,frog .,splitted .,goose .,what shall we give Morag for breakfast ?,right . what shall we give Morag for breakfast ?,shall we stick her in the highchair ? right . what shall we give Morag for breakfast ?
6,Nicole,1,Coco .,Coco .,1,1,2,2,2,2,1,Nicole/020025.cha,70,24.833,jasmin .,scotch .,ue .,what what do you like best ?,what are your favorite cereals ? what what do you like best ?,don't you think she'd like some cereals ? what are your favorite cereals ? what what do you like best ?
7,Nicole,1,yeah .,yeah .,1,1,1,1,1,1,1,Nicole/020025.cha,79,24.833,following .,walt .,pats .,what do you think Morag'd like Coco_Pops for breakfast ?,Coco ? what do you think Morag'd like Coco_Pops for breakfast ?,what what do you like best ? Coco ? what do you think Morag'd like Coco_Pops for breakfast ?
8,Nicole,1,yeah .,yeah .,1,1,1,1,1,1,1,Nicole/020025.cha,85,24.833,stove .,bunnykins .,crashed .,shall we do some Coco_Pops then ?,what do you think Morag'd like Coco_Pops for breakfast ? shall we do some Coco_Pops then ?,Coco ? what do you think Morag'd like Coco_Pops for breakfast ? shall we do some Coco_Pops then ?
9,Nicole,1,milk .,milk .,1,1,1,1,1,1,1,Nicole/020025.cha,104,24.833,rollerskates .,pancakes .,dividing .,what what's that ?,there . what what's that ?,. there . what what's that ?
10,Nicole,1,yeah .,yeah .,1,1,1,1,1,1,1,Nicole/020025.cha,110,24.833,turkey .,chine .,weein .,milk ?,what what's that ? milk ?,there . what what's that ? milk ?
11,Nicole,1,yeah .,yeah .,1,1,1,1,1,1,1,Nicole/020025.cha,134,24.833,ming .,straight .,gate's .,do you want a spoon ?,what're you going to feed her with ? do you want a spoon ?,what else do you need ? what're you going to feed her with ? do you want a spoon ?
12,Nicole,1,spoon .,spoon .,1,1,1,1,1,1,1,Nicole/020025.cha,167,24.833,spout .,doors .,duckie's .,can you say spoon ?,you feed Morag . can you say spoon ?,I'll do that . you feed Morag . can you say spoon ?
13,Nicole,1,no .,no .,1,1,1,1,1,1,1,Nicole/020025.cha,182,24.833,eeping .,spudinski .,swim .,are you going to tell Caroline what Moncia's having for her breakfast ?,what's she having ? are you going to tell Caroline what Moncia's having for her breakfast ?,good girl . what's she having ? are you going to tell Caroline what Moncia's having for her breakfast ?
14,Nicole,1,xxx .,.,0,0,0,0,0,0,0,Nicole/020025.cha,185,24.833,.,.,.,are you going to tell Caroline what Moncia's having for her breakfast ?,what's she having ? are you going to tell Caroline what Moncia's having for her breakfast ?,good girl . what's she having ? are you going to tell Caroline what Moncia's having for her breakfast ?
15,Nicole,1,Coco .,Coco .,1,1,2,2,2,2,1,Nicole/020025.cha,189,24.833,plus .,bananas .,rains .,what's she eating Nicole ?,are you going to tell Caroline what Moncia's having for her breakfast ? what's she eating Nicole ?,what's she having ? are you going to tell Caroline what Moncia's having for her breakfast ? what's she eating Nicole ?
16,Nicole,1,Coco .,Coco .,1,1,2,2,2,2,1,Nicole/020025.cha,195,24.833,parent .,jacket .,tenders .,Coco_Pops ?,what's she eating Nicole ? Coco_Pops ?,are you going to tell Caroline what Moncia's having for her breakfast ? what's she eating Nicole ? Coco_Pops ?
17,Nicole,1,no .,no .,1,1,1,1,1,1,1,Nicole/020025.cha,207,24.833,op .,apricot .,blowed .,Coco_Pops ?,what's she eating Nicole ? Coco_Pops ?,are you going to tell Caroline what Moncia's having for her breakfast ? what's she eating Nicole ? Coco_Pops ?
18,Nicole,1,pie .,pie .,1,1,1,1,1,1,1,Nicole/020025.cha,210,24.833,crocodile's .,fellows .,pigot .,Coco_Pops ?,what's she eating Nicole ? Coco_Pops ?,are you going to tell Caroline what Moncia's having for her breakfast ? what's she eating Nicole ? Coco_Pops ?
19,Nicole,1,xxx .,.,0,0,0,0,0,0,0,Nicole/020025.cha,226,24.833,.,.,.,.,you like pie don't you ? .,Coco_Pops ? you like pie don't you ? .
20,Nicole,1,&-um (.) juice .,juice .,1,1,1,2,1,1,1,Nicole/020025.cha,230,24.833,clourse .,allow .,me .,what's this Nicole ?,. what's this Nicole ?,you like pie don't you ? . what's this Nicole ?
21,Nicole,1,yeah .,yeah .,1,1,1,1,1,1,1,Nicole/020025.cha,239,24.833,grandma .,mongammy .,douglas .,shall I put some in a cup for Morag ?,juice ? shall I put some in a cup for Morag ?,what's this Nicole ? juice ? shall I put some in a cup for Morag ?
22,Nicole,1,&-um (.) cup .,cup .,1,1,1,1,1,1,1,Nicole/020025.cha,248,24.833,staying .,scale .,points .,what's this ?,yeah . what's this ?,shall I put some in a cup for Morag ? yeah . what's this ?
23,Nicole,1,yeah .,yeah .,1,1,1,1,1,1,1,Nicole/020025.cha,254,24.833,lalie .,seed .,throat .,cup ?,what's this ? cup ?,yeah . what's this ? cup ?
24,Nicole,1,here .,here .,1,1,1,2,1,1,1,Nicole/020025.cha,263,24.833,but .,curious .,scored .,we willn't argue .,it's a glass really but . we willn't argue .,cup ? it's a glass really but . we willn't argue .
25,Nicole,1,xxx .,.,0,0,0,0,0,0,0,Nicole/020025.cha,269,24.833,.,.,.,and what's this Nicole ?,we willn't argue . and what's this Nicole ?,it's a glass really but . we willn't argue . and what's this Nicole ?
26,Nicole,1,pie .,pie .,1,1,1,1,1,1,1,Nicole/020025.cha,273,24.833,now .,cerea .,cmere .,what is it ?,and what's this Nicole ? what is it ?,we willn't argue . and what's this Nicole ? what is it ?
27,Nicole,1,xxx .,.,0,0,0,0,0,0,0,Nicole/020025.cha,282,24.833,.,.,.,that's right .,pie . that's right .,what is it ? pie . that's right .
28,Nicole,1,cake .,cake .,1,1,1,2,1,1,1,Nicole/020025.cha,286,24.833,slee .,hatched .,dominos .,and what's this ?,that's right . and what's this ?,pie . that's right . and what's this ?
