utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Eve,1,more cookie . [+ IMP],more cookie,2,2,2,4,2,2,2,Eve/010600a.cha,14,18.0,kix against,photograph dizzy,opener golly,,,
2,Eve,1,more cookie . [+ IMP],more cookie,2,2,2,4,2,2,2,Eve/010600a.cha,33,18.0,beddy bike,wedd othello,snowbank shadow's,here you go .,here . here you go .,would that do just as_well ? here . here you go .
3,Eve,1,more juice ?,more juice ?,2,2,2,4,2,2,2,Eve/010600a.cha,40,18.0,wagon tip ?,anchor nottingham ?,leader dere ?,you have another cookie right on the table .,here you go . you have another cookie right on the table .,here . here you go . you have another cookie right on the table .
4,Eve,1,Fraser . [+ IMIT],Fraser,1,1,2,2,2,2,1,Eve/010600a.cha,56,18.0,rocking,bottoms,costumes,oh I took it .,where's your cup ? oh I took it .,would you like more grape juice ? where's your cup ? oh I took it .
5,Eve,1,Fraser . [+ IMIT],Fraser,1,1,2,2,2,2,1,Eve/010600a.cha,66,18.0,hee,negative,symber,I'm not sure .,I think that was Fraser . I'm not sure .,oh I took it . I think that was Fraser . I'm not sure .
6,Eve,1,Fraser .,Fraser .,1,1,2,2,2,2,1,Eve/010600a.cha,78,18.0,cooking .,blinking .,die .,Mr Fraser ?,are you saying Fraser ? Mr Fraser ?,what ? are you saying Fraser ? Mr Fraser ?
7,Eve,1,Fraser .,Fraser .,1,1,2,2,2,2,1,Eve/010600a.cha,84,18.0,part .,bood .,jug .,yes that's much better .,Mr Fraser ? yes that's much better .,are you saying Fraser ? Mr Fraser ? yes that's much better .
8,Eve,1,yeah . [+ RES],yeah,1,1,1,1,1,1,1,Eve/010600a.cha,91,18.0,beer,winned,bread,Mr Fraser ?,yes that's much better . Mr Fraser ?,Mr Fraser ? yes that's much better . Mr Fraser ?
9,Eve,1,xxx (th)at ?,at ?,1,1,1,1,1,1,1,Eve/010600a.cha,94,18.0,calling ?,bobbys ?,den ?,Mr Fraser ?,yes that's much better . Mr Fraser ?,Mr Fraser ? yes that's much better . Mr Fraser ?
10,Eve,1,a fly . [+ RES],a fly,2,2,2,2,2,2,2,Eve/010600a.cha,106,18.0,seesaw leash,ship dirts,area pizz,what is that ?,huh ? what is that ?,what is that ? huh ? what is that ?
11,Eve,1,fly . [+ IMIT],fly,1,1,1,1,1,1,1,Eve/010600a.cha,119,18.0,empty,melody,virginia,you go in the room and kill a fly .,why don't you go in the room and kill a fly ? you go in the room and kill a fly .,yes a fly . why don't you go in the room and kill a fly ? you go in the room and kill a fly .
12,Eve,1,Mommy telephone .,Mommy telephone .,2,2,5,6,5,5,2,Eve/010600a.cha,131,18.0,leaving daughter .,raffi teko .,poor tyler .,are you finished with your juice ?,you get one . are you finished with your juice ?,yes you get a fly . you get one . are you finished with your juice ?
13,Eve,1,my telephone .,my telephone .,2,2,4,5,4,4,2,Eve/010600a.cha,144,18.0,luna dudit .,parties jamess .,stepped chantilly's .,who are you calling Eve ?,yes he gave you your telephone . who are you calling Eve ?,well go and get your telephone . yes he gave you your telephone . who are you calling Eve ?
14,Eve,1,xxx . [+ RES],,0,0,0,0,0,0,0,Eve/010600a.cha,150,18.0,,,,who ?,who are you calling Eve ? who ?,yes he gave you your telephone . who are you calling Eve ? who ?
15,Eve,1,Mommy .,Mommy .,1,1,2,2,2,2,1,Eve/010600a.cha,154,18.0,naima .,gram .,pringles .,who ?,who are you calling Eve ? who ?,yes he gave you your telephone . who are you calling Eve ? who ?
16,Eve,1,no .,no .,1,1,1,1,1,1,1,Eve/010600a.cha,164,18.0,dare .,greeny .,flied .,call Grandma and talk .,Eve why don't you call Grandma ? call Grandma and talk .,who ? Eve why don't you call Grandma ? call Grandma and talk .
17,Eve,1,man [/] man .,man man .,2,1,2,2,2,2,2,Eve/010600a.cha,179,18.0,couch bashing .,jamess ea .,wyoming buildings .,I just thought she might like to hear from you .,alright . I just thought she might like to hear from you .,alright . alright . I just thought she might like to hear from you .
18,Eve,1,xxx . [+ RES],,0,0,0,0,0,0,0,Eve/010600a.cha,188,18.0,,,,what's the man doing ?,uhhuh . what's the man doing ?,I just thought she might like to hear from you . uhhuh . what's the man doing ?
19,Eve,1,more (.) cookie . [+ IMP],more cookie,2,2,2,4,2,2,2,Eve/010600a.cha,189,18.0,uncle whoops,batman funniest,daddyah oink,what's the man doing ?,uhhuh . what's the man doing ?,I just thought she might like to hear from you . uhhuh . what's the man doing ?
20,Eve,1,block broke .,block broke .,2,2,2,3,2,2,2,Eve/010600a.cha,198,18.0,ghost's soaping .,mikie pongs .,foolin ur .,there's a cookie on the table in the room on the table with the rest of your crackers .,you wan a cookie ? there's a cookie on the table in the room on the table with the rest of your crackers .,what's the man doing ? you wan a cookie ? there's a cookie on the table in the room on the table with the rest of your crackers .
21,Eve,1,there [!!] .,there .,1,1,1,2,1,1,1,Eve/010600a.cha,207,18.0,kale [!!] .,rolling [!!] .,dot's [!!] .,there's a cookie on the table in the room on the table with the rest of your crackers .,you wan a cookie ? there's a cookie on the table in the room on the table with the rest of your crackers .,what's the man doing ? you wan a cookie ? there's a cookie on the table in the room on the table with the rest of your crackers .
22,Eve,1,I did it .,I did it .,3,4,3,3,3,3,3,Eve/010600a.cha,216,18.0,yo drawer collar .,worlds dabadabadoo hammer .,patient's hollow michigan .,there .,there's a cookie on the table in the room on the table with the rest of your crackers . there .,you wan a cookie ? there's a cookie on the table in the room on the table with the rest of your crackers . there .
23,Eve,1,there .,there .,1,1,1,2,1,1,1,Eve/010600a.cha,219,18.0,walk .,pam .,suddenly .,there .,there's a cookie on the table in the room on the table with the rest of your crackers . there .,you wan a cookie ? there's a cookie on the table in the room on the table with the rest of your crackers . there .
24,Eve,1,there Fraser .,there Fraser .,2,2,3,4,3,3,2,Eve/010600a.cha,222,18.0,ace horses .,celia al .,alador fudgesicles .,there .,there's a cookie on the table in the room on the table with the rest of your crackers . there .,you wan a cookie ? there's a cookie on the table in the room on the table with the rest of your crackers . there .
25,Eve,1,xxx . [+ RES],,0,0,0,0,0,0,0,Eve/010600a.cha,231,18.0,,,,what's that ?,there . what's that ?,there's a cookie on the table in the room on the table with the rest of your crackers . there . what's that ?
26,Eve,1,xxx .,.,0,0,0,0,0,0,0,Eve/010600a.cha,232,18.0,.,.,.,what's that ?,there . what's that ?,there's a cookie on the table in the room on the table with the rest of your crackers . there . what's that ?
27,Eve,1,baby .,baby .,1,1,2,2,2,2,1,Eve/010600a.cha,233,18.0,pleaded .,bawk .,difference .,what's that ?,there . what's that ?,there's a cookie on the table in the room on the table with the rest of your crackers . there . what's that ?
28,Eve,1,Mommy read .,Mommy read .,2,2,3,3,3,3,2,Eve/010600a.cha,239,18.0,slipped base .,dried dirties .,lanny catched .,oh it's a baby .,what's that ? oh it's a baby .,there . what's that ? oh it's a baby .
29,Eve,1,a stool .,a stool .,2,2,2,2,2,2,2,Eve/010600a.cha,254,18.0,j brum .,percent puttin .,ying pollie .,you read the book .,I'm busy . you read the book .,Mommy can't read . I'm busy . you read the book .
30,Eve,1,Fraser .,Fraser .,1,1,2,2,2,2,1,Eve/010600a.cha,263,18.0,salt .,blowy .,oughta .,you wanna sit on the stool and read the book ?,yes that's the stool . you wanna sit on the stool and read the book ?,you read the book . yes that's the stool . you wanna sit on the stool and read the book ?
31,Eve,1,Fraser .,Fraser .,1,1,2,2,2,2,1,Eve/010600a.cha,269,18.0,bibbie .,cousins .,dribble .,Mr Fraser yes Mr Fraser .,you wanna sit on the stool and read the book ? Mr Fraser yes Mr Fraser .,yes that's the stool . you wanna sit on the stool and read the book ? Mr Fraser yes Mr Fraser .
32,Eve,1,more cookie .,more cookie .,2,2,2,4,2,2,2,Eve/010600a.cha,272,18.0,which car's .,archway phil .,fatso fessor .,Mr Fraser yes Mr Fraser .,you wanna sit on the stool and read the book ? Mr Fraser yes Mr Fraser .,yes that's the stool . you wanna sit on the stool and read the book ? Mr Fraser yes Mr Fraser .
33,Eve,1,more cookie .,more cookie .,2,2,2,4,2,2,2,Eve/010600a.cha,275,18.0,dadaji ruby .,mesh crabbie .,weesh pigpen .,Mr Fraser yes Mr Fraser .,you wanna sit on the stool and read the book ? Mr Fraser yes Mr Fraser .,yes that's the stool . you wanna sit on the stool and read the book ? Mr Fraser yes Mr Fraser .
34,Eve,1,<little little little> [/] little . [+ IMIT],little little little little,4,1,4,8,4,8,4,Eve/010600a.cha,297,18.0,escalator jum ki blue,party's firework sixteen brown's,sunshine's hurdy stroll stopping,just a little one .,just a little one . just a little one .,I'll give you another . just a little one . just a little one .
35,Eve,1,milk ?,milk ?,1,1,1,1,1,1,1,Eve/010600a.cha,306,18.0,bertthe ?,awa ?,cheeseburger ?,little one yes .,yes . little one yes .,just a little one . yes . little one yes .
36,Eve,1,<milk milk> [/] milk .,milk milk milk .,3,1,3,3,3,3,3,Eve/010600a.cha,321,18.0,sometimes dabra quiet .,leggo oblong roo's .,nun kandjg poncho .,you eat any more crackers .,we'll have lunch in a little while . you eat any more crackers .,no no more Eve . we'll have lunch in a little while . you eat any more crackers .
37,Eve,1,that ?,that ?,1,1,1,1,1,1,1,Eve/010600a.cha,339,18.0,ties ?,tooked ?,head ?,how_about a drink of water ?,where's the rest of your juice ? how_about a drink of water ?,you've just had some juice . where's the rest of your juice ? how_about a drink of water ?
38,Eve,1,Fraser water ?,Fraser water ?,2,2,4,4,4,4,2,Eve/010600a.cha,351,18.0,snuggling blankets ?,snarl miller ?,mhm windshield ?,there drink the water .,that's Mr Fraser . there drink the water .,what is that ? that's Mr Fraser . there drink the water .
39,Eve,1,oh Fraser .,oh Fraser .,2,2,3,3,3,3,2,Eve/010600a.cha,357,18.0,shining u .,beatles burr .,bubblebath fussy's .,no I don't think Mr Fraser wants any water .,there drink the water . no I don't think Mr Fraser wants any water .,that's Mr Fraser . there drink the water . no I don't think Mr Fraser wants any water .
40,Eve,1,bye . [+ RES],bye,1,1,1,1,1,1,1,Eve/010600a.cha,363,18.0,tick,jeff,ra,what ?,no I don't think Mr Fraser wants any water . what ?,there drink the water . no I don't think Mr Fraser wants any water . what ?
41,Eve,1,xxx water .,water .,1,1,2,2,2,2,1,Eve/010600a.cha,372,18.0,babaji .,twelve .,tummy's .,where are you going ?,bye ? where are you going ?,what ? bye ? where are you going ?
42,Eve,1,Fraser water .,Fraser water .,2,2,4,4,4,4,2,Eve/010600a.cha,375,18.0,zoe's sides .,starry cubes .,grades pilot .,where are you going ?,bye ? where are you going ?,what ? bye ? where are you going ?
43,Eve,1,Fraser water .,Fraser water .,2,2,4,4,4,4,2,Eve/010600a.cha,381,18.0,maine closing .,lilys melts .,zzz motorcycles .,will you ask Mr Fraser if he'd like a drink of water ?,where are you going ? will you ask Mr Fraser if he'd like a drink of water ?,bye ? where are you going ? will you ask Mr Fraser if he'd like a drink of water ?
44,Eve,1,that ?,that ?,1,1,1,1,1,1,1,Eve/010600a.cha,393,18.0,hamburgers ?,crumbles ?,spitting ?,Mr Fraser's drinking coffee .,Mr Fraser has coffee . Mr Fraser's drinking coffee .,I don't think so . Mr Fraser has coffee . Mr Fraser's drinking coffee .
45,Eve,1,coffee . [+ IMIT],coffee,1,1,1,2,1,1,1,Eve/010600a.cha,403,18.0,hammer,nuddy,nai,what is that ?,Mr Fraser's drinking coffee . what is that ?,Mr Fraser has coffee . Mr Fraser's drinking coffee . what is that ?
46,Eve,1,xxx Fraser coffee .,Fraser coffee .,2,2,3,4,3,3,2,Eve/010600a.cha,409,18.0,doc pie .,growled zawelly .,hoorah jaguar .,yes he's drinking his coffee .,what is that ? yes he's drinking his coffee .,Mr Fraser's drinking coffee . what is that ? yes he's drinking his coffee .
47,Eve,1,down [/] down . [+ IMIT],down down,2,1,2,2,2,2,2,Eve/010600a.cha,418,18.0,siren sweep,serves carter's,thora martha's,that's Mr Fraser's coffee .,right . that's Mr Fraser's coffee .,yes he's drinking his coffee . right . that's Mr Fraser's coffee .
48,Eve,1,cookie . [+ IMIT],cookie,1,1,1,2,1,1,1,Eve/010600a.cha,431,18.0,breakfast,gramma,ow,now what ?,there you go . now what ?,you want down ? there you go . now what ?
49,Eve,1,Mommy .,Mommy .,1,1,2,2,2,2,1,Eve/010600a.cha,443,18.0,remembered .,oken .,biggest .,we'll have a cookie later .,later we'll have a cookie . we'll have a cookie later .,no more cookies Eve . later we'll have a cookie . we'll have a cookie later .
50,Eve,1,Mommy .,Mommy .,1,1,2,2,2,2,1,Eve/010600a.cha,450,18.0,dollhouse .,sausages .,eleanor .,what ?,we'll have a cookie later . what ?,later we'll have a cookie . we'll have a cookie later . what ?
51,Eve,1,a [?] fly [= flyswatter] .,a fly .,2,2,2,2,2,2,2,Eve/010600a.cha,456,18.0,chip ghost's .,business ey .,dol sneaking .,what ?,what ? what ?,we'll have a cookie later . what ? what ?
52,Eve,1,read the puzzle .,read the puzzle .,3,3,3,4,3,4,3,Eve/010600a.cha,459,18.0,toes boy rocking .,seatbelts mabel dumper .,sprayed chameleons gulp .,what ?,what ? what ?,we'll have a cookie later . what ? what ?
53,Eve,1,read the puzzle .,read the puzzle .,3,3,3,4,3,4,3,Eve/010600a.cha,463,18.0,alan diggers grandma .,herbake mow winding .,maisy dudit stone .,what ?,what ? what ?,we'll have a cookie later . what ? what ?
54,Eve,1,read the puzzle .,read the puzzle .,3,3,3,4,3,4,3,Eve/010600a.cha,466,18.0,sticking quiet bubbles .,sebastian clang blanket's .,carriages moon storybook .,what ?,what ? what ?,we'll have a cookie later . what ? what ?
55,Eve,1,read the puzzle .,read the puzzle .,3,3,3,4,3,4,3,Eve/010600a.cha,469,18.0,ringing chickchick sheep .,meanies loura pointy .,paths hannah buys .,what ?,what ? what ?,we'll have a cookie later . what ? what ?
56,Eve,1,<read the puzzle read the puzzle> [/] read the puzzle .,read the puzzle read the puzzle read the puzzle .,9,3,9,12,9,12,9,Eve/010600a.cha,472,18.0,robot page squonk straw pi jugs ever sweep catses .,frying pooey peaked rakes beefburger duc housie periscope garden's .,beam nosy doyert harry tortillas pine frog smommy building .,what ?,what ? what ?,we'll have a cookie later . what ? what ?
57,Eve,1,Racketyboom .,Racketyboom .,1,1,4,4,3,4,1,Eve/010600a.cha,475,18.0,clifford .,tis .,chocks .,what ?,what ? what ?,we'll have a cookie later . what ? what ?
58,Eve,1,hat . [+ RES],hat,1,1,1,1,1,1,1,Eve/010600a.cha,482,18.0,ella,idge,doree,oh what's that ?,what ? oh what's that ?,what ? what ? oh what's that ?
59,Eve,1,xxx . [+ RES],,0,0,0,0,0,0,0,Eve/010600a.cha,492,18.0,,,,an what did you do with it ?,your hat ? an what did you do with it ?,oh what's that ? your hat ? an what did you do with it ?
60,Eve,1,m:hm [?] .,m:hm .,2,1,2,2,2,2,2,Eve/010600a.cha,502,18.0,dinky ripe [?] .,adjective hurry [?] .,tinky guests [?] .,come see if we can find dolly's bottle .,think she would ? come see if we can find dolly's bottle .,maybe your dolly would like a bottle . think she would ? come see if we can find dolly's bottle .
61,Eve,1,water xxx . [+ RES],water,1,1,2,2,2,2,1,Eve/010600a.cha,511,18.0,frank,heaven,sing,give dolly her bottle .,come see if we can find dolly's bottle . give dolly her bottle .,think she would ? come see if we can find dolly's bottle . give dolly her bottle .
62,Eve,1,bottle . [+ RES],bottle,1,1,1,2,1,2,1,Eve/010600a.cha,517,18.0,letter,louise,beckys,what are you doing ?,give dolly her bottle . what are you doing ?,come see if we can find dolly's bottle . give dolly her bottle . what are you doing ?
63,Eve,1,water .,water .,1,1,2,2,2,2,1,Eve/010600a.cha,520,18.0,loley .,sol .,peaceful .,what are you doing ?,give dolly her bottle . what are you doing ?,come see if we can find dolly's bottle . give dolly her bottle . what are you doing ?
64,Eve,1,there .,there .,1,1,1,2,1,1,1,Eve/010600a.cha,526,18.0,worms .,toby .,rhyming .,bottle ?,what are you doing ? bottle ?,give dolly her bottle . what are you doing ? bottle ?
65,Eve,1,Fraser hat .,Fraser hat .,2,2,3,3,3,3,2,Eve/010600a.cha,529,18.0,back uhhuh .,pickins grumpy .,break posit .,bottle ?,what are you doing ? bottle ?,give dolly her bottle . what are you doing ? bottle ?
66,Eve,1,oh Fraser hat .,oh Fraser hat .,3,3,4,4,4,4,3,Eve/010600a.cha,532,18.0,dish tractor name's .,urs donuts tubbie .,countdown pep ve .,bottle ?,what are you doing ? bottle ?,give dolly her bottle . what are you doing ? bottle ?
67,Eve,1,<oh Fraser hat> [/] oh Fraser hat .,oh Fraser hat oh Fraser hat .,6,3,8,8,8,8,6,Eve/010600a.cha,538,18.0,nails snail aeroplane person's peak save .,knob slither board slep sprinkle cockatoo .,wednesday sta dowf treadmill hospitals turnip .,bottle ?,what are you doing ? bottle ?,give dolly her bottle . what are you doing ? bottle ?
68,Eve,1,Fraser hat .,Fraser hat .,2,2,3,3,3,3,2,Eve/010600a.cha,547,18.0,trains stocking .,alive yorkshire .,eeobeeo corny .,bottle ?,what are you doing ? bottle ?,give dolly her bottle . what are you doing ? bottle ?
69,Eve,1,no . [+ RES],no,1,1,1,1,1,1,1,Eve/010600a.cha,568,18.0,sto,spec,itself,go see if he would like to have it on .,he would . go see if he would like to have it on .,would he like to have Eve's hat ? he would . go see if he would like to have it on .
70,Eve,1,eye .,eye .,1,1,1,1,1,1,1,Eve/010600a.cha,571,18.0,lots .,seemed .,pledge .,go see if he would like to have it on .,he would . go see if he would like to have it on .,would he like to have Eve's hat ? he would . go see if he would like to have it on .
71,Eve,1,that .,that .,1,1,1,1,1,1,1,Eve/010600a.cha,577,18.0,squeaking .,hawk .,prod's .,what's wrong with your eye ?,go see if he would like to have it on . what's wrong with your eye ?,he would . go see if he would like to have it on . what's wrong with your eye ?
72,Eve,1,xxx . [+ RES],,0,0,0,0,0,0,0,Eve/010600a.cha,584,18.0,,,,what is that ?,what's wrong with your eye ? what is that ?,go see if he would like to have it on . what's wrong with your eye ? what is that ?
73,Eve,1,xxx . [+ RES],,0,0,0,0,0,0,0,Eve/010600a.cha,588,18.0,,,,what do you want me to do with it ?,what is that ? what do you want me to do with it ?,what's wrong with your eye ? what is that ? what do you want me to do with it ?
74,Eve,1,that . [+ RES],that,1,1,1,1,1,1,1,Eve/010600a.cha,592,18.0,lunchtime,hoverfairy,tog,hm ?,what do you want me to do with it ? hm ?,what is that ? what do you want me to do with it ? hm ?
75,Eve,1,soldier .,soldier .,1,1,2,2,2,2,1,Eve/010600a.cha,601,18.0,dustpan .,petri .,terrence .,do you want me to turn it for you ?,what do you want me to do with it ? do you want me to turn it for you ?,hm ? what do you want me to do with it ? do you want me to turn it for you ?
76,Eve,1,soldier . [+ IMIT],soldier,1,1,2,2,2,2,1,Eve/010600a.cha,610,18.0,piglets,darlik,rules,there's two soldiers .,yes there's soldiers on the radio . there's two soldiers .,do you want me to turn it for you ? yes there's soldiers on the radio . there's two soldiers .
77,Eve,1,that [/] that .,that that .,2,1,2,2,2,2,2,Eve/010600a.cha,625,18.0,bicycle thumbkin .,joel l .,doe josie .,bring it here .,two soldiers . bring it here .,uhhuh . two soldiers . bring it here .
78,Eve,1,Fraser hat .,Fraser hat .,2,2,3,3,3,3,2,Eve/010600a.cha,634,18.0,eights faster .,choose tatoo .,heya lesson .,that's Jack and Jill .,what's that ? that's Jack and Jill .,bring it here . what's that ? that's Jack and Jill .
79,Eve,1,Eve find it .,Eve find it .,3,3,3,3,3,3,3,Eve/010600a.cha,647,18.0,messed lion's froggy .,jam handkerchief licked .,purply meatball gulp .,Eve has a hat .,he doesn't have a hat . Eve has a hat .,Mr Fraser doesn't have a hat darling . he doesn't have a hat . Eve has a hat .
80,Eve,1,that [/] that .,that that .,2,1,2,2,2,2,2,Eve/010600a.cha,659,18.0,amphibians enough .,magnet emrie .,ooching big .,oh .,oh you're gonna find it . oh .,what ? oh you're gonna find it . oh .
81,Eve,1,xxx man .,man .,1,1,1,1,1,1,1,Eve/010600a.cha,673,18.0,flakes .,sleet .,worrying .,there .,want me to turn it ? there .,hm ? want me to turn it ? there .
82,Eve,1,Eve .,Eve .,1,1,1,1,1,1,1,Eve/010600a.cha,682,18.0,brush .,spun .,eric .,who is that man ?,man ? who is that man ?,there . man ? who is that man ?
83,Eve,1,down .,down .,1,1,1,1,1,1,1,Eve/010600a.cha,694,18.0,buckets .,peeyou .,corner .,what's that man's name ?,you're Eve . what's that man's name ?,Eve ? you're Eve . what's that man's name ?
84,Eve,1,that .,that .,1,1,1,1,1,1,1,Eve/010600a.cha,705,18.0,our .,boko's .,stair .,d you wanna come up and sit on my lap ?,oh down . d you wanna come up and sit on my lap ?,what's that man's name ? oh down . d you wanna come up and sit on my lap ?
85,Eve,1,busy . [+ IMIT],busy,1,1,2,2,2,2,1,Eve/010600a.cha,711,18.0,pass,playdays,blankets,that'll keep you busy .,d you wanna come up and sit on my lap ? that'll keep you busy .,oh down . d you wanna come up and sit on my lap ? that'll keep you busy .
86,Eve,1,busy . [+ IMIT],busy,1,1,2,2,2,2,1,Eve/010600a.cha,723,18.0,ma's,skates,tubby,that'll keep you busy .,d you wanna come up and sit on my lap ? that'll keep you busy .,oh down . d you wanna come up and sit on my lap ? that'll keep you busy .
87,Eve,1,man a pencil .,man a pencil .,3,3,4,4,4,4,3,Eve/010600a.cha,735,18.0,kita tweet happ .,ally's sliced tune .,sweatshirt rush wigg .,there you write a letter .,that'll keep Eve busy . there you write a letter .,yes . that'll keep Eve busy . there you write a letter .
88,Eve,1,man a pencil . [+ RES],man a pencil,3,3,4,4,4,4,3,Eve/010600a.cha,741,18.0,losing score suzanne,jungle vans bofe,martin amy curl,there you write a letter .,that'll keep Eve busy . there you write a letter .,yes . that'll keep Eve busy . there you write a letter .
89,Eve,1,xxx man .,man .,1,1,1,1,1,1,1,Eve/010600a.cha,756,18.0,drum .,bulbs .,annie .,you write with it .,that's your pencil . you write with it .,no that's Eve's pencil . that's your pencil . you write with it .
90,Eve,1,pencil .,pencil .,1,1,2,2,2,2,1,Eve/010600a.cha,762,18.0,mam .,russell .,afit .,the man's writing with this pencil .,you write with it . the man's writing with this pencil .,that's your pencil . you write with it . the man's writing with this pencil .
91,Eve,1,Eve pencil .,Eve pencil .,2,2,3,3,3,3,2,Eve/010600a.cha,765,18.0,fair squeaking .,market winter .,berries twinkie .,the man's writing with this pencil .,you write with it . the man's writing with this pencil .,that's your pencil . you write with it . the man's writing with this pencil .
92,Eve,1,Eve pencil .,Eve pencil .,2,2,3,3,3,3,2,Eve/010600a.cha,768,18.0,lizard vavuvuvi .,bir that'd .,headstanding grown .,the man's writing with this pencil .,you write with it . the man's writing with this pencil .,that's your pencil . you write with it . the man's writing with this pencil .
93,Eve,1,Eve pencil .,Eve pencil .,2,2,3,3,3,3,2,Eve/010600a.cha,771,18.0,smiling chestnut .,neddy where're .,sprinklers etchasketch .,the man's writing with this pencil .,you write with it . the man's writing with this pencil .,that's your pencil . you write with it . the man's writing with this pencil .
