utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Warren,1,brumm@o .,brumm .,1,1,1,1,1,1,1,Warren/011006.cha,14,22.2,golditocks .,kneeling .,hazy .,,,
2,Warren,1,go in the digger .,go in the digger .,4,4,5,5,5,5,4,Warren/011006.cha,20,22.2,everything copter planets copter .,yucky chickenpox aerial washable .,eyeses straws skunks cones .,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?
3,Warren,1,I want the digger .,I want the digger .,4,4,5,5,5,5,4,Warren/011006.cha,23,22.2,today hava cinnamon hippity .,birds libraries michaela vicar .,mash eleven mummy'll plough .,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?
4,Warren,1,no want the digger .,no want the digger .,4,4,5,5,5,5,4,Warren/011006.cha,26,22.2,pooed difficult team juice .,sheryl car's stays soaking .,pawprints chin i've shoelace .,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?
5,Warren,1,I want the digger .,I want the digger .,4,4,5,5,5,5,4,Warren/011006.cha,29,22.2,nicholas mo minutes cocoa .,couplings exclamation screwdrivers googoo .,granddad's animalses enemy shirt .,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?
6,Warren,1,the digger .,the digger .,2,2,3,3,3,3,2,Warren/011006.cha,32,22.2,taste knickers .,burp number .,chloe bumbumbumbum .,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?,can you put some more blocks on your truck ?
7,Warren,1,red bit .,red bit .,2,2,2,2,2,2,2,Warren/011006.cha,41,22.2,knew plant .,blake shattered .,aw andy .,the red bit .,no you needta lift this bit . the red bit .,can you put some more blocks on your truck ? no you needta lift this bit . the red bit .
8,Warren,1,brumm@o .,brumm .,1,1,1,1,1,1,1,Warren/011006.cha,47,22.2,rule .,delight .,doggie .,move them onto the bottom then you can tip it .,the red bit . move them onto the bottom then you can tip it .,no you needta lift this bit . the red bit . move them onto the bottom then you can tip it .
9,Warren,1,red bit .,red bit .,2,2,2,2,2,2,2,Warren/011006.cha,53,22.2,oat eeofarm .,ork droopy .,dragonfly tab .,lift the red bit .,move them onto the bottom then you can tip it . lift the red bit .,the red bit . move them onto the bottom then you can tip it . lift the red bit .
10,Warren,1,brumm@o .,brumm .,1,1,1,1,1,1,1,Warren/011006.cha,56,22.2,nummys .,doriss .,tweettweet .,lift the red bit .,move them onto the bottom then you can tip it . lift the red bit .,the red bit . move them onto the bottom then you can tip it . lift the red bit .
11,Warren,1,two blocks .,two blocks .,2,2,2,2,2,2,2,Warren/011006.cha,65,22.2,edward rabbit .,huggy teaching .,paintings lent .,how many blocks are there in here ?,that's it . how many blocks are there in here ?,lift the red bit . that's it . how many blocks are there in here ?
12,Warren,1,elephant .,elephant .,1,1,3,3,3,3,1,Warren/011006.cha,74,22.2,jum .,nail .,theirselves .,what's that one ?,how many blocks ? what's that one ?,how many blocks are there in here ? how many blocks ? what's that one ?
13,Warren,1,elephant .,elephant .,1,1,3,3,3,3,1,Warren/011006.cha,77,22.2,bi .,binbag's .,picks .,what's that one ?,how many blocks ? what's that one ?,how many blocks are there in here ? how many blocks ? what's that one ?
14,Warren,1,plane .,plane .,1,1,1,2,1,1,1,Warren/011006.cha,92,22.2,ribbet .,nurse's .,awooga .,what's that ?,and what's this ? what's that ?,that's right . and what's this ? what's that ?
15,Warren,1,plane back .,plane back .,2,2,2,3,2,2,2,Warren/011006.cha,98,22.2,rosie bridge .,tellie alright .,bowl taper .,can you put the plane back in the toddle truck ?,what's that ? can you put the plane back in the toddle truck ?,and what's this ? what's that ? can you put the plane back in the toddle truck ?
16,Warren,1,plane .,plane .,1,1,1,2,1,1,1,Warren/011006.cha,101,22.2,sake .,bat .,spinner .,can you put the plane back in the toddle truck ?,what's that ? can you put the plane back in the toddle truck ?,and what's this ? what's that ? can you put the plane back in the toddle truck ?
17,Warren,1,plane .,plane .,1,1,1,2,1,1,1,Warren/011006.cha,104,22.2,doughnut .,glove .,taked .,can you put the plane back in the toddle truck ?,what's that ? can you put the plane back in the toddle truck ?,and what's this ? what's that ? can you put the plane back in the toddle truck ?
18,Warren,1,plane .,plane .,1,1,1,2,1,1,1,Warren/011006.cha,107,22.2,will .,gramma .,pedro .,can you put the plane back in the toddle truck ?,what's that ? can you put the plane back in the toddle truck ?,and what's this ? what's that ? can you put the plane back in the toddle truck ?
19,Warren,1,all pictures .,all pictures .,2,2,4,4,4,4,2,Warren/011006.cha,116,22.2,there's opens .,nurses parked .,hairdo sugarbowl .,all these pictures .,let's have a look at all the pictures shall we ? all these pictures .,can you put the plane back in the toddle truck ? let's have a look at all the pictures shall we ? all these pictures .
20,Warren,1,all pictures .,all pictures .,2,2,4,4,4,4,2,Warren/011006.cha,119,22.2,rhymes stevie .,pain helicopter .,petrol's tera .,all these pictures .,let's have a look at all the pictures shall we ? all these pictures .,can you put the plane back in the toddle truck ? let's have a look at all the pictures shall we ? all these pictures .
21,Warren,1,pictures .,pictures .,1,1,3,3,3,3,1,Warren/011006.cha,122,22.2,wobble .,deirselves .,lewis .,all these pictures .,let's have a look at all the pictures shall we ? all these pictures .,can you put the plane back in the toddle truck ? let's have a look at all the pictures shall we ? all these pictures .
22,Warren,1,pictures .,pictures .,1,1,3,3,3,3,1,Warren/011006.cha,125,22.2,toddler .,castle .,can't .,all these pictures .,let's have a look at all the pictures shall we ? all these pictures .,can you put the plane back in the toddle truck ? let's have a look at all the pictures shall we ? all these pictures .
23,Warren,1,number ten .,number ten .,2,2,3,3,3,3,2,Warren/011006.cha,131,22.2,radish silly .,goina dey .,goldilocks puppies .,that's a number ten .,all these pictures . that's a number ten .,let's have a look at all the pictures shall we ? all these pictures . that's a number ten .
24,Warren,1,number ten .,number ten .,2,2,3,3,3,3,2,Warren/011006.cha,134,22.2,upstairs five .,bronwyn president .,spelled ephone .,that's a number ten .,all these pictures . that's a number ten .,let's have a look at all the pictures shall we ? all these pictures . that's a number ten .
25,Warren,1,I can count .,I can count .,3,3,3,3,3,3,3,Warren/011006.cha,143,22.2,tugboat triceratops tank .,meadows garnet yog .,chop samosas okay .,sometimes you can count can't you ?,number ten . sometimes you can count can't you ?,that's a number ten . number ten . sometimes you can count can't you ?
26,Warren,1,two .,two .,1,1,1,1,1,1,1,Warren/011006.cha,146,22.2,pipe .,breakin .,predator .,sometimes you can count can't you ?,number ten . sometimes you can count can't you ?,that's a number ten . number ten . sometimes you can count can't you ?
27,Warren,1,three .,three .,1,1,1,1,1,1,1,Warren/011006.cha,149,22.2,check .,susan .,penne .,sometimes you can count can't you ?,number ten . sometimes you can count can't you ?,that's a number ten . number ten . sometimes you can count can't you ?
28,Warren,1,elephant .,elephant .,1,1,3,3,3,3,1,Warren/011006.cha,158,22.2,are .,foxes .,chests .,that's right .,two three . that's right .,sometimes you can count can't you ? two three . that's right .
29,Warren,1,xxx .,.,0,0,0,0,0,0,0,Warren/011006.cha,161,22.2,.,.,.,that's right .,two three . that's right .,sometimes you can count can't you ? two three . that's right .
30,Warren,1,other one .,other one .,2,2,3,3,3,3,2,Warren/011006.cha,163,22.2,wrapping sledge .,rainbows knick .,george cups .,that's right .,two three . that's right .,sometimes you can count can't you ? two three . that's right .
31,Warren,1,in the digger .,in the digger .,3,3,4,4,4,4,3,Warren/011006.cha,166,22.2,pi calling falling .,canadian rabbit peace .,toddler's raser tramp .,that's right .,two three . that's right .,sometimes you can count can't you ? two three . that's right .
32,Warren,1,ones .,ones .,1,1,2,2,2,2,1,Warren/011006.cha,169,22.2,fighting .,footed .,baltimore .,that's right .,two three . that's right .,sometimes you can count can't you ? two three . that's right .
