dataset,speaker,child_id,sex,source_group,session_id,age_raw,age_months,utt_id,utt_id_role,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no
Providence,FAT,Alex,male,,3,1;05.26,17.867,1,,hi . 1888591_1899638,hi.,1,1,1,1,1,1,1,Alex/010526.cha,1531
Providence,FAT,Alex,male,,3,1;05.26,17.867,2,,yeah .,yeah.,1,1,1,1,1,1,1,Alex/010526.cha,1540
Providence,FAT,Alex,male,,3,1;05.26,17.867,3,,you gonna rake ? 1909791_1911528,you gonna rake?,3,4,4,5,4,4,3,Alex/010526.cha,1543
Providence,FAT,Alex,male,,5,1;07.07,19.233,4,,where's your other sock ?,where's your other sock?,4,5,6,6,6,6,4,Alex/010707.cha,1509
Providence,FAT,Alex,male,,5,1;07.07,19.233,5,,ah .,ah.,1,1,1,1,1,1,1,Alex/010707.cha,1585
Providence,FAT,Alex,male,,6,1;07.26,19.867,6,,shh: . 3025396_3026876,shh.,1,1,1,1,1,1,1,Alex/010726.cha,2875
Providence,FAT,Alex,male,,6,1;07.26,19.867,7,,what's that ? 3050800_3051800,what's that?,2,3,2,2,2,2,2,Alex/010726.cha,2926
Providence,FAT,Alex,male,,6,1;07.26,19.867,8,,is that a star ?,is that a star?,4,4,4,4,4,4,4,Alex/010726.cha,2932
Providence,FAT,Alex,male,,6,1;07.26,19.867,9,,where's his nose ?,where's his nose?,3,4,4,5,4,4,3,Alex/010726.cha,2943
Providence,FAT,Alex,male,,6,1;07.26,19.867,10,,where's his nose ?,where's his nose?,3,4,4,5,4,4,3,Alex/010726.cha,2946
Providence,FAT,Alex,male,,6,1;07.26,19.867,11,,"Alex , where's his nose ? 3061990_3064366",Alex where's his nose?,4,6,6,7,6,6,4,Alex/010726.cha,2954
Providence,FAT,Alex,male,,6,1;07.26,19.867,12,,wow .,wow.,1,1,1,1,1,1,1,Alex/010726.cha,2965
Providence,FAT,Alex,male,,6,1;07.26,19.867,13,,is that a butterfly ? 3073566_3076181,is that a butterfly?,4,4,6,6,6,6,4,Alex/010726.cha,2971
Providence,FAT,Alex,male,,6,1;07.26,19.867,14,,what's that ?,what's that?,2,3,2,2,2,2,2,Alex/010726.cha,2982
Providence,FAT,Alex,male,,6,1;07.26,19.867,15,,"yeah , I bet .",yeah I bet.,3,4,3,3,3,3,3,Alex/010726.cha,2996
Providence,FAT,Alex,male,,6,1;07.26,19.867,16,,you see the little top ?,you see the little top?,5,5,5,6,5,6,5,Alex/010726.cha,3006
Providence,FAT,Alex,male,,6,1;07.26,19.867,17,,wow .,wow.,1,1,1,1,1,1,1,Alex/010726.cha,3025
Providence,FAT,Alex,male,,6,1;07.26,19.867,18,,wow .,wow.,1,1,1,1,1,1,1,Alex/010726.cha,3044
Providence,FAT,Alex,male,,6,1;07.26,19.867,19,,want a drink ?,want a drink?,3,3,3,3,3,3,3,Alex/010726.cha,3053
Providence,FAT,Alex,male,,6,1;07.26,19.867,20,,wow .,wow.,1,1,1,1,1,1,1,Alex/010726.cha,3061
Providence,FAT,Alex,male,,6,1;07.26,19.867,21,,hm: .,hm.,1,1,1,1,1,1,1,Alex/010726.cha,3070
Providence,FAT,Alex,male,,6,1;07.26,19.867,22,,is that a top ?,is that a top?,4,4,4,4,4,4,4,Alex/010726.cha,3079
Providence,FAT,Alex,male,,6,1;07.26,19.867,23,,press the button . 3169185_3170505,press the button.,3,3,4,4,4,4,3,Alex/010726.cha,3109
Providence,FAT,Alex,male,,6,1;07.26,19.867,24,,press the button . 3175700_3176705,press the button.,3,3,4,4,4,4,3,Alex/010726.cha,3116
Providence,FAT,Alex,male,,6,1;07.26,19.867,25,,who's that ? 3260130_3261626,who's that?,2,3,2,2,2,2,2,Alex/010726.cha,3187
Providence,FAT,Alex,male,,6,1;07.26,19.867,26,,Elmo .,Elmo.,1,1,2,2,2,2,1,Alex/010726.cha,3193
Providence,FAT,Alex,male,,6,1;07.26,19.867,27,,"you think it's funny , oh . 3296610_3299970",you think it's funny oh.,5,7,6,6,6,6,5,Alex/010726.cha,3211
Providence,FAT,Alex,male,,6,1;07.26,19.867,28,,hurricane Alice came through today . 3409963_3413451,hurricane Alice came through today.,5,6,9,12,10,9,5,Alex/010726.cha,3400
Providence,FAT,Alex,male,,6,1;07.26,19.867,29,,I was down Benefit street .,I was down Benefit street.,5,6,7,7,7,7,5,Alex/010726.cha,3588
Providence,FAT,Alex,male,,6,1;07.26,19.867,30,,the bank . 3553766_3555341,the bank.,2,2,2,2,2,2,2,Alex/010726.cha,3600
Providence,FAT,Alex,male,,6,1;07.26,19.867,31,,no .,no.,1,1,1,1,1,1,1,Alex/010726.cha,3621
Providence,FAT,Alex,male,,6,1;07.26,19.867,32,,"they were delicious , hon .",they were delicious hon.,4,6,6,7,7,6,4,Alex/010726.cha,3637
Providence,FAT,Alex,male,,6,1;07.26,19.867,33,,boy I could go for pepperoni bread right now . 3647873_3654815,boy I could go for pepperoni bread right now.,9,9,12,12,12,12,9,Alex/010726.cha,3790
Providence,FAT,Alex,male,,6,1;07.26,19.867,34,,you want me to go get the dough ?,you want me to go get the dough?,8,8,8,8,8,8,8,Alex/010726.cha,3811
Providence,FAT,Alex,male,,6,1;07.26,19.867,35,,thirty one ? 3676945_3679368,thirty one?,2,2,3,3,3,3,2,Alex/010726.cha,3826
Providence,FAT,Alex,male,,6,1;07.26,19.867,36,,do you want me to go get the dough from xxx ? 3683433_3686921,do you want me to go get the dough from?,10,10,10,10,10,10,10,Alex/010726.cha,3838
