utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Dominic,1,xxx .,.,0,0,0,0,0,0,0,Dominic/011025.cha,26,22.833,.,.,.,.,oh . .,oh dear . oh . .
2,Dominic,1,xxx .,.,0,0,0,0,0,0,0,Dominic/011025.cha,30,22.833,.,.,.,what ?,. what ?,oh . . what ?
3,Dominic,1,more .,more .,1,1,1,2,1,1,1,Dominic/011025.cha,34,22.833,show .,flake .,king .,what're you doing ?,what ? what're you doing ?,. what ? what're you doing ?
4,Dominic,1,xxx .,.,0,0,0,0,0,0,0,Dominic/011025.cha,40,22.833,.,.,.,more ?,what're you doing ? more ?,what ? what're you doing ? more ?
5,Dominic,1,xxx .,.,0,0,0,0,0,0,0,Dominic/011025.cha,41,22.833,.,.,.,more ?,what're you doing ? more ?,what ? what're you doing ? more ?
6,Dominic,1,oh .,oh .,1,1,1,1,1,1,1,Dominic/011025.cha,42,22.833,koala's .,lark .,misy .,more ?,what're you doing ? more ?,what ? what're you doing ? more ?
7,Dominic,1,oh .,oh .,1,1,1,1,1,1,1,Dominic/011025.cha,45,22.833,carrier .,chimchimanee .,pack .,more ?,what're you doing ? more ?,what ? what're you doing ? more ?
8,Dominic,1,blue lorry .,blue lorry .,2,2,3,3,3,3,2,Dominic/011025.cha,51,22.833,fits sir .,glorious hahaha .,wildy tire's .,what's this ?,more ? what's this ?,what're you doing ? more ? what's this ?
9,Dominic,1,black lorry .,black lorry .,2,2,3,3,3,3,2,Dominic/011025.cha,63,22.833,wheelbarrow toe .,creak calls .,sucker squeezes .,it's a black lorry .,it's not a blue lorry . it's a black lorry .,it's . it's not a blue lorry . it's a black lorry .
10,Dominic,1,here .,here .,1,1,1,2,1,1,1,Dominic/011025.cha,75,22.833,friend .,brother .,scam .,where's your cars ?,mhm . where's your cars ?,it's a black lorry . mhm . where's your cars ?
11,Dominic,1,ear .,ear .,1,1,1,1,1,1,1,Dominic/011025.cha,84,22.833,stick .,whenever .,erwear .,you look .,here ? you look .,where's your cars ? here ? you look .
12,Dominic,1,yeah .,yeah .,1,1,1,1,1,1,1,Dominic/011025.cha,108,22.833,van .,alrighty .,petrie's .,tip them out ?,oh sorry . tip them out ?,you look . oh sorry . tip them out ?
13,Dominic,1,blue .,blue .,1,1,1,1,1,1,1,Dominic/011025.cha,117,22.833,dear .,decides .,expect .,we've got all sorts in here .,oh . we've got all sorts in here .,tip them out ? oh . we've got all sorts in here .
14,Dominic,1,lorry .,lorry .,1,1,2,2,2,2,1,Dominic/011025.cha,123,22.833,racing .,parents .,hotsausagedog .,that's your blue .,we've got all sorts in here . that's your blue .,oh . we've got all sorts in here . that's your blue .
15,Dominic,1,that ?,that ?,1,1,1,1,1,1,1,Dominic/011025.cha,132,22.833,string ?,pammy ?,scout ?,yes .,lorry . yes .,that's your blue . lorry . yes .
16,Dominic,1,that ?,that ?,1,1,1,1,1,1,1,Dominic/011025.cha,135,22.833,horse ?,bursting ?,cookies ?,yes .,lorry . yes .,that's your blue . lorry . yes .
17,Dominic,1,blue one .,blue one .,2,2,2,2,2,2,2,Dominic/011025.cha,143,22.833,nap faster .,stingray chasing .,wardrobe bellybutton .,don't know .,yes . don't know .,lorry . yes . don't know .
18,Dominic,1,blue one .,blue one .,2,2,2,2,2,2,2,Dominic/011025.cha,154,22.833,knicker tasty .,clifford again .,swingset hentagon .,.,I don't know . .,no . I don't know . .
19,Dominic,1,blue one .,blue one .,2,2,2,2,2,2,2,Dominic/011025.cha,157,22.833,thataway come .,penknife crisscross .,wooden foul .,.,I don't know . .,no . I don't know . .
20,Dominic,1,blue one .,blue one .,2,2,2,2,2,2,2,Dominic/011025.cha,160,22.833,doo snug .,mean g .,shoots mooo .,.,I don't know . .,no . I don't know . .
21,Dominic,1,that ?,that ?,1,1,1,1,1,1,1,Dominic/011025.cha,169,22.833,eggo ?,yahoo ?,slide's ?,that's your lorry .,what ? that's your lorry .,. what ? that's your lorry .
22,Dominic,1,black .,black .,1,1,1,1,1,1,1,Dominic/011025.cha,175,22.833,yucky .,wouldn't .,pee .,that's your that's the trailer bit of your lorry .,that's your lorry . that's your that's the trailer bit of your lorry .,what ? that's your lorry . that's your that's the trailer bit of your lorry .
23,Dominic,1,that .,that .,1,1,1,1,1,1,1,Dominic/011025.cha,184,22.833,drawer .,huggy .,cl .,black ?,that's your that's the trailer bit of your lorry . black ?,that's your lorry . that's your that's the trailer bit of your lorry . black ?
24,Dominic,1,red lorry .,red lorry .,2,2,3,3,3,3,2,Dominic/011025.cha,187,22.833,fishes home .,seem someone's .,troll worried .,black ?,that's your that's the trailer bit of your lorry . black ?,that's your lorry . that's your that's the trailer bit of your lorry . black ?
25,Dominic,1,that bus .,that bus .,2,2,2,2,2,2,2,Dominic/011025.cha,190,22.833,w smelling .,para glues .,poose stripy .,black ?,that's your that's the trailer bit of your lorry . black ?,that's your lorry . that's your that's the trailer bit of your lorry . black ?
26,Dominic,1,bus .,bus .,1,1,1,1,1,1,1,Dominic/011025.cha,196,22.833,worm's .,pompoms .,nighttime .,bus ?,black ? bus ?,that's your that's the trailer bit of your lorry . black ? bus ?
27,Dominic,1,that .,that .,1,1,1,1,1,1,1,Dominic/011025.cha,199,22.833,quackquack .,cummings .,unscrew .,bus ?,black ? bus ?,that's your that's the trailer bit of your lorry . black ? bus ?
28,Dominic,1,there .,there .,1,1,1,2,1,1,1,Dominic/011025.cha,205,22.833,cob .,pheasants .,pot .,what ?,bus ? what ?,black ? bus ? what ?
29,Dominic,1,downstairs .,downstairs .,1,1,2,2,2,2,1,Dominic/011025.cha,212,22.833,always .,charge .,stairs .,downstairs I think .,what ? downstairs I think .,bus ? what ? downstairs I think .
30,Dominic,1,downstairs .,downstairs .,1,1,2,2,2,2,1,Dominic/011025.cha,220,22.833,rafi .,baker's .,collins .,.,downstairs . .,downstairs I think . downstairs . .
31,Dominic,1,somewhere .,somewhere .,1,1,3,4,3,3,1,Dominic/011025.cha,230,22.833,most .,snaps .,grub .,somewhere .,. somewhere .,downstairs . . somewhere .
32,Dominic,1,what's that ?,what's that ?,2,3,2,2,2,2,2,Dominic/011025.cha,236,22.833,bases roller ?,maker othello ?,place cockadoo ?,what's this ?,somewhere . what's this ?,. somewhere . what's this ?
33,Dominic,1,fire engine .,fire engine .,2,2,3,5,3,3,2,Dominic/011025.cha,239,22.833,spotty lost .,smacking jordan .,lightbulb divers .,what's this ?,somewhere . what's this ?,. somewhere . what's this ?
34,Dominic,1,red .,red .,1,1,1,1,1,1,1,Dominic/011025.cha,242,22.833,smooth .,hurdles .,kiss .,what's this ?,somewhere . what's this ?,. somewhere . what's this ?
35,Dominic,1,red .,red .,1,1,1,1,1,1,1,Dominic/011025.cha,248,22.833,cracked .,meow .,turning .,what is it ?,what's this ? what is it ?,somewhere . what's this ? what is it ?
36,Dominic,1,red .,red .,1,1,1,1,1,1,1,Dominic/011025.cha,254,22.833,mammy .,beanbag .,clocks .,it's a fire engine .,what is it ? it's a fire engine .,what's this ? what is it ? it's a fire engine .
37,Dominic,1,oh .,oh .,1,1,1,1,1,1,1,Dominic/011025.cha,266,22.833,hump .,start .,once .,it's orange .,well . it's orange .,red ? well . it's orange .
38,Dominic,1,orange .,orange .,1,1,2,3,2,2,1,Dominic/011025.cha,269,22.833,umbrella .,dropsies .,tored .,it's orange .,well . it's orange .,red ? well . it's orange .
39,Dominic,1,xxx .,.,0,0,0,0,0,0,0,Dominic/011025.cha,281,22.833,.,.,.,orange fire engine .,yeah . orange fire engine .,orange . yeah . orange fire engine .
40,Dominic,1,&-um that .,that .,1,1,1,1,1,1,1,Dominic/011025.cha,285,22.833,brilliant .,sucked .,save .,what's that ?,orange fire engine . what's that ?,yeah . orange fire engine . what's that ?
41,Dominic,1,orange [>] .,orange .,1,1,2,3,2,2,1,Dominic/011025.cha,291,22.833,brush [>] .,squoosh [>] .,whooee [>] .,that's an orange .,what's that ? that's an orange .,orange fire engine . what's that ? that's an orange .
42,Dominic,1,digger .,digger .,1,1,2,2,2,2,1,Dominic/011025.cha,300,22.833,naw .,washing .,hair's .,orange digger .,digger . orange digger .,that's an orange . digger . orange digger .
43,Dominic,1,mum .,mum .,1,1,1,1,1,1,1,Dominic/011025.cha,309,22.833,ladybird .,couple .,loop .,orange digger .,digger . orange digger .,that's an orange . digger . orange digger .
44,Dominic,1,xxx .,.,0,0,0,0,0,0,0,Dominic/011025.cha,315,22.833,.,.,.,what ?,orange digger . what ?,digger . orange digger . what ?
45,Dominic,1,oh .,oh .,1,1,1,1,1,1,1,Dominic/011025.cha,322,22.833,ties .,tweeting .,cantona .,what is it ?,you're sitting on something . what is it ?,what ? you're sitting on something . what is it ?
46,Dominic,1,that .,that .,1,1,1,1,1,1,1,Dominic/011025.cha,325,22.833,tofu .,boody .,waggers .,what is it ?,you're sitting on something . what is it ?,what ? you're sitting on something . what is it ?
47,Dominic,1,&-um a yellow .,a yellow .,2,2,3,3,3,3,2,Dominic/011025.cha,334,22.833,shoulder natural .,tried philip .,spiky calling .,what is it ?,no . what is it ?,what is it ? no . what is it ?
48,Dominic,1,yellow .,yellow .,1,1,2,2,2,2,1,Dominic/011025.cha,340,22.833,buys .,lock .,skedaddle .,yellow ?,what is it ? yellow ?,no . what is it ? yellow ?
49,Dominic,1,car .,car .,1,1,1,1,1,1,1,Dominic/011025.cha,346,22.833,free .,teen .,lift .,yellow what ?,yellow ? yellow what ?,what is it ? yellow ? yellow what ?
50,Dominic,1,yellow car .,yellow car .,2,2,3,3,3,3,2,Dominic/011025.cha,352,22.833,cheeky counting .,moe certainly .,cell one's .,mhm .,yellow what ? mhm .,yellow ? yellow what ? mhm .
51,Dominic,1,&-um garage .,garage .,1,1,2,3,2,2,1,Dominic/011025.cha,361,22.833,time .,pads .,penguin's .,what's this here ?,mhm . what's this here ?,mhm . mhm . what's this here ?
52,Dominic,1,oh .,oh .,1,1,1,1,1,1,1,Dominic/011025.cha,369,22.833,tiger .,gerri .,ainkoewaignike .,mhm .,what's this here ? mhm .,mhm . what's this here ? mhm .
53,Dominic,1,oh .,oh .,1,1,1,1,1,1,1,Dominic/011025.cha,375,22.833,jumpty .,weighted .,puddle .,oh .,mhm . oh .,what's this here ? mhm . oh .
54,Dominic,1,xxx that .,that .,1,1,1,1,1,1,1,Dominic/011025.cha,378,22.833,radish .,jonathan .,real .,oh .,mhm . oh .,what's this here ? mhm . oh .
55,Dominic,1,xxx .,.,0,0,0,0,0,0,0,Dominic/011025.cha,384,22.833,.,.,.,mhm .,oh . mhm .,mhm . oh . mhm .
56,Dominic,1,oh .,oh .,1,1,1,1,1,1,1,Dominic/011025.cha,385,22.833,peas .,sparky .,wheelie .,mhm .,oh . mhm .,mhm . oh . mhm .
57,Dominic,1,brick .,brick .,1,1,1,1,1,1,1,Dominic/011025.cha,388,22.833,thursday .,du .,whine .,mhm .,oh . mhm .,mhm . oh . mhm .
58,Dominic,1,brick .,brick .,1,1,1,1,1,1,1,Dominic/011025.cha,394,22.833,robert .,domino .,ronald .,brick ?,mhm . brick ?,oh . mhm . brick ?
59,Dominic,1,brick .,brick .,1,1,1,1,1,1,1,Dominic/011025.cha,397,22.833,began .,worm .,lou .,brick ?,mhm . brick ?,oh . mhm . brick ?
60,Dominic,1,&-um go in there .,go in there .,3,3,3,4,3,3,3,Dominic/011025.cha,409,22.833,gorilla's lady ashley .,potholes whoops gatada .,fountain bs jumpty .,doesn't go in there does it ?,brick ? doesn't go in there does it ?,mhm . brick ? doesn't go in there does it ?
61,Dominic,1,&-um car .,car .,1,1,1,1,1,1,1,Dominic/011025.cha,415,22.833,let .,dream .,rounder .,what goes in the car ?,doesn't go in there does it ? what goes in the car ?,brick ? doesn't go in there does it ? what goes in the car ?
62,Dominic,1,&-um man .,man .,1,1,1,1,1,1,1,Dominic/011025.cha,436,22.833,ready .,glo .,sakes .,what's this ?,no . what's this ?,a car doesn't go in the car . no . what's this ?
63,Dominic,1,there .,there .,1,1,1,2,1,1,1,Dominic/011025.cha,445,22.833,mowing .,world .,truckbot .,so why're you putting your bricks in your car then ?,mhm . so why're you putting your bricks in your car then ?,what's this ? mhm . so why're you putting your bricks in your car then ?
64,Dominic,1,car .,car .,1,1,1,1,1,1,1,Dominic/011025.cha,451,22.833,bicycle .,sclaimed .,ave .,so why're you putting your bricks in your car then ?,mhm . so why're you putting your bricks in your car then ?,what's this ? mhm . so why're you putting your bricks in your car then ?
65,Dominic,1,car .,car .,1,1,1,1,1,1,1,Dominic/011025.cha,454,22.833,past .,nahngahngahnguh .,pushers .,so why're you putting your bricks in your car then ?,mhm . so why're you putting your bricks in your car then ?,what's this ? mhm . so why're you putting your bricks in your car then ?
66,Dominic,1,brick car .,brick car .,2,2,2,2,2,2,2,Dominic/011025.cha,460,22.833,tiggie dagere .,toy glori .,hubboard playpen .,mhm .,so why're you putting your bricks in your car then ? mhm .,mhm . so why're you putting your bricks in your car then ? mhm .
67,Dominic,1,oh .,oh .,1,1,1,1,1,1,1,Dominic/011025.cha,492,22.833,too .,wrappings .,sleeves .,oh .,oh . oh .,oh . oh . oh .
68,Dominic,1,xxx .,.,0,0,0,0,0,0,0,Dominic/011025.cha,501,22.833,.,.,.,oh .,oh . oh .,oh . oh . oh .
69,Dominic,1,digger .,digger .,1,1,2,2,2,2,1,Dominic/011025.cha,519,22.833,cloud .,nasty .,tadah .,that's better .,build them on the floor . that's better .,Dominic . build them on the floor . that's better .
70,Dominic,1,&-um digger .,digger .,1,1,2,2,2,2,1,Dominic/011025.cha,531,22.833,looks .,dave's .,goods .,what color is your digger ?,that's your digger . what color is your digger ?,yes . that's your digger . what color is your digger ?
71,Dominic,1,&-um red .,red .,1,1,1,1,1,1,1,Dominic/011025.cha,537,22.833,listen .,coat .,rescuing .,what color is it ?,what color is your digger ? what color is it ?,that's your digger . what color is your digger ? what color is it ?
72,Dominic,1,red .,red .,1,1,1,1,1,1,1,Dominic/011025.cha,549,22.833,chocolates .,suit .,putting .,red .,no . red .,no . no . red .
73,Dominic,1,orange .,orange .,1,1,2,3,2,2,1,Dominic/011025.cha,552,22.833,oval .,docks .,crazies .,red .,no . red .,no . no . red .
74,Dominic,1,red .,red .,1,1,1,1,1,1,1,Dominic/011025.cha,558,22.833,i'd .,blower .,daboo .,orange .,red . orange .,no . red . orange .
75,Dominic,1,yeah .,yeah .,1,1,1,1,1,1,1,Dominic/011025.cha,567,22.833,pig .,also .,smoking .,that's that's red .,you've decided it's red . that's that's red .,orange . you've decided it's red . that's that's red .
76,Dominic,1,that red .,that red .,2,2,2,2,2,2,2,Dominic/011025.cha,573,22.833,wombat trolley .,fooled sambo's .,nutcracker washer .,what is it ?,that's that's red . what is it ?,you've decided it's red . that's that's red . what is it ?
77,Dominic,1,red .,red .,1,1,1,1,1,1,1,Dominic/011025.cha,585,22.833,shh .,ap .,dutch .,red what ?,yes . red what ?,red . yes . red what ?
78,Dominic,1,isn't .,isn't .,1,2,1,1,1,1,1,Dominic/011025.cha,597,22.833,eiffel .,remem .,thats .,it isn't Dominic .,you've decided for some strange reason that's red . it isn't Dominic .,no . you've decided for some strange reason that's red . it isn't Dominic .
79,Dominic,1,red .,red .,1,1,1,1,1,1,1,Dominic/011025.cha,600,22.833,moon .,scratch .,bedside .,it isn't Dominic .,you've decided for some strange reason that's red . it isn't Dominic .,no . you've decided for some strange reason that's red . it isn't Dominic .
80,Dominic,1,&-um train .,train .,1,1,1,1,1,1,1,Dominic/011025.cha,615,22.833,mushed .,wai .,marx .,what color's this then ?,oh . what color's this then ?,that's red . oh . what color's this then ?
81,Dominic,1,train .,train .,1,1,1,1,1,1,1,Dominic/011025.cha,621,22.833,desk .,soap .,nope .,what color is it ?,what color's this then ? what color is it ?,oh . what color's this then ? what color is it ?
82,Dominic,1,&-um train .,train .,1,1,1,1,1,1,1,Dominic/011025.cha,635,22.833,parrot's .,what'm .,scrunching .,what is it ?,Dominic . what is it ?,what color . Dominic . what is it ?
83,Dominic,1,man .,man .,1,1,1,1,1,1,1,Dominic/011025.cha,644,22.833,choo .,twirling .,daughter .,what color is it ?,yes . what color is it ?,what is it ? yes . what color is it ?
84,Dominic,1,train .,train .,1,1,1,1,1,1,1,Dominic/011025.cha,659,22.833,this'll .,bunting .,donna .,what color's that one ?,there is a man on that one . what color's that one ?,yes . there is a man on that one . what color's that one ?
85,Dominic,1,face .,face .,1,1,1,2,1,1,1,Dominic/011025.cha,671,22.833,mend .,lollie .,lucy .,what's this ?,no . what's this ?,that's what . no . what's this ?
86,Dominic,1,tree .,tree .,1,1,1,1,1,1,1,Dominic/011025.cha,677,22.833,guitar .,chili .,dogger .,face .,what's this ? face .,no . what's this ? face .
87,Dominic,1,&-um house .,house .,1,1,1,2,1,1,1,Dominic/011025.cha,689,22.833,sound .,pup .,planets .,what's that ?,tree . what's that ?,yes . tree . what's that ?
88,Dominic,1,more [/] more .,more more .,2,1,2,4,2,2,2,Dominic/011025.cha,701,22.833,panda happiness .,deny her'll .,playdohs ballerina .,what else have we got ?,yes . what else have we got ?,house . yes . what else have we got ?
89,Dominic,1,digger .,digger .,1,1,2,2,2,2,1,Dominic/011025.cha,707,22.833,hangs .,fingerpainting .,meets .,what's that ?,what else have we got ? what's that ?,yes . what else have we got ? what's that ?
90,Dominic,1,digger .,digger .,1,1,2,2,2,2,1,Dominic/011025.cha,711,22.833,kites .,button .,jenny .,?,what's that ? ?,what else have we got ? what's that ? ?
91,Dominic,1,xxx .,.,0,0,0,0,0,0,0,Dominic/011025.cha,717,22.833,.,.,.,what's that ?,? what's that ?,what's that ? ? what's that ?
92,Dominic,1,book .,book .,1,1,1,1,1,1,1,Dominic/011025.cha,736,22.833,burned .,siren .,tough .,shall we get your book ?,alright then . shall we get your book ?,oh . alright then . shall we get your book ?
93,Dominic,1,box .,box .,1,1,1,1,1,1,1,Dominic/011025.cha,748,22.833,digging .,mindin .,nineteen .,it's in your box isn't it ?,go and get it . it's in your box isn't it ?,oh . go and get it . it's in your box isn't it ?
