"utt_id","child_id","session_id","utterance","utterance_clean","word_count","morph_count","utt_syllables_basic","utt_syllables_lenient","utt_syllables_strictY","utt_syllables_le","n_alpha_words","file","line_no"
1,"Ethan",16,"hi Ethan .","hi Ethan.",2,2,3,3,3,3,2,"Ethan/010620.cha",585
2,"Ethan",16,"can you set me up , or tell me what to do with the vegetables ?","can you set me up or tell me what to do with the vegetables?",14,15,17,17,17,17,14,"Ethan/010620.cha",593
3,"Ethan",16,"okay , just regular .","okay just regular.",3,4,6,6,7,6,3,"Ethan/010620.cha",610
4,"Ethan",16,"all cooking eating .","all cooking eating.",3,5,5,5,5,5,3,"Ethan/010620.cha",613
5,"Ethan",16,"hey Ethan .","hey Ethan.",2,2,3,3,3,3,2,"Ethan/010620.cha",633
6,"Ethan",16,"you also want the zucchini and broccoli that's above the drawer ? 779560_785698","you also want the zucchini and broccoli that's above the drawer?",11,12,18,19,18,18,11,"Ethan/010620.cha",1272
7,"Ethan",16,"for stir fry , yeah I think xxx .","for stir fry yeah I think.",6,7,6,6,6,6,6,"Ethan/010620.cha",1289
8,"Ethan",16,"that's a batting key ? 813036_815013","that's a batting key?",4,6,5,5,5,5,4,"Ethan/010620.cha",1336
9,"Ethan",16,"woo .","woo.",1,1,1,1,1,1,1,"Ethan/010620.cha",1347
10,"Ethan",16,"bat .","bat.",1,1,1,1,1,1,1,"Ethan/010620.cha",1358
11,"Ethan",16,"I see , oh yes I see that . 821025_822878","I see oh yes I see that.",7,8,7,7,7,7,7,"Ethan/010620.cha",1361
12,"Ethan",16,"that's great .","that's great.",2,3,2,2,2,2,2,"Ethan/010620.cha",1367
13,"Ethan",16,"I see your real xxx bat .","I see your real bat.",5,5,5,5,5,5,5,"Ethan/010620.cha",1381
14,"Ethan",16,"that's a Play_Doh bat that xxx .","that's a Play_Doh bat that.",6,6,6,6,7,6,6,"Ethan/010620.cha",1390
15,"Ethan",16,"I'm gonna do that and I'll take off .","I'm gonna do that and I'll take off.",8,11,9,10,9,9,8,"Ethan/010620.cha",1398
16,"Ethan",16,"Ethan I'll see you later .","Ethan I'll see you later.",5,6,7,7,7,7,5,"Ethan/010620.cha",1412
17,"Ethan",16,"I think they said four .","I think they said four.",5,6,5,5,6,5,5,"Ethan/010620.cha",1423
18,"Ethan",46,"thank you !","thank you!",2,2,2,2,2,2,2,"Ethan/020907.cha",4780
19,"Ethan",46,"at least , I'm the biggest something .","at least I'm the biggest something.",6,10,9,9,9,9,6,"Ethan/020907.cha",4791
