utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,Gail,1,radish [<] .,radish .,1,1,2,2,2,2,1,Gail/011127.cha,29,23.9,gobble [<] .,aerial [<] .,sherri's [<] .,do you think it's a radish ?,we think it's probably a radish . do you think it's a radish ?,we're not quite sure are we ? we think it's probably a radish . do you think it's a radish ?
2,Gail,1,radish .,radish .,1,1,2,2,2,2,1,Gail/011127.cha,32,23.9,cupboard .,dos .,ale .,do you think it's a radish ?,we think it's probably a radish . do you think it's a radish ?,we're not quite sure are we ? we think it's probably a radish . do you think it's a radish ?
3,Gail,1,no .,no .,1,1,1,1,1,1,1,Gail/011127.cha,41,23.9,touched .,gobby .,ent .,are you going to put them back ?,yeah . are you going to put them back ?,do you think it's a radish ? yeah . are you going to put them back ?
4,Gail,1,no .,no .,1,1,1,1,1,1,1,Gail/011127.cha,50,23.9,fuzz .,dooboo .,rack .,what_about the letters ?,no ? what_about the letters ?,are you going to put them back ? no ? what_about the letters ?
5,Gail,1,one .,one .,1,1,1,1,1,1,1,Gail/011127.cha,65,23.9,double .,yum .,snatched .,can you find another one ?,there should be three shouldn't there ? can you find another one ?,is there another letter somewhere ? there should be three shouldn't there ? can you find another one ?
6,Gail,1,can't find it .,can't find it .,3,4,3,3,3,3,3,Gail/011127.cha,68,23.9,stamp oly slides .,body pro nockwong .,ever en paintingman .,can you find another one ?,there should be three shouldn't there ? can you find another one ?,is there another letter somewhere ? there should be three shouldn't there ? can you find another one ?
7,Gail,1,no .,no .,1,1,1,1,1,1,1,Gail/011127.cha,83,23.9,sheila .,patients .,cadet .,have a look in there .,is it not in the letterbox ? have a look in there .,well . is it not in the letterbox ? have a look in there .
8,Gail,1,no .,no .,1,1,1,1,1,1,1,Gail/011127.cha,89,23.9,love .,elenore .,racer .,no ?,have a look in there . no ?,is it not in the letterbox ? have a look in there . no ?
9,Gail,1,sitting .,sitting .,1,1,2,2,2,2,1,Gail/011127.cha,104,23.9,ears .,wrist .,flashlight .,oh .,have a good look . oh .,go on . have a good look . oh .
10,Gail,1,sitting down .,sitting down .,2,3,3,3,3,3,2,Gail/011127.cha,110,23.9,jumping batterys .,clappin state .,trousers beddy .,is it there ?,oh . is it there ?,have a good look . oh . is it there ?
11,Gail,1,in train .,in train .,2,2,2,2,2,2,2,Gail/011127.cha,116,23.9,where's popcorn .,screams eyebrows .,teatime stupid .,sitting what ?,is it there ? sitting what ?,oh . is it there ? sitting what ?
12,Gail,1,I'm sitting in train .,I'm sitting in train .,4,5,5,5,5,5,4,Gail/011127.cha,119,23.9,lucy had jum liking .,babo managing dripped cassie .,beetle's costumes uhhum dreamed .,sitting what ?,is it there ? sitting what ?,oh . is it there ? sitting what ?
13,Gail,1,train .,train .,1,1,1,1,1,1,1,Gail/011127.cha,122,23.9,smile .,milkmans .,fingernail .,sitting what ?,is it there ? sitting what ?,oh . is it there ? sitting what ?
14,Gail,1,biscuits there .,biscuits there .,2,2,3,4,3,3,2,Gail/011127.cha,131,23.9,usually fred .,wronging bracelet .,points cub .,it isn't really is it ?,I don't know why you think that's a train . it isn't really is it ?,sitting what ? I don't know why you think that's a train . it isn't really is it ?
15,Gail,1,biscuits .,biscuits .,1,1,2,2,2,2,1,Gail/011127.cha,134,23.9,aboom .,seen .,jersey .,it isn't really is it ?,I don't know why you think that's a train . it isn't really is it ?,sitting what ? I don't know why you think that's a train . it isn't really is it ?
16,Gail,1,biscuits .,biscuits .,1,1,2,2,2,2,1,Gail/011127.cha,143,23.9,artist .,bang .,trunk .,fallen through .,are you going to get this letter ? fallen through .,it isn't really is it ? are you going to get this letter ? fallen through .
17,Gail,1,no .,no .,1,1,1,1,1,1,1,Gail/011127.cha,173,23.9,edward .,kent .,balancin .,and the vegetables ?,are you going to put these letters back ? and the vegetables ?,very good . are you going to put these letters back ? and the vegetables ?
18,Gail,1,in train .,in train .,2,2,2,2,2,2,2,Gail/011127.cha,179,23.9,bones burp .,possum sower .,stair inviting .,oh .,and the vegetables ? oh .,are you going to put these letters back ? and the vegetables ? oh .
19,Gail,1,choo^choo@o .,choo^choo .,2,1,2,2,2,2,2,Gail/011127.cha,182,23.9,m squirrel .,ledge lightyear .,brewery firetruck .,oh .,and the vegetables ? oh .,are you going to put these letters back ? and the vegetables ? oh .
20,Gail,1,come in .,come in .,2,2,2,3,2,2,2,Gail/011127.cha,201,23.9,lassie wreck .,bally's gosh .,nutty creamer .,yeah ?,shall I come and put them back ? yeah ?,. shall I come and put them back ? yeah ?
21,Gail,1,you sit down train .,you sit down train .,4,4,4,4,4,4,4,Gail/011127.cha,207,23.9,truck pumpkin sugar they'll .,ey gooz neeze skippy .,checks pillows sleepover why .,you want me to come in ?,yeah ? you want me to come in ?,shall I come and put them back ? yeah ? you want me to come in ?
22,Gail,1,you come and see .,you come and see .,4,4,4,5,4,4,4,Gail/011127.cha,219,23.9,punjabi chew nummy knickers .,wildy nick bombing mumbudy .,cockatiel greens nickels trapepoid .,there's not really enough room for Mummy's bottom is there ?,I don't know if I wanna sit on the train . there's not really enough room for Mummy's bottom is there ?,well . I don't know if I wanna sit on the train . there's not really enough room for Mummy's bottom is there ?
23,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,225,23.9,ghosts .,julie .,mosquito .,come and see shall I ?,there's not really enough room for Mummy's bottom is there ? come and see shall I ?,I don't know if I wanna sit on the train . there's not really enough room for Mummy's bottom is there ? come and see shall I ?
24,Gail,1,Andy's .,Andy's .,1,2,2,2,1,2,1,Gail/011127.cha,243,23.9,popeye .,lilypads .,pachycephalosaurus .,whose is it ?,it's not even yours is it ? whose is it ?,it's a garden . it's not even yours is it ? whose is it ?
25,Gail,1,choo^choo@o .,choo^choo .,2,1,2,2,2,2,2,Gail/011127.cha,249,23.9,a lion's .,glori yikes .,stained journeys .,yeah .,whose is it ? yeah .,it's not even yours is it ? whose is it ? yeah .
26,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,261,23.9,sailboat .,puppet .,skip .,but we thought you'd like it .,for when he was bigger . but we thought you'd like it .,we bought it for him didn't we ? for when he was bigger . but we thought you'd like it .
27,Gail,1,onion .,onion .,1,1,2,2,2,2,1,Gail/011127.cha,279,23.9,roar .,ices .,sandra .,can you remember ?,what's this one ? can you remember ?,oh right . what's this one ? can you remember ?
28,Gail,1,onion .,onion .,1,1,2,2,2,2,1,Gail/011127.cha,285,23.9,dadaji's .,frosted .,dozens .,pardon ?,can you remember ? pardon ?,what's this one ? can you remember ? pardon ?
29,Gail,1,onion .,onion .,1,1,2,2,2,2,1,Gail/011127.cha,297,23.9,pretending .,state .,who .,what what did I say this one was ?,that was that one . what what did I say this one was ?,no no no . that was that one . what what did I say this one was ?
30,Gail,1,radish .,radish .,1,1,2,2,2,2,1,Gail/011127.cha,318,23.9,cir .,foam .,chowder .,it's a radish .,I told you a minute ago didn't I . it's a radish .,what's that one ? I told you a minute ago didn't I . it's a radish .
31,Gail,1,no .,no .,1,1,1,1,1,1,1,Gail/011127.cha,324,23.9,roo .,hiccup .,cinnamon .,or do you think it's a beet root ?,it's a radish . or do you think it's a beet root ?,I told you a minute ago didn't I . it's a radish . or do you think it's a beet root ?
32,Gail,1,yes .,yes .,1,1,1,1,1,1,1,Gail/011127.cha,330,23.9,hey .,gravys .,hurdy .,radishie ?,or do you think it's a beet root ? radishie ?,it's a radish . or do you think it's a beet root ? radishie ?
33,Gail,1,carrot .,carrot .,1,1,2,2,2,2,1,Gail/011127.cha,342,23.9,rings .,stella's .,pajumming .,what's the one that goes in there ?,and what's the other one ? what's the one that goes in there ?,oh . and what's the other one ? what's the one that goes in there ?
34,Gail,1,train .,train .,1,1,1,1,1,1,1,Gail/011127.cha,352,23.9,dumptrucks .,buzz .,mooing .,.,oh . .,yeah . oh . .
35,Gail,1,Mummy .,Mummy .,1,1,2,2,2,2,1,Gail/011127.cha,373,23.9,pogo .,smashed .,creaking .,over there ?,where's your cooker ? over there ?,do you wanna do some cooking ? where's your cooker ? over there ?
36,Gail,1,sit down .,sit down .,2,2,2,2,2,2,2,Gail/011127.cha,376,23.9,polies so .,span layed .,blurred rocky's .,over there ?,where's your cooker ? over there ?,do you wanna do some cooking ? where's your cooker ? over there ?
37,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,385,23.9,johnny .,pussy's .,threads .,shall I sit here ?,oh . shall I sit here ?,over there ? oh . shall I sit here ?
38,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,397,23.9,nurse .,sar .,staring .,that'd be better wouldn't it there ?,I can't . that'd be better wouldn't it there ?,don't know if I can fit in . I can't . that'd be better wouldn't it there ?
39,Gail,1,better there .,better there .,2,2,3,4,3,3,2,Gail/011127.cha,400,23.9,bike dime .,watery daddy'd .,goodie hippos .,that'd be better wouldn't it there ?,I can't . that'd be better wouldn't it there ?,don't know if I can fit in . I can't . that'd be better wouldn't it there ?
40,Gail,1,choo^choo@o .,choo^choo .,2,1,2,2,2,2,2,Gail/011127.cha,421,23.9,pile flags .,barrels mic .,mary buttock .,are we off ?,there . are we off ?,do you think this is sturdy ? there . are we off ?
41,Gail,1,ouch .,ouch .,1,1,1,1,1,1,1,Gail/011127.cha,434,23.9,whiskers .,fork .,koalabal .,is this hot ?,this is hot isn't it ? is this hot ?,is it a train ? this is hot isn't it ? is this hot ?
42,Gail,1,hot .,hot .,1,1,1,1,1,1,1,Gail/011127.cha,452,23.9,tomato .,visiting .,soups .,hm ?,a radiator isn't it ? hm ?,do you know what this is ? a radiator isn't it ? hm ?
43,Gail,1,you sit down .,you sit down .,3,3,3,3,3,3,3,Gail/011127.cha,458,23.9,ha dabra lizards .,griz honking scribbled .,velociraptors bawbo cupboard .,hot .,hm ? hot .,a radiator isn't it ? hm ? hot .
44,Gail,1,biscuit .,biscuit .,1,1,2,2,2,2,1,Gail/011127.cha,470,23.9,blank .,sliced .,dodies .,let's get your cooker .,I don't wanna sit down . let's get your cooker .,no . I don't wanna sit down . let's get your cooker .
45,Gail,1,get out .,get out .,2,2,2,2,2,2,2,Gail/011127.cha,477,23.9,catching peek .,macintosh violet .,hollins melon .,are you going to cook me some ?,. are you going to cook me some ?,let's get your cooker . . are you going to cook me some ?
46,Gail,1,Andy .,Andy .,1,1,2,2,2,2,1,Gail/011127.cha,480,23.9,minutes .,raincoat .,martin's .,are you going to cook me some ?,. are you going to cook me some ?,let's get your cooker . . are you going to cook me some ?
47,Gail,1,xxx .,.,0,0,0,0,0,0,0,Gail/011127.cha,483,23.9,.,.,.,are you going to cook me some ?,. are you going to cook me some ?,let's get your cooker . . are you going to cook me some ?
48,Gail,1,hello .,hello .,1,1,2,2,2,2,1,Gail/011127.cha,493,23.9,eated .,sledging .,twigs .,don't poke him .,is he alright ? don't poke him .,what's the matter with him ? is he alright ? don't poke him .
49,Gail,1,crying .,crying .,1,2,1,1,1,1,1,Gail/011127.cha,500,23.9,goman .,ices .,diandra .,what're you doing ?,. what're you doing ?,don't poke him . . what're you doing ?
50,Gail,1,out .,out .,1,1,1,1,1,1,1,Gail/011127.cha,509,23.9,ribbit .,life .,bedelia .,you're not crying .,he's crying ? you're not crying .,what're you doing ? he's crying ? you're not crying .
51,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,515,23.9,whoa .,bangle .,llama .,think he needs to come out ?,you're not crying . think he needs to come out ?,he's crying ? you're not crying . think he needs to come out ?
52,Gail,1,biscuit ?,biscuit ?,1,1,2,2,2,2,1,Gail/011127.cha,524,23.9,froggies ?,foams ?,talkin ?,we thought he might go to sleep didn't we ?,oh dear . we thought he might go to sleep didn't we ?,think he needs to come out ? oh dear . we thought he might go to sleep didn't we ?
53,Gail,1,bang@o .,bang .,1,1,1,1,1,1,1,Gail/011127.cha,536,23.9,plain .,intelligent .,jocko's .,and turn the knobs .,hafta shut the door first to cook them . and turn the knobs .,we thought he might go to sleep didn't we ? hafta shut the door first to cook them . and turn the knobs .
54,Gail,1,Mummy do it .,Mummy do it .,3,3,4,4,4,4,3,Gail/011127.cha,542,23.9,ernie press body .,desk few miniature .,willy cuppie chewy .,there .,and turn the knobs . there .,hafta shut the door first to cook them . and turn the knobs . there .
55,Gail,1,Mummy do it .,Mummy do it .,3,3,4,4,4,4,3,Gail/011127.cha,547,23.9,reach cone nenaw .,calm rea ome .,winners piccolo hotchpotch .,there .,and turn the knobs . there .,hafta shut the door first to cook them . and turn the knobs . there .
56,Gail,1,Mummy +/.,Mummy .,1,2,2,2,2,2,1,Gail/011127.cha,568,23.9,di +/.,matters +/.,recorder +/.,push it .,shut the door first then turn the knob . push it .,Daddy's the cook . shut the door first then turn the knob . push it .
57,Gail,1,Mummy do it .,Mummy do it .,3,3,4,4,4,4,3,Gail/011127.cha,574,23.9,supper cart somewhere .,dems wathy treats .,mooing uniform honeydew .,willn't it shut ?,push it . willn't it shut ?,shut the door first then turn the knob . push it . willn't it shut ?
58,Gail,1,ready .,ready .,1,1,2,2,2,2,1,Gail/011127.cha,595,23.9,pictures .,pip .,stamps .,it'll beep when it's ready .,that's the timer . it'll beep when it's ready .,timer ? that's the timer . it'll beep when it's ready .
59,Gail,1,no .,no .,1,1,1,1,1,1,1,Gail/011127.cha,622,23.9,dadaji's .,dormouse .,pepper's .,isn't it hot ?,that's it . isn't it hot ?,pull hard . that's it . isn't it hot ?
60,Gail,1,chocolate .,chocolate .,1,1,3,4,3,3,1,Gail/011127.cha,631,23.9,show .,buttercup .,seats .,what sort have you made ?,oh . what sort have you made ?,isn't it hot ? oh . what sort have you made ?
61,Gail,1,whoops .,whoops .,1,1,1,1,1,1,1,Gail/011127.cha,634,23.9,tried .,pippo .,rake .,what sort have you made ?,oh . what sort have you made ?,isn't it hot ? oh . what sort have you made ?
62,Gail,1,all falling down .,all falling down .,3,4,4,4,4,4,3,Gail/011127.cha,637,23.9,georgie brothers nose .,sleepy's recycle matty .,scribblin tear narrow .,what sort have you made ?,oh . what sort have you made ?,isn't it hot ? oh . what sort have you made ?
63,Gail,1,oh .,oh .,1,1,1,1,1,1,1,Gail/011127.cha,640,23.9,mieow .,changing .,naw .,what sort have you made ?,oh . what sort have you made ?,isn't it hot ? oh . what sort have you made ?
64,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,673,23.9,keen .,fireman's .,pongo .,are they clean now ?,do they . are they clean now ?,like Mummy does . do they . are they clean now ?
65,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,679,23.9,fear .,iowa .,boo .,right .,are they clean now ? right .,do they . are they clean now ? right .
66,Gail,1,&-um chocolate biscuits .,chocolate biscuits .,2,2,5,6,5,5,2,Gail/011127.cha,694,23.9,nos dozer .,dripped henny .,sottie leggings .,have they got anything on them ?,what . have they got anything on them ?,do you wanna offer Caroline one ? what . have they got anything on them ?
67,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,703,23.9,use .,ricky .,bends .,have they got smarties on them ?,chocolate chocolate biscuits . have they got smarties on them ?,have they got anything on them ? chocolate chocolate biscuits . have they got smarties on them ?
68,Gail,1,Mummy .,Mummy .,1,1,2,2,2,2,1,Gail/011127.cha,710,23.9,dinner .,meetin .,seeseeballiboo .,.,oh . .,have they got smarties on them ? oh . .
69,Gail,1,mhm .,mhm .,1,1,1,1,1,1,1,Gail/011127.cha,716,23.9,knees .,jingles .,umsipaduhbeebo .,is there one for Mummy ?,. is there one for Mummy ?,oh . . is there one for Mummy ?
70,Gail,1,mhm .,mhm .,1,1,1,1,1,1,1,Gail/011127.cha,728,23.9,page .,moss .,octagon .,is there any any left for Mummy ?,otherwise they're gonna drop off . is there any any left for Mummy ?,you needta hold the tray up like that . otherwise they're gonna drop off . is there any any left for Mummy ?
71,Gail,1,two .,two .,1,1,1,1,1,1,1,Gail/011127.cha,734,23.9,dip .,cuckoo .,cromarty .,how many ?,is there any any left for Mummy ? how many ?,otherwise they're gonna drop off . is there any any left for Mummy ? how many ?
72,Gail,1,mhm .,mhm .,1,1,1,1,1,1,1,Gail/011127.cha,746,23.9,cluck .,sledging .,violin .,think he'd like one ?,what_about Andy ? think he'd like one ?,two for Mummy . what_about Andy ? think he'd like one ?
73,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,755,23.9,basement .,destroying .,locomotive .,does he have biscuits ?,well . does he have biscuits ?,think he'd like one ? well . does he have biscuits ?
74,Gail,1,sitting .,sitting .,1,1,2,2,2,2,1,Gail/011127.cha,807,23.9,boxes .,dry .,koala's .,what_about some tea ?,what else can you cook for me ? what_about some tea ?,obviously not . what else can you cook for me ? what_about some tea ?
75,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,816,23.9,kick .,vacuum .,postcard .,why why are you sitting ?,you're just sitting are you ? why why are you sitting ?,what_about some tea ? you're just sitting are you ? why why are you sitting ?
76,Gail,1,xxx .,.,0,0,0,0,0,0,0,Gail/011127.cha,825,23.9,.,.,.,can you make me a cup of tea ?,what's on there now ? can you make me a cup of tea ?,why why are you sitting ? what's on there now ? can you make me a cup of tea ?
77,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,832,23.9,clumps .,buh .,pongs .,are you going to make me a cup of tea ?,pardon ? are you going to make me a cup of tea ?,can you make me a cup of tea ? pardon ? are you going to make me a cup of tea ?
78,Gail,1,a kettle .,a kettle .,2,2,2,3,2,3,2,Gail/011127.cha,838,23.9,apricot neck .,wax bigs .,winned sniffs .,what do you need then ?,are you going to make me a cup of tea ? what do you need then ?,pardon ? are you going to make me a cup of tea ? what do you need then ?
79,Gail,1,no .,no .,1,1,1,1,1,1,1,Gail/011127.cha,850,23.9,playpen .,newquay .,theme .,is it there ?,mhm . is it there ?,you do need a kettle . mhm . is it there ?
80,Gail,1,biscuits .,biscuits .,1,1,2,2,2,2,1,Gail/011127.cha,859,23.9,zzz .,edamame .,rattlesnake .,what else do you need ?,no . what else do you need ?,is it there ? no . what else do you need ?
81,Gail,1,milk .,milk .,1,1,1,1,1,1,1,Gail/011127.cha,874,23.9,o .,able .,skates .,you need milk don't you ?,to make me a cup of tea ? you need milk don't you ?,what ? to make me a cup of tea ? you need milk don't you ?
82,Gail,1,from milkman .,from milkman .,2,2,3,3,3,3,2,Gail/011127.cha,880,23.9,i'm three .,baseman ruf .,tonto quacky .,milk .,you need milk don't you ? milk .,to make me a cup of tea ? you need milk don't you ? milk .
83,Gail,1,yeah .,yeah .,1,1,1,1,1,1,1,Gail/011127.cha,895,23.9,mumps .,chunk .,before .,have you got it ?,you couldn't have any . have you got it ?,he was late wasn't he yesterday ? you couldn't have any . have you got it ?
84,Gail,1,I [* 0am] holding it .,I holding it .,3,4,4,4,4,4,3,Gail/011127.cha,901,23.9,froggy krusty momma .,singer wha'you tinman .,heather you'll pose .,good .,have you got it ? good .,you couldn't have any . have you got it ? good .
85,Gail,1,in there .,in there .,2,2,2,3,2,2,2,Gail/011127.cha,910,23.9,joan granma .,tiggy's it's .,amazing remarkable .,are you going to pour some in the cup then ?,you're holding it . are you going to pour some in the cup then ?,good . you're holding it . are you going to pour some in the cup then ?
86,Gail,1,nothing .,nothing .,1,1,2,2,2,2,1,Gail/011127.cha,916,23.9,mala .,gaspard .,chee .,pour it in then .,are you going to pour some in the cup then ? pour it in then .,you're holding it . are you going to pour some in the cup then ? pour it in then .
87,Gail,1,xxx .,.,0,0,0,0,0,0,0,Gail/011127.cha,928,23.9,.,.,.,have you got the teabags ?,oh . have you got the teabags ?,nothing in there ? oh . have you got the teabags ?
