utt_id,utt_id_role,speaker,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,context_k1,context_k2,context_k3
1,1,MOT,Adam,1,big drum ?,big drum ?,2,2,2,2,2,2,2,Adam/020304.cha,23,27.133,,,
2,2,MOT,Adam,1,horse .,horse .,1,1,1,2,1,1,1,Adam/020304.cha,41,27.133,big drum ?,big drum ?,big drum ?
3,3,MOT,Adam,1,who is that ?,who is that ?,3,3,3,3,3,3,3,Adam/020304.cha,47,27.133,horse .,big drum ? horse .,big drum ? horse .
4,4,MOT,Adam,1,those are checkers .,those are checkers .,3,3,4,5,4,4,3,Adam/020304.cha,50,27.133,who is that ?,horse . who is that ?,big drum ? horse . who is that ?
5,5,MOT,Adam,1,two checkers (.) yes .,two checkers yes .,3,3,4,4,4,4,3,Adam/020304.cha,56,27.133,those are checkers .,who is that ? those are checkers .,horse . who is that ? those are checkers .
6,6,MOT,Adam,1,play checkers ?,play checkers ?,2,2,3,3,4,3,2,Adam/020304.cha,65,27.133,two checkers yes .,those are checkers . two checkers yes .,who is that ? those are checkers . two checkers yes .
7,7,MOT,Adam,1,big horn ?,big horn ?,2,2,2,2,2,2,2,Adam/020304.cha,75,27.133,play checkers ?,two checkers yes . play checkers ?,those are checkers . two checkers yes . play checkers ?
8,8,MOT,Adam,1,get over (.) Mommy .,get over Mommy .,3,3,5,5,5,5,3,Adam/020304.cha,99,27.133,big horn ?,play checkers ? big horn ?,two checkers yes . play checkers ? big horn ?
9,9,MOT,Adam,1,shadow ?,shadow ?,1,1,2,2,2,2,1,Adam/020304.cha,126,27.133,get over Mommy .,big horn ? get over Mommy .,play checkers ? big horn ? get over Mommy .
10,10,MOT,Adam,1,I like it .,I like it .,3,3,3,4,3,3,3,Adam/020304.cha,215,27.133,shadow ?,get over Mommy . shadow ?,big horn ? get over Mommy . shadow ?
11,11,MOT,Adam,1,why don't you read Shadow yourself ?,why don't you read Shadow yourself ?,6,7,8,8,8,8,6,Adam/020304.cha,228,27.133,I like it .,shadow ? I like it .,get over Mommy . shadow ? I like it .
12,12,MOT,Adam,1,that's a terribly small horse for you to ride .,that's a terribly small horse for you to ride .,9,10,11,13,11,11,9,Adam/020304.cha,241,27.133,why don't you read Shadow yourself ?,I like it . why don't you read Shadow yourself ?,shadow ? I like it . why don't you read Shadow yourself ?
13,13,MOT,Adam,1,why don't you look at some of the toys in the basket .,why don't you look at some of the toys in the basket .,12,13,13,14,13,13,12,Adam/020304.cha,264,27.133,that's a terribly small horse for you to ride .,why don't you read Shadow yourself ? that's a terribly small horse for you to ride .,I like it . why don't you read Shadow yourself ? that's a terribly small horse for you to ride .
14,14,MOT,Adam,1,wanna ?,wanna ?,1,1,2,2,2,2,1,Adam/020304.cha,267,27.133,why don't you look at some of the toys in the basket .,that's a terribly small horse for you to ride . why don't you look at some of the toys in the basket .,why don't you read Shadow yourself ? that's a terribly small horse for you to ride . why don't you look at some of the toys in the basket .
15,15,MOT,Adam,1,do you wanna see what I have ?,do you wanna see what I have ?,7,7,8,9,8,8,7,Adam/020304.cha,280,27.133,wanna ?,why don't you look at some of the toys in the basket . wanna ?,that's a terribly small horse for you to ride . why don't you look at some of the toys in the basket . wanna ?
16,16,MOT,Adam,1,what is that ?,what is that ?,3,3,3,3,3,3,3,Adam/020304.cha,289,27.133,do you wanna see what I have ?,wanna ? do you wanna see what I have ?,why don't you look at some of the toys in the basket . wanna ? do you wanna see what I have ?
17,17,MOT,Adam,1,not in your mouth .,not in your mouth .,4,4,4,4,4,4,4,Adam/020304.cha,311,27.133,what is that ?,do you wanna see what I have ? what is that ?,wanna ? do you wanna see what I have ? what is that ?
18,18,MOT,Adam,1,let me put them together .,let me put them together .,5,5,7,7,7,7,5,Adam/020304.cha,314,27.133,not in your mouth .,what is that ? not in your mouth .,do you wanna see what I have ? what is that ? not in your mouth .
19,19,MOT,Adam,1,no (.) put floor .,no put floor .,3,4,3,3,3,3,3,Adam/020304.cha,317,27.133,let me put them together .,not in your mouth . let me put them together .,what is that ? not in your mouth . let me put them together .
20,20,MOT,Adam,1,no (.) that's his pencil .,no that's his pencil .,4,5,5,5,5,5,4,Adam/020304.cha,348,27.133,no put floor .,let me put them together . no put floor .,not in your mouth . let me put them together . no put floor .
21,21,MOT,Adam,1,that's not Daddy (.) that's Colin .,that's not Daddy that's Colin .,5,7,7,7,7,7,5,Adam/020304.cha,362,27.133,no that's his pencil .,no put floor . no that's his pencil .,let me put them together . no put floor . no that's his pencil .
22,22,MOT,Adam,1,I think perhaps he's going back to school .,I think perhaps he's going back to school .,8,9,9,9,9,9,8,Adam/020304.cha,365,27.133,that's not Daddy that's Colin .,no that's his pencil . that's not Daddy that's Colin .,no put floor . no that's his pencil . that's not Daddy that's Colin .
23,23,MOT,Adam,1,not on the window sill (.) Adam .,not on the window sill Adam .,6,6,8,8,8,8,6,Adam/020304.cha,374,27.133,I think perhaps he's going back to school .,that's not Daddy that's Colin . I think perhaps he's going back to school .,no that's his pencil . that's not Daddy that's Colin . I think perhaps he's going back to school .
24,24,MOT,Adam,1,you write on the paper .,you write on the paper .,5,5,6,7,6,6,5,Adam/020304.cha,377,27.133,not on the window sill Adam .,I think perhaps he's going back to school . not on the window sill Adam .,that's not Daddy that's Colin . I think perhaps he's going back to school . not on the window sill Adam .
25,25,MOT,Adam,1,my paper .,my paper .,2,2,3,3,3,3,2,Adam/020304.cha,380,27.133,you write on the paper .,not on the window sill Adam . you write on the paper .,I think perhaps he's going back to school . not on the window sill Adam . you write on the paper .
26,26,MOT,Adam,1,circus ?,circus ?,1,1,2,2,2,2,1,Adam/020304.cha,395,27.133,my paper .,you write on the paper . my paper .,not on the window sill Adam . you write on the paper . my paper .
27,27,MOT,Adam,1,sitting in Adam's chair .,sitting in Adam's chair .,4,6,6,6,6,6,4,Adam/020304.cha,401,27.133,circus ?,my paper . circus ?,you write on the paper . my paper . circus ?
28,28,MOT,Adam,1,why don't you read it to me ?,why don't you read it to me ?,7,8,7,7,7,7,7,Adam/020304.cha,404,27.133,sitting in Adam's chair .,circus ? sitting in Adam's chair .,my paper . circus ? sitting in Adam's chair .
29,29,MOT,Adam,1,dog .,dog .,1,1,1,1,1,1,1,Adam/020304.cha,411,27.133,why don't you read it to me ?,sitting in Adam's chair . why don't you read it to me ?,circus ? sitting in Adam's chair . why don't you read it to me ?
30,30,MOT,Adam,1,that's Cathy .,that's Cathy .,2,3,3,3,3,3,2,Adam/020304.cha,432,27.133,dog .,why don't you read it to me ? dog .,sitting in Adam's chair . why don't you read it to me ? dog .
31,31,MOT,Adam,1,horn ?,horn ?,1,1,1,1,1,1,1,Adam/020304.cha,455,27.133,that's Cathy .,dog . that's Cathy .,why don't you read it to me ? dog . that's Cathy .
32,32,MOT,Adam,1,is this a horn ?,is this a horn ?,4,4,4,4,4,4,4,Adam/020304.cha,458,27.133,horn ?,that's Cathy . horn ?,dog . that's Cathy . horn ?
33,33,MOT,Adam,1,how many do you have like this ?,how many do you have like this ?,7,7,8,10,8,8,7,Adam/020304.cha,474,27.133,is this a horn ?,horn ? is this a horn ?,that's Cathy . horn ? is this a horn ?
