utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
1,William,1,xxx . 31520_33978,,0,0,0,0,0,0,0,William/010412.cha,60,16.4,,,,hi,hi hi,hi hi hi
2,William,1,James . 33978_36105,James,1,1,2,2,2,2,1,William/010412.cha,66,16.4,watering,spocket,room,who's that ?,hi who's that ?,hi hi who's that ?
3,William,1,Katie ! 37931_40368,Katie,1,1,1,2,1,1,1,William/010412.cha,80,16.4,itchy,poncho,stork,who's that,yeah who's that,James ? yeah who's that
4,William,1,Katie . 41585_43311,Katie,1,1,1,2,1,1,1,William/010412.cha,91,16.4,tunnel,jaffa,andrew's,n who's that,Katie yes . n who's that,who's that Katie yes . n who's that
5,William,1,Sarah . 43311_45248,Sarah,1,1,2,2,2,2,1,William/010412.cha,99,16.4,tweet,dingle,someone's,who's that ?,n who's that who's that ?,Katie yes . n who's that who's that ?
6,William,1,Katie . 49700_52100,Katie,1,1,1,2,1,1,1,William/010412.cha,110,16.4,fire,idea,wawa,Sarah James n Katie,Sarah yeah . Sarah James n Katie,who's that ? Sarah yeah . Sarah James n Katie
7,William,1,yyy . 52100_54300,,0,0,0,0,0,0,0,William/010412.cha,118,16.4,,,,that's right .,Sarah James n Katie that's right .,Sarah yeah . Sarah James n Katie that's right .
8,William,1,yyy . 56550_59396,,0,0,0,0,0,0,0,William/010412.cha,124,16.4,,,,James yes n who's that,that's right . James yes n who's that,Sarah James n Katie that's right . James yes n who's that
9,William,1,ball ? 59396_60778,ball,1,1,1,1,1,1,1,William/010412.cha,130,16.4,standing,dame,dunking,Sarah that's right .,James yes n who's that Sarah that's right .,that's right . James yes n who's that Sarah that's right .
10,William,1,yyy ! 80855_83051,,0,0,0,0,0,0,0,William/010412.cha,162,16.4,,,,catch,catch catch,ya wanna catch catch catch
11,William,1,ball . 97055_101183,ball,1,1,1,1,1,1,1,William/010412.cha,175,16.4,messy,balob,pingus,mm,this one's bigger isn't it mm,o:h ! this one's bigger isn't it mm
12,William,1,yyy . 103361_105833,,0,0,0,0,0,0,0,William/010412.cha,187,16.4,,,,yes,ball yes,mm ball yes
13,William,1,yyy ! 114778_118778,,0,0,0,0,0,0,0,William/010412.cha,208,16.4,,,,if you're happy and you know it .,wanna sing a song if you're happy and you know it .,wanna play a song wanna sing a song if you're happy and you know it .
14,William,1,yyy yyy . 121236_124836,,0,0,0,0,0,0,0,William/010412.cha,220,16.4,,,,you wanna sing,yeah you wanna sing,sing ? yeah you wanna sing
15,William,1,yyy ? 124836_125833,,0,0,0,0,0,0,0,William/010412.cha,226,16.4,,,,oh .,you wanna sing oh .,yeah you wanna sing oh .
16,William,1,yyy ? 125833_128650,,0,0,0,0,0,0,0,William/010412.cha,229,16.4,,,,oh .,you wanna sing oh .,yeah you wanna sing oh .
17,William,1,yyy . 128650_130376,,0,0,0,0,0,0,0,William/010412.cha,235,16.4,,,,sing not swing we'll do the swing later .,oh . sing not swing we'll do the swing later .,you wanna sing oh . sing not swing we'll do the swing later .
18,William,1,xxx . 153236_156433,,0,0,0,0,0,0,0,William/010412.cha,262,16.4,,,,tadah !,if you're happy and ya know it say tadah tadah !,tadah if you're happy and ya know it say tadah tadah !
19,William,1,xxx . 163161_170000,,0,0,0,0,0,0,0,William/010412.cha,280,16.4,,,,oh what is that,peekaboo oh what is that,where is he . peekaboo oh what is that
20,William,1,yyy . 170000_171760,,0,0,0,0,0,0,0,William/010412.cha,284,16.4,,,,oh what is that,peekaboo oh what is that,where is he . peekaboo oh what is that
21,William,1,yyy ! 325000_329313,,0,0,0,0,0,0,0,William/010412.cha,410,16.4,,,,pink,yello:w n blue pink,pink n blue yello:w n blue pink
22,William,1,yyy ! 333843_336778,,0,0,0,0,0,0,0,William/010412.cha,419,16.4,,,,see it,o:h yeah ? see it,pink o:h yeah ? see it
23,William,1,car ? 355000_357595,car,1,1,1,1,1,1,1,William/010412.cha,428,16.4,eek,zucchini,piggie's,yeah,oh one yeah,see it oh one yeah
24,William,1,car . 357595_359656,car,1,1,1,1,1,1,1,William/010412.cha,433,16.4,ow,las,earrings,yeah,oh one yeah,see it oh one yeah
25,William,1,yyy . 363431_371331,,0,0,0,0,0,0,0,William/010412.cha,447,16.4,,,,are you clapping,yeah are you clapping,car yeah are you clapping
26,William,1,up [?] ? 383435_384715,up,1,1,1,1,1,1,1,William/010412.cha,465,16.4,puff,malmy,ther,can you use your words please,I don't understand that sound can you use your words please,what is that I don't understand that sound can you use your words please
27,William,1,up . 385635_388103,up,1,1,1,1,1,1,1,William/010412.cha,473,16.4,drinking,gobby,whizzer,up,can you use your words please up,I don't understand that sound can you use your words please up
28,William,1,yyy . 434183_437245,,0,0,0,0,0,0,0,William/010412.cha,526,16.4,,,,what's that,no what's that,is he under the stairs no what's that
29,William,1,that [?] ! 494450_497381,that,1,1,1,1,1,1,1,William/010412.cha,605,16.4,happen,kating,swinging,huh oh who's that ?,let's see let's see huh oh who's that ?,what do you think let's see let's see huh oh who's that ?
30,William,1,Spot ? 497381_500183,Spot,1,1,1,1,1,1,1,William/010412.cha,613,16.4,spider,mompsy,rounds,who's that ?,huh oh who's that ? who's that ?,let's see let's see huh oh who's that ? who's that ?
31,William,1,up [?] . 525298_527840,up,1,1,1,1,1,1,1,William/010412.cha,660,16.4,soon,barely,pail,can we find that book ?,can you get that book for Mommy can we find that book ?,where is it can you get that book for Mommy can we find that book ?
32,William,1,up [?] . 527840_531043,up,1,1,1,1,1,1,1,William/010412.cha,667,16.4,octopus,imaginary,shoulders,up ?,can we find that book ? up ?,can you get that book for Mommy can we find that book ? up ?
33,William,1,yyy . 543303_544985,,0,0,0,0,0,0,0,William/010412.cha,690,16.4,,,,huh what's that,who is hiding behind the rock huh what's that,who is hiding behind the rock who is hiding behind the rock huh what's that
34,William,1,snail . 550098_552656,snail,1,1,1,1,1,1,1,William/010412.cha,705,16.4,paper,chase,positively,what's that,who is hiding behind the snail what's that,yeah who is hiding behind the snail what's that
35,William,1,a worm . 560501_562565,a worm,2,2,2,2,2,2,2,William/010412.cha,723,16.4,yellows wash,h compass,hoothoot mieow,what's that,who is hiding in the ground what's that,yeah who is hiding in the ground what's that
36,William,1,a worm . 562565_566113,a worm,2,2,2,2,2,2,2,William/010412.cha,731,16.4,hullabaloo pencil,bunda lo,slime pingo,a worm .,what's that a worm .,who is hiding in the ground what's that a worm .
37,William,1,yyy . 568631_571588,,0,0,0,0,0,0,0,William/010412.cha,745,16.4,,,,what's that ?,and who is hiding in the nest what's that ?,yeah . and who is hiding in the nest what's that ?
38,William,1,yyy . 571588_573706,,0,0,0,0,0,0,0,William/010412.cha,748,16.4,,,,what's that ?,and who is hiding in the nest what's that ?,yeah . and who is hiding in the nest what's that ?
